fecha,BurstId,burst_side,attacked_side,L0,event_number_after_prefix,event_close_ts_recv,target_order_id,target_price,packet_ordinal,ts_recv,ts_event,sequence,order_id,action,side,price,size,flags,is_target_identity
2023-08-24,LB_20230824_093139_SELL_0001,SELL,B,15300.25,5399,2023-08-24T13:31:44.575369170+00:00,6845896866413,15300.25,2,2023-08-24T13:31:44.575360210+00:00,2023-08-24T13:31:44.575184695+00:00,150767889,6845896867119,F,A,15300.25,1.0,0,False
2023-08-24,LB_20230824_093139_SELL_0001,SELL,B,15300.25,5399,2023-08-24T13:31:44.575369170+00:00,6845896866413,15300.25,3,2023-08-24T13:31:44.575369170+00:00,2023-08-24T13:31:44.575184695+00:00,150767890,6845896866413,M,B,15300.25,4.0,0,True
2023-08-24,LB_20230824_093139_SELL_0001,SELL,B,15300.25,5399,2023-08-24T13:31:44.575369170+00:00,6845896866413,15300.25,4,2023-08-24T13:31:44.575369170+00:00,2023-08-24T13:31:44.575184695+00:00,150767890,6845896867119,C,A,15300.25,1.0,130,False
2023-09-19,LB_20230919_093101_SELL_0001,SELL,B,15330.0,5253,2023-09-19T13:31:05.128555966+00:00,6846486395522,15330.0,0,2023-09-19T13:31:05.128546065+00:00,2023-09-19T13:31:05.128371583+00:00,48866119,6846486395522,T,B,15330.0,1.0,0,True
2023-09-19,LB_20230919_093101_SELL_0001,SELL,B,15330.0,5253,2023-09-19T13:31:05.128555966+00:00,6846486395522,15330.0,1,2023-09-19T13:31:05.128546065+00:00,2023-09-19T13:31:05.128371583+00:00,48866119,6846486395522,F,B,15330.0,1.0,0,True
2023-09-19,LB_20230919_093101_SELL_0001,SELL,B,15330.0,5253,2023-09-19T13:31:05.128555966+00:00,6846486395522,15330.0,2,2023-09-19T13:31:05.128546065+00:00,2023-09-19T13:31:05.128371583+00:00,48866119,6846486422520,F,A,15330.0,1.0,0,False
2023-09-19,LB_20230919_093101_SELL_0001,SELL,B,15330.0,5253,2023-09-19T13:31:05.128555966+00:00,6846486395522,15330.0,3,2023-09-19T13:31:05.128555966+00:00,2023-09-19T13:31:05.128371583+00:00,48866120,6846486395522,C,B,15325.5,1.0,0,False
2023-09-19,LB_20230919_093101_SELL_0001,SELL,B,15330.0,5253,2023-09-19T13:31:05.128555966+00:00,6846486395522,15330.0,4,2023-09-19T13:31:05.128555966+00:00,2023-09-19T13:31:05.128371583+00:00,48866120,6846486422520,C,A,15330.0,1.0,130,False
2024-05-02,LB_20240502_093112_SELL_0001,SELL,B,17570.0,4303,2024-05-02T13:31:15.407734512+00:00,6852097227116,17570.0,0,2024-05-02T13:31:15.407718128+00:00,2024-05-02T13:31:15.407522779+00:00,191032473,6852097227835,T,A,17570.0,4.0,0,False
2024-05-02,LB_20240502_093112_SELL_0001,SELL,B,17570.0,4303,2024-05-02T13:31:15.407734512+00:00,6852097227116,17570.0,1,2024-05-02T13:31:15.407718128+00:00,2024-05-02T13:31:15.407522779+00:00,191032473,6852097227116,F,B,17570.0,4.0,0,True
2024-05-02,LB_20240502_093112_SELL_0001,SELL,B,17570.0,4303,2024-05-02T13:31:15.407734512+00:00,6852097227116,17570.0,2,2024-05-02T13:31:15.407734512+00:00,2024-05-02T13:31:15.407522779+00:00,191032474,6852097227116,M,B,17570.0,5.0,130,True
2024-05-02,LB_20240502_093112_SELL_0001,SELL,B,17570.0,4306,2024-05-02T13:31:15.407911556+00:00,6852097227116,17570.0,0,2024-05-02T13:31:15.407911556+00:00,2024-05-02T13:31:15.407579033+00:00,191032477,6852097227838,T,A,17570.0,6.0,0,False
2024-05-02,LB_20240502_093112_SELL_0001,SELL,B,17570.0,4306,2024-05-02T13:31:15.407911556+00:00,6852097227116,17570.0,1,2024-05-02T13:31:15.407911556+00:00,2024-05-02T13:31:15.407579033+00:00,191032477,6852097227116,F,B,17570.0,6.0,0,True
