fecha,BurstId,burst_side,attacked_side,L0,event_number_after_prefix,event_close_ts_recv,order_id,price,F_qty,C_qty_same_event_order_price,has_C_identity_sibling,F_C_qty_equal,F_minus_C_qty,M_state_reduction_qty,C_state_reduction_qty,total_state_reduction_qty,has_M_or_C_state_reduction,F_state_reduction_qty_equal,F_minus_state_reduction_qty
2022-07-29,LB_20220729_093500_SELL_0001,SELL,B,12766.25,4791,2022-07-29T13:35:03.860911865+00:00,6835991317929,12766.25,1.0,1.0,True,True,0.0,0.0,1.0,1.0,True,True,0.0
2022-08-01,LB_20220801_093127_SELL_0001,SELL,B,12875.75,1,2022-08-01T13:31:28.101400060+00:00,6836021965114,12875.75,1.0,1.0,True,True,0.0,0.0,1.0,1.0,True,True,0.0
2022-08-01,LB_20220801_093127_SELL_0001,SELL,B,12875.75,324,2022-08-01T13:31:28.466183910+00:00,6836021966466,12875.75,1.0,1.0,True,True,0.0,0.0,1.0,1.0,True,True,0.0
2022-08-01,LB_20220801_093127_SELL_0001,SELL,B,12875.75,550,2022-08-01T13:31:28.732795255+00:00,6836021967235,12875.75,1.0,1.0,True,True,0.0,0.0,1.0,1.0,True,True,0.0
2022-08-01,LB_20220801_093127_SELL_0001,SELL,B,12875.75,731,2022-08-01T13:31:29.006907721+00:00,6836021967608,12875.75,1.0,1.0,True,True,0.0,0.0,1.0,1.0,True,True,0.0
2022-08-01,LB_20220801_093127_SELL_0001,SELL,B,12875.75,771,2022-08-01T13:31:29.041525556+00:00,6836021967846,12875.75,1.0,1.0,True,True,0.0,0.0,1.0,1.0,True,True,0.0
2022-08-01,LB_20220801_093127_SELL_0001,SELL,B,12875.75,781,2022-08-01T13:31:29.047678247+00:00,6836021967834,12875.75,1.0,1.0,True,True,0.0,0.0,1.0,1.0,True,True,0.0
2022-08-04,LB_20220804_093511_BUY_0001,BUY,A,13305.25,12,2022-08-04T13:35:12.035908161+00:00,6836136294447,13305.25,1.0,1.0,True,True,0.0,0.0,1.0,1.0,True,True,0.0
2022-08-04,LB_20220804_093511_BUY_0001,BUY,A,13305.25,1514,2022-08-04T13:35:13.166188047+00:00,6836136294663,13305.25,1.0,1.0,True,True,0.0,0.0,1.0,1.0,True,True,0.0
2022-08-04,LB_20220804_093511_BUY_0001,BUY,A,13305.25,1738,2022-08-04T13:35:13.340818600+00:00,6836136294752,13305.25,1.0,1.0,True,True,0.0,0.0,1.0,1.0,True,True,0.0
2022-08-04,LB_20220804_093511_BUY_0001,BUY,A,13305.25,1738,2022-08-04T13:35:13.340818600+00:00,6836136299300,13305.25,1.0,1.0,True,True,0.0,0.0,1.0,1.0,True,True,0.0
2022-08-04,LB_20220804_093511_BUY_0001,BUY,A,13305.25,1738,2022-08-04T13:35:13.340818600+00:00,6836136299388,13305.25,1.0,1.0,True,True,0.0,0.0,1.0,1.0,True,True,0.0
2022-08-04,LB_20220804_093511_BUY_0001,BUY,A,13305.25,1792,2022-08-04T13:35:13.459233167+00:00,6836136299559,13305.25,1.0,1.0,True,True,0.0,0.0,1.0,1.0,True,True,0.0
2022-08-09,LB_20220809_093105_SELL_0001,SELL,B,13069.5,4,2022-08-09T13:31:06.048288547+00:00,6836239356987,13069.5,1.0,1.0,True,True,0.0,0.0,1.0,1.0,True,True,0.0
2022-08-09,LB_20220809_093105_SELL_0001,SELL,B,13069.5,4,2022-08-09T13:31:06.048288547+00:00,6836239700205,13069.5,1.0,0.0,False,False,1.0,1.0,0.0,1.0,True,True,0.0
2022-08-09,LB_20220809_093105_SELL_0001,SELL,B,13069.5,10,2022-08-09T13:31:06.048481547+00:00,6836239700205,13069.5,1.0,1.0,True,True,0.0,0.0,1.0,1.0,True,True,0.0
2022-08-09,LB_20220809_093105_SELL_0001,SELL,B,13069.5,175,2022-08-09T13:31:06.115058786+00:00,6836240215827,13069.5,1.0,1.0,True,True,0.0,0.0,1.0,1.0,True,True,0.0
2022-08-09,LB_20220809_093105_SELL_0001,SELL,B,13069.5,175,2022-08-09T13:31:06.115058786+00:00,6836240215886,13069.5,1.0,1.0,True,True,0.0,0.0,1.0,1.0,True,True,0.0
2022-08-09,LB_20220809_093105_SELL_0001,SELL,B,13069.5,201,2022-08-09T13:31:06.116686315+00:00,6836240216343,13069.5,1.0,1.0,True,True,0.0,0.0,1.0,1.0,True,True,0.0
2022-08-09,LB_20220809_093105_SELL_0001,SELL,B,13069.5,207,2022-08-09T13:31:06.117607618+00:00,6836240216354,13069.5,1.0,1.0,True,True,0.0,0.0,1.0,1.0,True,True,0.0
2022-08-09,LB_20220809_093105_SELL_0001,SELL,B,13069.5,335,2022-08-09T13:31:06.134573610+00:00,6836240216624,13069.5,1.0,1.0,True,True,0.0,0.0,1.0,1.0,True,True,0.0
2022-08-09,LB_20220809_093105_SELL_0001,SELL,B,13069.5,368,2022-08-09T13:31:06.137018155+00:00,6836240216668,13069.5,1.0,1.0,True,True,0.0,0.0,1.0,1.0,True,True,0.0
2022-08-09,LB_20220809_093105_SELL_0001,SELL,B,13069.5,2368,2022-08-09T13:31:07.334789556+00:00,6836240216700,13069.5,1.0,1.0,True,True,0.0,0.0,1.0,1.0,True,True,0.0
2022-08-09,LB_20220809_093105_SELL_0001,SELL,B,13069.5,2368,2022-08-09T13:31:07.334789556+00:00,6836240216711,13069.5,1.0,1.0,True,True,0.0,0.0,1.0,1.0,True,True,0.0
2022-08-09,LB_20220809_093105_SELL_0001,SELL,B,13069.5,2368,2022-08-09T13:31:07.334789556+00:00,6836240216714,13069.5,1.0,1.0,True,True,0.0,0.0,1.0,1.0,True,True,0.0
