feature,mechanism_family,direction_from_old_A_minus_B,coverage_old_pct,coverage_new_pct,auc_old_oriented,auc_new_oriented,p_permutation_new_fixed_direction,auc_2025,auc_2026,auc_BUY,auc_SELL,q_bh_new,stable_univariate_candidate
Acceleration3s,BURST_INTENSITY,-1,100.0,100.0,0.5084104289318755,0.4244444444444444,0.6948610277944411,0.4,0.6166666666666666,0.6296296296296297,0.5952380952380953,0.9952009598080384,0
Volume_AtEntry,BURST_INTENSITY,1,100.0,100.0,0.5634987384356602,0.4222222222222222,0.7212557488502299,0.4355555555555555,0.4333333333333333,0.46913580246913583,0.373015873015873,0.9952009598080384,0
Velocity3s,BURST_INTENSITY,-1,100.0,100.0,0.5033641715727502,0.4211111111111111,0.7168566286742651,0.3466666666666666,0.7166666666666667,0.6111111111111112,0.6825396825396826,0.9952009598080384,0
Prior_Volume_At_Level_Band_60s,LEVEL_MEMORY,-1,100.0,100.0,0.6198486122792263,0.40555555555555556,0.8954209158168366,0.3466666666666667,0.4666666666666667,0.46913580246913583,0.4365079365079365,0.9952009598080384,0
TicksPerSecond,BURST_INTENSITY,-1,100.0,100.0,0.4760302775441547,0.40444444444444444,0.7780443911217756,0.3577777777777777,0.5666666666666667,0.6234567901234568,0.6150793650793651,0.9952009598080384,0
Velocity1s,BURST_INTENSITY,-1,100.0,100.0,0.4760302775441547,0.40444444444444444,0.7714457108578284,0.3577777777777777,0.5666666666666667,0.6234567901234568,0.6150793650793651,0.9952009598080384,0
Cumulative_Delta_AtEntry,BURST_INTENSITY,-1,100.0,100.0,0.543313708999159,0.4011111111111111,0.794241151769646,0.4444444444444444,0.36666666666666664,0.48148148148148145,0.4325396825396825,0.9952009598080384,0
delta_persistence_1_3,BURST_INTENSITY,-1,100.0,100.0,0.5668629100084105,0.4,0.8684263147370526,0.3333333333333333,0.5333333333333332,0.4444444444444445,0.38888888888888884,0.9952009598080384,0
Delta_Retention_1_3,FLOW_PERSISTENCE,-1,100.0,100.0,0.5668629100084105,0.4,0.8658268346330734,0.3333333333333333,0.5333333333333332,0.4444444444444445,0.38888888888888884,0.9952009598080384,0
Flow_1_3_DirectionalNetDelta,FLOW_PERSISTENCE,-1,100.0,100.0,0.5651808242220353,0.39555555555555555,0.9264147170565887,0.2711111111111111,0.5833333333333334,0.40123456790123463,0.4007936507936508,0.9952009598080384,0
Flow_1_3_GrossAggressive,FLOW_PERSISTENCE,-1,100.0,100.0,0.47687132043734237,0.39,0.9426114777044591,0.30000000000000004,0.4666666666666666,0.37037037037037035,0.3412698412698413,0.9952009598080384,0
Directional_VWAP_Distance_Ticks_AtEntry,AUCTION_CONTEXT,1,100.0,100.0,0.6438183347350716,0.3844444444444445,0.9158168366326734,0.4888888888888889,0.16666666666666666,0.37037037037037035,0.3968253968253968,0.9952009598080384,0
PeakNegativeDelta,BURST_INTENSITY,-1,100.0,100.0,0.5643397813288478,0.38222222222222224,0.8020395920815837,0.3244444444444444,0.5833333333333333,0.8148148148148148,0.4126984126984127,0.9952009598080384,0
Delta10s,BURST_INTENSITY,-1,100.0,100.0,0.49158957106812445,0.37444444444444447,0.8820235952809438,0.29999999999999993,0.7,0.4320987654320988,0.6309523809523809,0.9952009598080384,0
