ordinal,CaseID,source_sha256,output_sha256,source_size,output_size,metadata_clean,information_change
49,HB049,1101968c051fb3b624ab9ee78c6484b8d15fde060ae6ce48692df8d7683ce290,5585b240756e3d0298da99edb443130fdba74a8545d6eb20d26efab9ea2f5edc,1703x1247,1727x1263,True,NONE_COSMETIC_ONLY
50,HB050,f2a61d5f574a645cb233c5ba18af12c50bcc2e3740f26e24db9f9ca6c59a95d4,0d60787f6036f2989bc31c83b784ab6684e0433af7767752d29808bb8a866ae8,1703x1247,1727x1263,True,NONE_COSMETIC_ONLY
51,HB051,ba0ca317462db21aa99132a7b9eba05ed1a32de65b0942d7fbc0a786ae1c1ee3,0e9be93410b72b41ed42dd6d63aacf704869068caba639cedf548e5af7da5857,1703x1247,1727x1263,True,NONE_COSMETIC_ONLY
52,HB052,c41cdd980456a8251e1fdce14a07a3e1249facf079587272936d23b51798082d,08e9fe4d9305b827b5e2edf7f54afcdc90d6ea29d807a7fab30b570f730ff17f,1703x1247,1727x1263,True,NONE_COSMETIC_ONLY
53,HB053,51e2b694709ca7c0098b6b68c8b3b64ddc4d574f456b733581aba0386369d556,827d50c41a80a15e5972aae4019b220c3631cba80c4833c56cc6da7c35edefe4,1703x1247,1727x1263,True,NONE_COSMETIC_ONLY
54,HB054,00141aa41745a482a666d57905c43aad0bd7e7284868ef451c61d87c7a13240e,00f43c4fbc8a955f17c8a0c26e762e29b4b033d5c3d52a3cb78942437470d260,1703x1247,1727x1263,True,NONE_COSMETIC_ONLY
55,HB055,5e45ee22bd841c3d4fdf836e13ea8d118cef26fca002960da6df4785a68a8515,4c2a35b08a5005bd3467efdad3a3b62639f2f643179ef473db9fdb07b8b7313e,1703x1247,1727x1263,True,NONE_COSMETIC_ONLY
56,HB056,0c03c90f9043e543c5ee28c1f6c912db68bc6570a06935b75fd28a014bc89cb9,5244f00b518366bbe3f6e7324feda7f381384c8b85f8bf5eb77dce54c3a4c0e2,1703x1247,1727x1263,True,NONE_COSMETIC_ONLY
57,HB057,8594a98fde575af52504bac139c4dc0a35238d9cb3e62da0f40ed3f42f513db4,9c6d0bd1462190d90521c9ef8e97d81bbfcc89db4c49cda88bf930eae347a3b3,1703x1247,1727x1263,True,NONE_COSMETIC_ONLY
58,HB058,2d300276a570250a0da82f859d5482dc0fafc9c26546961236993f96d86a2f70,bedeb61f8266ace9f7573125a048d6a43dc331144d9a6debd86ac871ef4f6bdf,1703x1247,1727x1263,True,NONE_COSMETIC_ONLY
59,HB059,4a3117251532722c1c9b6e33e8fdc87473fd980f174257c0271f92bcf7c6e09f,20638011bf4b6bf9788c9e6abef621b585c2d551d5e49a7054828e27396e455f,1703x1247,1727x1263,True,NONE_COSMETIC_ONLY
60,HB060,8d4761173a3a2009a0f638112b652b2da651a14865127acf2d8e6fc6aaa5962a,ea3c75fdb1203c18cf5d32256d7abc09f99e038bc0b397fc6189d9a294867c83,1703x1247,1727x1263,True,NONE_COSMETIC_ONLY
61,HB061,003d4ce536b22fca598e7958665c31e17ef095866d2e6c206845c27637714a4b,b3206ef0556013bd1ed8024cb251c337594c4eaa862b653637df7e4de4735c1a,1703x1247,1727x1263,True,NONE_COSMETIC_ONLY
62,HB062,9cfb19c84815915a3cf8d0db6b1cd2ebdc2fa718fd53b37912c5680a8c132088,3d2d6e8631341dd2d365e3587e80a31c22ec06ca556ad8ff95ba8a9158cf4d8f,1703x1247,1727x1263,True,NONE_COSMETIC_ONLY
63,HB063,ca2a23f7939c76c0394133957ddba8fa01cd12e508b144f3556ec3ff9bc6661d,0e574edb87d34f3e24bcc9a5eb414691b0597fd16845560c563c81d32c0452e5,1703x1247,1727x1263,True,NONE_COSMETIC_ONLY
64,HB064,8e6ea2693602cf1d3c0e54d5cb8de545be329c4b7f095a02b7ae35fc1e139653,a79a256172882be76e36db3cac5a09f5469f21fac754d7c68b3b64b9533c3e2e,1703x1247,1727x1263,True,NONE_COSMETIC_ONLY
65,HB065,a0041f0548ce06fe4578327c380ccc72857acc4d0a5d179635e633192db1b87d,86cf83319ed4aa577311e86002beb7df267f64d3b4a45e63c22e2e7df459bbcc,1703x1247,1727x1263,True,NONE_COSMETIC_ONLY
66,HB066,b46f8bf78f794a608e26b09de8283a9cdb75a8185a782f7b5799789bce73871e,9cc9f87ed0f23c1b4eb1529f419e9fd83e6780caa0098d425b0370a8ca0d8cb8,1703x1247,1727x1263,True,NONE_COSMETIC_ONLY
67,HB067,fa1811c647c861b8f645d7d31407101b39feeae51e909bb0f03ae9409ab224fe,e43130f9a4b0808ef70024561f139acb96ec9e4ff8397131de673e92aab7fca1,1703x1247,1727x1263,True,NONE_COSMETIC_ONLY
68,HB068,715b69bb63d6a96156ca2502c0a6c371b12f3c1ccc2aa5349045ab252a2e2795,2babe9cf9387104cccda9a9f63c0ea7f8cd9fe44b9a19a678a96637f38f38c70,1703x1247,1727x1263,True,NONE_COSMETIC_ONLY
69,HB069,c6e357fccc4114829495c066783ddbb0f5965dbdb745a4fa36a8341602874c33,e128f9bed0d274fdc834181bcf227315da93116301891c5e26b06983927971c6,1703x1247,1727x1263,True,NONE_COSMETIC_ONLY
70,HB070,b6a807256186945ea6ffb3f2f9267c9a665104728223b4dac6c671c90b087a6e,3649eb0083cf8e2a621d2d1b0a1832508c2edaa1fbb16aaf844666c9eaecb53d,1703x1247,1727x1263,True,NONE_COSMETIC_ONLY
71,HB071,4bfc79187d4ac01e30e06b106bac209faa8eeb502fffec509341e1489e3ca0ef,9ffe800e7528b58837acae2f9765678877415e04892f6f229aa49270474c2fca,1703x1247,1727x1263,True,NONE_COSMETIC_ONLY
72,HB072,70ffd377f9d20588f8a8f6d161b0f7fb28d88922bf9e370e8b7bed7b1bcde044,15c341531e90e95d3aa7b85df6422299450b12726860ca680f7ab1d49998a810,1703x1247,1727x1263,True,NONE_COSMETIC_ONLY
73,HB073,1d30751e9aaae1f80c744ff86693dabf7ac09bfe6d777b266ce32d529de65633,9d28ec1c2a48ef5f0feb08ad4b2b95758edc1f5961e1066d6d9b89f53df1bc7a,1703x1247,1727x1263,True,NONE_COSMETIC_ONLY
74,HB074,f474ebcbda84ec11a5666ab3f7d7b301606f456158bacc334e285ea4316e8815,f4d5763babf4ad7337d504380419c3ae422b18bd21e5d0ab386e89f0f890ca7c,1703x1247,1727x1263,True,NONE_COSMETIC_ONLY
75,HB075,adf6c675727e3f59abb42379135747b2a9d88ed5f571201ddbd5b003250e73a4,0fea52a0a507edf16de315324ad7ee77be5e303300b1bc9a4c7c18fb01534061,1703x1247,1727x1263,True,NONE_COSMETIC_ONLY
76,HB076,a5491f42d02d99437d9d04879872c3fbcff511208fa1df725d14634604a358b1,87436d31df30b71c84464934ac44442c7e6fac51a9ad4b11eb160a31d00dce40,1703x1247,1727x1263,True,NONE_COSMETIC_ONLY
77,HB077,e0e7b10190ead655c559193c80fb4c8c0a2b69dafd75f0d2141be3844abd2a9b,b99cd904b7729a8975b62ed096bff22314bbab546586d19560b1ce0a9e1acd20,1703x1247,1727x1263,True,NONE_COSMETIC_ONLY
78,HB078,83627d13a78edbd4dc97ecf1afd37e816f014a80fd6cfe7a58a197d8d1043296,db03129e28f4f304fe6c1eb874f615201b51074569d21b4d9b4253c45db02aba,1703x1247,1727x1263,True,NONE_COSMETIC_ONLY
79,HB079,063f9cc90be1dee012dcafc6d3d2bb932a7e827c4dbfb739c86cda70718d8ad4,8dca443938947199c6d25e7214b09732bf845c38e5f05025d27706f1d4c18b66,1703x1247,1727x1263,True,NONE_COSMETIC_ONLY
80,HB080,c6568bef522f285f04514296e24d3bb483a50f478bab4219d49f99fc2c652826,64ec887f4c4059877a852246fc769e7ba1e5f28aecde963086700fc0bd44a7f8,1703x1247,1727x1263,True,NONE_COSMETIC_ONLY
81,HB081,7d16c9e508afc5b155de9bd4a0b3492ada88e6b5d60b169b28409d8fa94503b8,e5d109baf552a6699d22068b0ac2e1436feed9123ad03abd6d144db394f9c65a,1703x1247,1727x1263,True,NONE_COSMETIC_ONLY
82,HB082,58f3dc6580553e0c5de500aedc039c67904950f9abea088b06ffffa99353847e,d7f7f922e6b2a395700abc0b81bcc5e4b8f9a13dfd820a24b58e45ef160b056d,1703x1247,1727x1263,True,NONE_COSMETIC_ONLY
83,HB083,fd4c2a769c904c1e0ec91a53d625939fcaef276fa21520caff2318fdc0a27ab9,63636e37469c866a11464d8d2eae383d08105144fa8e92f12f27189af7a26b30,1703x1247,1727x1263,True,NONE_COSMETIC_ONLY
84,HB084,1c8f7b015f09f93d541973bfaa45d9171a1edddeaae112323c6bd265eee8c84e,0bb9b9266b315e188ccca0070958decad9abcbe4c1d3e74debc57d2a1b053c02,1703x1247,1727x1263,True,NONE_COSMETIC_ONLY
