fecha,BurstId,prediction_timestamp,burst_event_timestamp,burst_timestamp,split,family,family_reason,ExecutionSide,BurstSide,Entry_price,Initial_SL_ticks,Initial_TP_ticks,Result_Label,result TP SL BE,MAE_ticks,MFE_ticks,ExitTime_NY_Milliseconds,causal_row_flag,canonical_source_file,Signal_Source,Liquidity_Burst_ID_AtEntry
2022-08-04,LB_20220804_093511_BUY_0001,2022-08-04 13:35:12.032000+00:00,2022-08-04 13:35:11+00:00,2022-08-04 13:35:12+00:00,discovery,A_TRUE_ABSORPTION,TP; MAE<=10; MFE>=TP inicial,SELL,BUY,13305.0,60,60,TP,+60,0,190,09:40:00.065,True,C:\Users\k_99_\Desktop\codding\data_footprint_generator\trade_results_score\score_trade_result_2022-08-04_NY.csv,LIQUIDITY BURST ABSORTION,LB_20220804_093511_BUY_0001
2022-08-09,LB_20220809_093105_SELL_0001,2022-08-09 13:31:06.048000+00:00,2022-08-09 13:31:05+00:00,2022-08-09 13:31:06+00:00,discovery,B_CLEAN_BREAKOUT,SL; MFE<=10; MAE>=SL inicial,BUY,SELL,13072.5,60,60,SL,-60,60,0,09:31:48.490,True,C:\Users\k_99_\Desktop\codding\data_footprint_generator\trade_results_score\score_trade_result_2022-08-09_NY.csv,LIQUIDITY BURST ABSORTION,LB_20220809_093105_SELL_0001
2022-08-15,LB_20220815_093300_BUY_0001,2022-08-15 13:33:01.053000+00:00,2022-08-15 13:33:00+00:00,2022-08-15 13:33:01+00:00,discovery,B_CLEAN_BREAKOUT,SL; MFE<=10; MAE>=SL inicial,SELL,BUY,13583.75,60,60,SL,-60,60,0,09:34:42.152,True,C:\Users\k_99_\Desktop\codding\data_footprint_generator\trade_results_score\score_trade_result_2022-08-15_NY.csv,LIQUIDITY BURST ABSORTION,LB_20220815_093300_BUY_0001
2022-08-17,LB_20220817_093558_BUY_0001,2022-08-17 13:35:59.026000+00:00,2022-08-17 13:35:58+00:00,2022-08-17 13:35:59+00:00,discovery,A_TRUE_ABSORPTION,TP; MAE<=10; MFE>=TP inicial,SELL,BUY,13561.25,60,60,TP,+60,0,60,09:37:09.586,True,C:\Users\k_99_\Desktop\codding\data_footprint_generator\trade_results_score\score_trade_result_2022-08-17_NY.csv,LIQUIDITY BURST ABSORTION,LB_20220817_093558_BUY_0001
2022-08-31,LB_20220831_093400_SELL_0001,2022-08-31 13:34:01.039000+00:00,2022-08-31 13:34:00+00:00,2022-08-31 13:34:01+00:00,discovery,B_CLEAN_BREAKOUT,SL; MFE<=10; MAE>=SL inicial,BUY,SELL,12430.0,60,60,SL,-60,60,0,09:34:11.406,True,C:\Users\k_99_\Desktop\codding\data_footprint_generator\trade_results_score\score_trade_result_2022-08-31_NY.csv,LIQUIDITY BURST ABSORTION,LB_20220831_093400_SELL_0001
2022-09-01,LB_20220901_093124_SELL_0002,2022-09-01 13:31:25.053000+00:00,2022-09-01 13:31:24+00:00,2022-09-01 13:31:25+00:00,discovery,B_CLEAN_BREAKOUT,SL; MFE<=10; MAE>=SL inicial,BUY,SELL,12158.75,60,60,SL,-60,60,5,09:33:29.287,True,C:\Users\k_99_\Desktop\codding\data_footprint_generator\trade_results_score\score_trade_result_2022-09-01_NY.csv,LIQUIDITY BURST ABSORTION,LB_20220901_093124_SELL_0002
2022-09-06,LB_20220906_093405_BUY_0001,2022-09-06 13:34:06.074000+00:00,2022-09-06 13:34:05+00:00,2022-09-06 13:34:06+00:00,discovery,C_MIXED_PATH,TP/SL con excursión intermedia; no cumple A ni B estricta,SELL,BUY,12106.25,60,60,SL,-60,60,20,09:35:12.927,True,C:\Users\k_99_\Desktop\codding\data_footprint_generator\trade_results_score\score_trade_result_2022-09-06_NY.csv,LIQUIDITY BURST ABSORTION,LB_20220906_093405_BUY_0001
2022-09-28,LB_20220928_093328_SELL_0001,2022-09-28 13:33:29.039000+00:00,2022-09-28 13:33:28+00:00,2022-09-28 13:33:29+00:00,discovery,B_CLEAN_BREAKOUT,SL; MFE<=10; MAE>=SL inicial,BUY,SELL,11297.5,60,60,SL,-60,60,0,09:34:06.303,True,C:\Users\k_99_\Desktop\codding\data_footprint_generator\trade_results_score\score_trade_result_2022-09-28_NY.csv,LIQUIDITY BURST ABSORTION,LB_20220928_093328_SELL_0001
2022-10-06,LB_20221006_093213_SELL_0001,2022-10-06 13:32:14.069000+00:00,2022-10-06 13:32:13+00:00,2022-10-06 13:32:14+00:00,discovery,C_MIXED_PATH,TP/SL con excursión intermedia; no cumple A ni B estricta,BUY,SELL,11622.5,60,60,TP,+60,25,60,09:32:37.930,True,C:\Users\k_99_\Desktop\codding\data_footprint_generator\trade_results_score\score_trade_result_2022-10-06_NY.csv,LIQUIDITY BURST ABSORTION,LB_20221006_093213_SELL_0001
2022-10-11,LB_20221011_093101_SELL_0001,2022-10-11 13:31:02.078000+00:00,2022-10-11 13:31:01+00:00,2022-10-11 13:31:02+00:00,discovery,C_MIXED_PATH,TP/SL con excursión intermedia; no cumple A ni B estricta,BUY,SELL,10905.0,60,60,TP,+60,45,60,09:31:44.886,True,C:\Users\k_99_\Desktop\codding\data_footprint_generator\trade_results_score\score_trade_result_2022-10-11_NY.csv,LIQUIDITY BURST ABSORTION,LB_20221011_093101_SELL_0001
