day,delta,volume,delta_ratio,n_trades,tape_move,delta_max,delta_min,delta_end_vs_max
2022-08-16,278.0,10792.0,0.02575982209043736,10172,11.25,295.0,-366.0,-17.0
2022-08-17,273.0,10473.0,0.02606702950443999,9767,21.25,305.0,-257.0,-32.0
2022-08-18,-155.0,9033.0,-0.01715930477139378,8289,-1.25,31.0,-408.0,-186.0
2022-08-19,612.0,14502.0,0.042201075713694663,13526,6.25,863.0,-230.0,-251.0
2022-08-22,-150.0,14032.0,-0.010689851767388826,12755,-10.0,211.0,-163.0,-361.0
2022-08-23,369.0,11063.0,0.03335442465877248,9993,40.0,379.0,-110.0,-10.0
2022-08-24,1147.0,10733.0,0.10686667287803969,9718,17.5,1292.0,-22.0,-145.0
2022-08-25,611.0,11959.0,0.05109122836357555,10975,-13.75,619.0,-243.0,-8.0
2022-08-26,-574.0,8726.0,-0.06578042631217053,8226,-22.5,178.0,-610.0,-752.0
2022-08-29,580.0,14044.0,0.04129877527769866,12932,38.75,659.0,-304.0,-79.0
2022-08-30,-26.0,11296.0,-0.002301699716713881,10429,3.75,216.0,-352.0,-242.0
2022-08-31,30.0,12352.0,0.0024287564766839378,11537,-43.75,343.0,-211.0,-313.0
2022-09-01,-230.0,13024.0,-0.01765970515970516,12172,-12.5,314.0,-329.0,-544.0
2022-09-02,-323.0,12079.0,-0.02674062422385959,10889,-57.5,223.0,-343.0,-546.0
2022-09-06,-315.0,13191.0,-0.023879918125994996,12153,-18.75,174.0,-315.0,-489.0
2022-09-07,458.0,11222.0,0.04081268936018535,10402,27.5,629.0,-59.0,-171.0
2022-09-08,-306.0,15766.0,-0.0194088544970189,14259,-21.25,3.0,-1024.0,-309.0
2022-09-09,-16.0,9194.0,-0.001740265390472047,8542,40.0,127.0,-348.0,-143.0
2022-09-12,157.0,9091.0,0.01726982730172698,8548,23.75,170.0,-186.0,-13.0
2022-09-13,-349.0,13299.0,-0.026242574629671403,12203,33.75,119.0,-478.0,-468.0
2022-09-14,-384.0,12274.0,-0.031285644451686495,11380,-27.5,25.0,-636.0,-409.0
2022-09-15,142.0,11388.0,0.012469265893923429,10551,-8.75,176.0,-346.0,-34.0
2022-09-16,-1065.0,19265.0,-0.055281598754217495,17393,-33.75,40.0,-1475.0,-1105.0
2022-09-19,757.0,13127.0,0.057667403062390495,11862,51.25,854.0,-67.0,-97.0
2022-09-20,473.0,13117.0,0.036060074712205535,11742,6.25,588.0,-91.0,-115.0
2022-09-21,196.0,10106.0,0.019394419156936474,9316,0.0,387.0,-51.0,-191.0
2022-09-22,112.0,12956.0,0.0086446434084594,12105,21.25,176.0,-398.0,-64.0
2022-09-23,324.0,13106.0,0.02472150160231955,12226,-28.75,539.0,-60.0,-215.0
2022-09-26,-175.0,12567.0,-0.013925360070024668,11529,46.25,54.0,-374.0,-229.0
2022-09-27,-368.0,13158.0,-0.02796777625778994,12187,30.0,43.0,-368.0,-411.0
2022-09-28,7.0,12549.0,0.0005578133715833931,11646,-18.75,222.0,-274.0,-215.0
2022-09-29,579.0,13595.0,0.0425891872011769,12589,-15.0,836.0,-43.0,-257.0
2022-09-30,122.0,13076.0,0.009330070357907618,11874,8.75,283.0,-118.0,-161.0
2022-10-03,71.0,12567.0,0.005649717514124294,11460,-25.0,470.0,-60.0,-399.0
2022-10-04,90.0,15560.0,0.005784061696658098,14170,30.0,453.0,-82.0,-363.0
2022-10-05,243.0,13553.0,0.01792960968051354,12602,35.0,321.0,-124.0,-78.0
2022-10-06,251.0,13303.0,0.018867924528301886,12387,45.0,609.0,-28.0,-358.0
2022-10-07,-360.0,15600.0,-0.023076923076923078,14470,-43.75,55.0,-633.0,-415.0
2022-10-10,-216.0,11752.0,-0.018379850238257316,11136,-26.25,140.0,-283.0,-356.0
2022-10-11,-333.0,12235.0,-0.02721700040866367,11393,3.75,25.0,-555.0,-358.0
2022-10-12,29.0,13713.0,0.002114781594107781,12709,-48.75,466.0,-236.0,-437.0
2022-10-13,44.0,17026.0,0.002584282861505932,15318,-27.5,527.0,-1.0,-483.0
2022-10-14,210.0,15986.0,0.01313649443262855,14913,-8.75,535.0,-67.0,-325.0
2022-10-17,-1024.0,16774.0,-0.06104685823297961,15526,35.0,217.0,-1024.0,-1241.0
2022-10-18,-775.0,16927.0,-0.04578484078690849,15318,17.5,288.0,-781.0,-1063.0
2022-10-19,717.0,13511.0,0.05306787062393605,12578,16.25,1006.0,-67.0,-289.0
2022-10-20,541.0,11689.0,0.046282830011121566,10767,25.0,760.0,-84.0,-219.0
2022-10-21,677.0,16403.0,0.04127293787721758,14908,40.0,681.0,-84.0,-4.0
2022-10-24,520.0,12698.0,0.04095133091825484,11664,-43.75,522.0,1.0,-2.0
2022-10-25,259.0,13143.0,0.019706307540135432,11935,50.0,617.0,-167.0,-358.0
2022-10-26,-354.0,19240.0,-0.0183991683991684,17735,13.75,69.0,-933.0,-423.0
2022-10-27,272.0,13942.0,0.019509396069430498,12562,42.5,416.0,-2.0,-144.0
2022-10-28,1249.0,17337.0,0.0720424525581127,15569,55.0,1458.0,-66.0,-209.0
2022-10-31,-236.0,15110.0,-0.015618795499669094,14065,-25.0,445.0,-293.0,-681.0
2022-11-01,200.0,14980.0,0.01335113484646195,13953,2.5,417.0,-100.0,-217.0
2022-11-02,-549.0,11071.0,-0.049589016349019965,10382,-45.0,187.0,-564.0,-736.0
2022-11-03,-333.0,15491.0,-0.021496352720934735,14513,-30.0,-1.0,-545.0,-332.0
2022-11-04,-801.0,19825.0,-0.040403530895334175,18130,-52.5,503.0,-818.0,-1304.0
2023-05-12,832.0,11544.0,0.07207207207207207,10541,13.75,841.0,1.0,-9.0
2023-05-15,-393.0,11989.0,-0.03278004837767954,11016,-6.25,37.0,-716.0,-430.0
2023-05-16,191.0,9439.0,0.020235194406187096,8782,28.75,449.0,-17.0,-258.0
2023-05-18,505.0,7835.0,0.06445437141033823,7129,17.5,508.0,-24.0,-3.0
2023-05-19,168.0,12856.0,0.013067828251400125,11970,-1.25,316.0,-211.0,-148.0
2023-05-22,-266.0,12596.0,-0.021117815179422038,11216,10.0,128.0,-333.0,-394.0
2023-05-24,-361.0,10621.0,-0.03398926654740608,9947,-12.5,15.0,-492.0,-376.0
2023-05-26,97.0,6311.0,0.015369988908255427,5994,8.75,205.0,-94.0,-108.0
2023-05-30,84.0,12200.0,0.006885245901639345,11400,-14366.0,140.0,-222.0,-56.0
2023-05-31,-242.0,9480.0,-0.02552742616033755,8762,10.0,233.0,-278.0,-475.0
2023-06-02,1609.0,14509.0,0.11089668481632091,13444,,1652.0,-10.0,-43.0
2023-06-06,-647.0,10477.0,-0.061754318984442114,9666,-28.75,5.0,-721.0,-652.0
2023-06-09,398.0,11758.0,0.03384929409763565,10963,21.25,566.0,-12.0,-168.0
2023-06-13,493.0,9805.0,0.050280469148393674,9148,-1.25,527.0,-10.0,-34.0
2023-06-14,-15.0,7783.0,-0.0019272773994603624,7139,-21.25,286.0,-110.0,-301.0
2023-06-15,-1.0,9347.0,-0.00010698619878035734,8919,-7.5,206.0,-181.0,-207.0
2023-06-16,-3.0,14313.0,-0.00020959966464053657,12890,-55.0,189.0,-261.0,-192.0
2023-06-22,-66.0,10036.0,-0.00657632522917497,9264,27.5,69.0,-540.0,-135.0
2023-06-26,-270.0,5882.0,-0.045902754165249915,5412,-11.25,10.0,-274.0,-280.0
2023-06-27,-458.0,9584.0,-0.04778797996661102,8994,-16.25,381.0,-474.0,-839.0
2023-06-28,648.0,13358.0,0.04851025602635125,12540,21.25,702.0,-58.0,-54.0
2023-06-30,-71.0,7409.0,-0.009582939667971387,6947,5.0,175.0,-80.0,-246.0
2023-07-03,253.0,8995.0,0.02812673707615342,8401,11.25,263.0,-77.0,-10.0
2023-07-05,1041.0,14481.0,0.07188730060078724,13268,45.0,1060.0,-23.0,-19.0
2023-07-06,-200.0,11976.0,-0.016700066800267203,11160,-8.75,309.0,-221.0,-509.0
2023-07-07,174.0,11460.0,0.015183246073298429,10790,12.5,286.0,-266.0,-112.0
2023-07-10,630.0,14672.0,0.042938931297709926,13505,33.75,727.0,-45.0,-97.0
2023-07-11,-53.0,11985.0,-0.004422194409678765,11196,-12.5,212.0,-324.0,-265.0
2023-07-13,-264.0,8896.0,-0.029676258992805755,8184,7.5,97.0,-314.0,-361.0
2023-07-14,726.0,15460.0,0.046959896507115136,14050,42.5,866.0,-2.0,-140.0
2023-07-17,1243.0,9307.0,0.1335553884173203,8422,20.0,1315.0,-35.0,-72.0
2023-07-18,-1097.0,12609.0,-0.08700134824331826,11674,-35.0,16.0,-1098.0,-1113.0
2023-07-20,436.0,9802.0,0.04448071822077127,8979,,439.0,-45.0,-3.0
2023-07-21,-157.0,10059.0,-0.015607913311462373,8985,-15.0,9.0,-567.0,-166.0
2023-07-24,-11.0,13483.0,-0.0008158421716235259,12288,17.5,819.0,-48.0,-830.0
2023-07-26,125.0,9799.0,0.012756403714664761,9029,-22.5,362.0,-156.0,-237.0
2023-07-27,381.0,10695.0,0.03562412342215989,9966,15.0,387.0,-147.0,-6.0
2023-07-28,-757.0,11325.0,-0.06684326710816776,10662,-15.0,4.0,-759.0,-761.0
2023-07-31,837.0,10217.0,0.08192228638543604,9577,31.25,862.0,-13.0,-25.0
2023-08-01,-81.0,11063.0,-0.0073217029738768865,10482,-20.0,79.0,-255.0,-160.0
2023-08-02,-167.0,9941.0,-0.016799114777185393,9007,-22.5,45.0,-601.0,-212.0
2023-08-03,738.0,9226.0,0.07999132885324084,8585,32.5,782.0,-22.0,-44.0
2023-08-08,-163.0,9073.0,-0.01796539182188912,8592,-17.5,-1.0,-403.0,-162.0
2023-08-09,-110.0,11626.0,-0.009461551694477894,10816,-18.75,196.0,-345.0,-306.0
2023-08-15,188.0,10912.0,0.01722873900293255,10182,12.5,381.0,-115.0,-193.0
2023-08-18,844.0,13180.0,0.06403641881638847,12140,30.0,844.0,-109.0,0.0
2023-08-21,315.0,8139.0,0.03870254330998894,7721,13.75,346.0,-3.0,-31.0
2023-08-22,-474.0,8748.0,-0.0541838134430727,8190,-27.5,4.0,-650.0,-478.0
2023-08-23,-271.0,8757.0,-0.030946671234441017,8255,3.75,329.0,-274.0,-600.0
