day,delta_ratio,delta,volume,tape_move,long_pnl,short_pnl
2022-10-10,-0.018379850238257316,-216.0,11752.0,-26.25,-44,36
2022-10-11,-0.02721700040866367,-333.0,12235.0,3.75,-44,36
2022-10-12,0.002114781594107781,29.0,13713.0,-48.75,-44,36
2022-10-13,0.002584282861505932,44.0,17026.0,-27.5,-44,36
2022-10-14,0.01313649443262855,210.0,15986.0,-8.75,36,-44
2022-10-17,-0.06104685823297961,-1024.0,16774.0,35.0,36,-44
2022-10-18,-0.04578484078690849,-775.0,16927.0,17.5,-44,36
2022-10-19,0.05306787062393605,717.0,13511.0,16.25,36,-44
2022-10-20,0.046282830011121566,541.0,11689.0,25.0,36,-44
2022-10-21,0.04127293787721758,677.0,16403.0,40.0,-44,36
2022-10-24,0.04095133091825484,520.0,12698.0,-43.75,-44,36
2022-10-25,0.019706307540135432,259.0,13143.0,50.0,-44,36
2022-10-26,-0.0183991683991684,-354.0,19240.0,13.75,-44,36
2022-10-27,0.019509396069430498,272.0,13942.0,42.5,36,-44
2022-10-28,0.0720424525581127,1249.0,17337.0,55.0,36,-44
2022-10-31,-0.015618795499669094,-236.0,15110.0,-25.0,36,-44
2022-11-01,0.01335113484646195,200.0,14980.0,2.5,-44,36
2022-11-02,-0.049589016349019965,-549.0,11071.0,-45.0,-44,36
2022-11-03,-0.021496352720934735,-333.0,15491.0,-30.0,36,-44
2022-11-04,-0.040403530895334175,-801.0,19825.0,-52.5,36,-44
2023-05-12,0.07207207207207207,832.0,11544.0,13.75,-44,36
2023-05-15,-0.03278004837767954,-393.0,11989.0,-6.25,-44,36
2023-05-16,0.020235194406187096,191.0,9439.0,28.75,36,-44
2023-05-18,0.06445437141033823,505.0,7835.0,17.5,36,-44
2023-05-19,0.013067828251400125,168.0,12856.0,-1.25,36,-44
2023-05-22,-0.021117815179422038,-266.0,12596.0,10.0,36,-44
2023-05-24,-0.03398926654740608,-361.0,10621.0,-12.5,36,-44
2023-05-26,0.015369988908255427,97.0,6311.0,8.75,36,-44
2023-05-30,0.006885245901639345,84.0,12200.0,-14366.0,36,-44
2023-05-31,-0.02552742616033755,-242.0,9480.0,10.0,36,-44
2023-06-02,0.11089668481632091,1609.0,14509.0,,36,-44
2023-06-06,-0.061754318984442114,-647.0,10477.0,-28.75,-44,36
2023-06-09,0.03384929409763565,398.0,11758.0,21.25,-44,36
2023-06-13,0.050280469148393674,493.0,9805.0,-1.25,36,-44
2023-06-14,-0.0019272773994603624,-15.0,7783.0,-21.25,-44,36
2023-06-15,-0.00010698619878035734,-1.0,9347.0,-7.5,36,-44
2023-06-22,-0.00657632522917497,-66.0,10036.0,27.5,36,-44
2023-06-26,-0.045902754165249915,-270.0,5882.0,-11.25,36,-44
2023-06-27,-0.04778797996661102,-458.0,9584.0,-16.25,36,-44
2023-06-28,0.04851025602635125,648.0,13358.0,21.25,36,-44
2023-06-30,-0.009582939667971387,-71.0,7409.0,5.0,36,-44
2023-07-03,0.02812673707615342,253.0,8995.0,11.25,-44,36
2023-07-05,0.07188730060078724,1041.0,14481.0,45.0,-44,36
2023-07-06,-0.016700066800267203,-200.0,11976.0,-8.75,-44,36
2023-07-07,0.015183246073298429,174.0,11460.0,12.5,-44,36
2023-07-10,0.042938931297709926,630.0,14672.0,33.75,-44,36
2023-07-11,-0.004422194409678765,-53.0,11985.0,-12.5,36,-44
2023-07-13,-0.029676258992805755,-264.0,8896.0,7.5,36,-44
2023-07-14,0.046959896507115136,726.0,15460.0,42.5,-44,36
2023-07-17,0.1335553884173203,1243.0,9307.0,20.0,36,-44
2023-07-18,-0.08700134824331826,-1097.0,12609.0,-35.0,-44,36
2023-07-20,0.04448071822077127,436.0,9802.0,,-44,36
2023-07-21,-0.015607913311462373,-157.0,10059.0,-15.0,36,-44
2023-07-24,-0.0008158421716235259,-11.0,13483.0,17.5,36,-44
2023-07-26,0.012756403714664761,125.0,9799.0,-22.5,-44,36
2023-07-27,0.03562412342215989,381.0,10695.0,15.0,36,-44
2023-07-28,-0.06684326710816776,-757.0,11325.0,-15.0,36,-44
2023-07-31,0.08192228638543604,837.0,10217.0,31.25,-44,36
2023-08-01,-0.0073217029738768865,-81.0,11063.0,-20.0,-44,36
2023-08-02,-0.016799114777185393,-167.0,9941.0,-22.5,36,-44
2023-08-03,0.07999132885324084,738.0,9226.0,32.5,-44,36
2023-08-08,-0.01796539182188912,-163.0,9073.0,-17.5,36,-44
2023-08-09,-0.009461551694477894,-110.0,11626.0,-18.75,36,-44
2023-08-15,0.01722873900293255,188.0,10912.0,12.5,-44,36
2023-08-18,0.06403641881638847,844.0,13180.0,30.0,36,-44
2023-08-21,0.03870254330998894,315.0,8139.0,13.75,36,-44
2023-08-22,-0.0541838134430727,-474.0,8748.0,-27.5,36,-44
2023-08-23,-0.030946671234441017,-271.0,8757.0,3.75,36,-44
2023-08-24,-0.016168148746968473,-240.0,14844.0,-56.25,-44,36
2023-08-25,0.11188607962801511,1155.0,10323.0,33.75,-44,36
2023-08-28,-0.01624231782265145,-222.0,13668.0,-31.25,36,-44
2023-08-31,0.07894556658678535,1153.0,14605.0,41.25,36,-44
2023-09-05,0.021812893843916627,180.0,8252.0,-15.0,36,-44
2023-09-06,-0.009922822491730982,-72.0,7256.0,-11.25,-44,36
2023-09-07,0.02445537596626845,348.0,14230.0,-31.25,36,-44
2023-09-08,0.11301408450704226,1003.0,8875.0,53.75,36,-44
2023-09-12,0.03155006858710562,276.0,8748.0,13.75,-44,36
2023-09-14,0.015012815818381545,205.0,13655.0,-5.0,-44,36
2023-09-18,-0.0185702875399361,-186.0,10016.0,22.5,36,-44
2023-09-20,-0.056827701759285115,-814.0,14324.0,-33.75,36,-44
2023-09-21,0.04597595668532624,501.0,10897.0,13.75,-44,36
2023-09-22,-0.06755136301862659,-845.0,12509.0,-13.75,-44,36
2023-09-25,-0.07064849714893205,-731.0,10347.0,-30.0,-44,36
2023-09-26,-0.03488751222693186,-428.0,12268.0,-12.5,36,-44
2023-09-27,0.036829066886870356,446.0,12110.0,13.75,36,-44
2023-09-28,-0.08755324183625178,-740.0,8452.0,-20.0,-44,36
2023-09-29,-0.006158718986450818,-70.0,11366.0,-8.75,36,-44
2023-10-02,-0.03176861071597914,-268.0,8436.0,10.0,36,-44
2023-10-03,0.08534772745052022,1091.0,12783.0,18.75,-44,36
2023-10-05,-0.017403986387943608,-179.0,10285.0,-15.0,36,-44
2023-10-09,-0.10474413646055437,-786.0,7504.0,-15011.5,-44,36
2023-10-10,0.052925989672977625,492.0,9296.0,7.5,36,-44
2023-10-12,0.031113058720420684,284.0,9128.0,2.5,-44,36
2023-10-13,0.050430762765286824,480.0,9518.0,1.25,-44,36
2023-10-18,0.03632223788355199,335.0,9223.0,16.25,36,-44
2023-10-19,0.06699474331730232,599.0,8941.0,21.25,-44,36
2023-10-20,-0.01973164956590371,-200.0,10136.0,-45.0,36,-44
2023-10-23,0.09640724239264385,1017.0,10549.0,-2.5,-44,36
2023-10-26,0.018143607705779333,259.0,14275.0,21.25,36,-44
2023-10-27,0.036283247947224366,517.0,14249.0,26.25,36,-44
2023-10-30,0.04442190669371197,438.0,9860.0,3.75,36,-44
2023-10-31,-0.020440973817179606,-178.0,8708.0,-26.25,-44,36
2023-11-01,0.09762042948345909,841.0,8615.0,21.25,-44,36
2023-11-03,0.02613627653866789,341.0,13047.0,23.75,-44,36
2024-03-11,-0.014202864244289265,-240.0,16898.0,-41.25,-44,36
2024-03-12,0.03837323712692686,585.0,15245.0,1.25,-44,36
2024-03-13,-0.0385349497033789,-747.0,19385.0,-36.25,36,-44
2024-03-14,-0.012873911397198031,-204.0,15846.0,-31.25,36,-44
2024-03-18,0.05071156544397675,1012.0,19956.0,32.5,36,-44
2024-03-19,0.001604964690776803,30.0,18692.0,-13.75,36,-44
2024-03-20,0.008242879294866563,101.0,12253.0,2.5,36,-44
2024-03-21,-0.02940053455517373,-385.0,13095.0,-17.5,-44,36
2024-03-22,0.017557861133280128,176.0,10024.0,-8.75,36,-44
2024-03-25,-0.008831414603374861,-112.0,12682.0,10.0,36,-44
2024-03-26,0.010283906126395358,117.0,11377.0,0.0,36,-44
2024-03-27,-0.09766327142001198,-1304.0,13352.0,-31.25,-44,36
2024-03-28,-0.049474421864050454,-706.0,14270.0,-32.5,36,-44
2024-04-01,0.027895900663378125,328.0,11758.0,15.0,36,-44
2024-04-02,0.029948867786705625,533.0,17797.0,-3.75,-44,36
2024-04-03,0.05506003430531732,642.0,11660.0,26.25,-44,36
2024-04-04,-0.00628053035589672,-72.0,11464.0,-1.25,36,-44
2024-04-05,0.025951940850277265,351.0,13525.0,18.75,-44,36
2024-04-08,-0.03378754171301446,-486.0,14384.0,-21.25,-44,36
2024-04-09,0.025698682942499197,320.0,12452.0,8.75,-44,36
2024-04-10,0.034106264526241825,631.0,18501.0,27.5,-44,36
2024-04-11,-0.03013350286077559,-474.0,15730.0,-15.0,36,-44
2024-04-12,0.030201716259890782,542.0,17946.0,23.75,-44,36
2024-04-15,-0.07659677614834566,-1264.0,16502.0,-42.5,-44,36
2024-04-16,0.005224804069847381,76.0,14546.0,11.25,-44,36
2024-04-17,-0.011323763955342903,-142.0,12540.0,-11.25,-44,36
2024-04-18,-0.03217606528864807,-481.0,14949.0,-36.25,-44,36
2024-04-19,0.0052916416115454,88.0,16630.0,-3.75,-44,36
2024-04-22,0.018538302017218625,295.0,15913.0,-6.25,36,-44
2024-04-23,0.03841603885187722,617.0,16061.0,31.25,-44,36
2024-04-24,-0.01542304089915704,-247.0,16015.0,-7.5,-44,36
2024-04-25,-0.005812440357421705,-134.0,23054.0,-33.75,-44,36
2024-04-26,-0.024925895984909727,-370.0,14844.0,-28.75,36,-44
2024-04-29,-0.001122894572676232,-18.0,16030.0,21.25,-44,36
2024-04-30,-0.02792156862745098,-356.0,12750.0,-1.25,36,-44
2024-05-01,0.01824488380159556,263.0,14415.0,-13.75,-44,36
2024-05-02,-0.05266329235960472,-874.0,16596.0,-17.5,-44,36
2024-05-03,-0.032283310506750144,-495.0,15333.0,-25.0,-44,36
2024-05-06,-0.04392288348700754,-524.0,11930.0,-26.25,36,-44
2024-05-07,0.09998358233459202,1218.0,12182.0,18.75,-44,36
2024-05-08,0.02071563088512241,231.0,11151.0,12.5,36,-44
2024-05-09,-0.03440521700022487,-306.0,8894.0,-1.25,-44,36
2024-05-10,0.0271802567950642,326.0,11994.0,11.25,36,-44
2024-05-13,-0.03945047804696927,-425.0,10773.0,-11.25,-44,36
2024-05-14,-0.018894041110111427,-273.0,14449.0,13.75,-44,36
2024-05-15,0.030376361204865313,477.0,15703.0,10.0,36,-44
2024-05-16,-0.05844937252879491,-680.0,11634.0,1.25,36,-44
2024-05-17,-0.020607754104086624,-295.0,14315.0,3.75,-44,36
2024-05-20,0.08312516151261952,965.0,11609.0,22.5,36,-44
2024-05-21,0.01765079365079365,278.0,15750.0,11.25,36,-44
2024-05-22,0.07536842105263158,895.0,11875.0,13.75,-44,36
2024-05-23,-0.06003152443143436,-1333.0,22205.0,-36.25,-44,36
2024-05-24,-0.04848040413916728,-595.0,12273.0,-12.5,36,-44
2024-05-28,0.04556793613836687,548.0,12026.0,-1.25,-44,36
2024-05-29,0.019449589838581634,294.0,15116.0,31.25,-44,36
2024-05-30,0.07470288624787776,880.0,11780.0,-6.25,-44,36
2024-05-31,-0.030380207385846826,-334.0,10994.0,-2.5,-44,36
2024-06-03,0.015006821282401092,209.0,13927.0,0.0,36,-44
2024-06-04,-0.04018133113538018,-390.0,9706.0,-8.75,-44,36
2024-06-05,-0.03454306952339309,-395.0,11435.0,-7.5,-44,36
2024-06-06,0.011157465799941787,115.0,10307.0,6.25,-44,36
2024-06-07,-0.02940864210638072,-277.0,9419.0,-30.0,-44,36
