family,date,year,half,side,entry_utc,entry,risk_ticks,gross_ticks,net_ticks,net_R,mae_ticks,exit_reason,trailing_activated,fixed_net_ticks,fixed_net_R,fixed_exit_reason,drive_open,drive_close,drive_high,drive_low,drive_efficiency,drive_close_location,pullback_midpoint,resumption_level,trigger_utc
OPENING_DRIVE_PULLBACK_RESUMPTION,2023-11-01,2023,2023-H2,LONG,2023-11-01T14:06:57+00:00,14555.25,40.0,-40.0,-44.0,-1.1,-42.0,STOP,False,-44.0,-1.1,STOP,14520.25,14563.0,14568.75,14515.25,0.7990654205607477,0.8925233644859814,14541.625,14552.3125,2023-11-01T14:06:56+00:00
OPENING_DRIVE_PULLBACK_RESUMPTION,2023-11-03,2023,2023-H2,LONG,2023-11-03T14:30:21+00:00,15084.25,40.0,-40.0,-44.0,-1.1,-51.0,STOP,False,-44.0,-1.1,STOP,15051.0,15094.5,15094.5,15040.5,0.8055555555555556,1.0,15072.75,15083.625,2023-11-03T14:30:20+00:00
OPENING_DRIVE_PULLBACK_RESUMPTION,2023-11-13,2023,2023-H2,SHORT,2023-11-13T15:07:37+00:00,15495.0,40.0,-40.0,-44.0,-1.1,-41.0,STOP,False,-44.0,-1.1,STOP,15529.75,15486.0,15539.0,15484.0,0.7954545454545454,0.03636363636363636,15507.875,15496.9375,2023-11-13T15:07:36+00:00
OPENING_DRIVE_PULLBACK_RESUMPTION,2023-12-05,2023,2023-H2,LONG,2023-12-05T14:46:25+00:00,15829.5,40.0,7.0,3.0,0.075,-31.0,STOP,True,36.0,0.9,TARGET,15791.25,15842.25,15849.5,15783.25,0.769811320754717,0.8905660377358491,15816.75,15829.5,2023-12-05T14:46:24+00:00
OPENING_DRIVE_PULLBACK_RESUMPTION,2023-12-08,2023,2023-H2,LONG,2023-12-08T15:00:01+00:00,16013.5,40.0,80.0,76.0,1.9,-1.0,TARGET,True,36.0,0.9,TARGET,15956.0,16022.75,16024.0,15947.25,0.8697068403908795,0.9837133550488599,15989.375,16006.0625,2023-12-08T15:00:00+00:00
OPENING_DRIVE_PULLBACK_RESUMPTION,2023-12-14,2023,2023-H2,LONG,2023-12-14T14:53:03+00:00,16636.5,40.0,80.0,76.0,1.9,-1.0,TARGET,True,36.0,0.9,TARGET,16607.25,16644.0,16650.75,16599.5,0.7170731707317073,0.8682926829268293,16625.625,16634.8125,2023-12-14T14:53:02+00:00
OPENING_DRIVE_PULLBACK_RESUMPTION,2023-12-22,2023,2023-H2,LONG,2023-12-22T15:03:30+00:00,17025.25,40.0,4.0,0.0,0.0,-19.0,STOP,True,36.0,0.9,TARGET,16999.25,17033.0,17037.0,16989.25,0.7068062827225131,0.9162303664921466,17016.125,17024.5625,2023-12-22T15:03:29+00:00
OPENING_DRIVE_PULLBACK_RESUMPTION,2024-02-07,2024,2024-H1,SHORT,2024-02-07T14:54:30+00:00,17741.75,40.0,80.0,76.0,1.9,-12.0,TARGET,True,36.0,0.9,TARGET,17773.5,17731.25,17778.25,17723.0,0.7647058823529411,0.1493212669683258,17752.375,17741.8125,2024-02-07T14:54:29+00:00
OPENING_DRIVE_PULLBACK_RESUMPTION,2024-02-23,2024,2024-H1,LONG,2024-02-23T14:48:01+00:00,18133.5,40.0,-40.0,-44.0,-1.1,-40.0,STOP,False,-44.0,-1.1,STOP,18105.5,18140.25,18144.75,18097.0,0.7277486910994765,0.9057591623036649,18122.875,18131.5625,2024-02-23T14:48:00+00:00
OPENING_DRIVE_PULLBACK_RESUMPTION,2024-03-19,2024,2024-H1,SHORT,2024-03-19T13:58:18+00:00,18081.25,40.0,-40.0,-44.0,-1.1,-40.0,STOP,False,-44.0,-1.1,STOP,18143.25,18066.0,18152.5,18053.25,0.7783375314861462,0.12846347607052896,18104.625,18085.3125,2024-03-19T13:58:17+00:00
OPENING_DRIVE_PULLBACK_RESUMPTION,2024-03-20,2024,2024-H1,SHORT,2024-03-20T14:36:07+00:00,18270.25,40.0,19.0,15.0,0.375,-2.0,STOP,True,36.0,0.9,TARGET,18318.0,18255.25,18334.5,18249.0,0.7339181286549707,0.07309941520467836,18286.625,18270.9375,2024-03-20T14:36:06+00:00
OPENING_DRIVE_PULLBACK_RESUMPTION,2024-04-30,2024,2024-H1,LONG,2024-04-30T13:57:54+00:00,17872.0,40.0,80.0,76.0,1.9,-34.0,TARGET,True,36.0,0.9,TARGET,17836.25,17883.0,17887.75,17824.0,0.7333333333333333,0.9254901960784314,17859.625,17871.3125,2024-04-30T13:57:53+00:00
OPENING_DRIVE_PULLBACK_RESUMPTION,2024-05-13,2024,2024-H1,SHORT,2024-05-13T14:31:07+00:00,18285.25,40.0,-40.0,-44.0,-1.1,-41.0,STOP,False,-44.0,-1.1,STOP,18331.75,18273.5,18336.25,18266.25,0.8321428571428572,0.10357142857142858,18302.625,18288.0625,2024-05-13T14:31:06+00:00
OPENING_DRIVE_PULLBACK_RESUMPTION,2024-05-28,2024,2024-H1,SHORT,2024-05-28T14:14:02+00:00,18882.5,40.0,-40.0,-44.0,-1.1,-42.0,STOP,False,-44.0,-1.1,STOP,18920.25,18872.5,18936.5,18869.0,0.7074074074074074,0.05185185185185185,18896.375,18884.4375,2024-05-28T14:14:01+00:00
OPENING_DRIVE_PULLBACK_RESUMPTION,2024-07-01,2024,2024-H2,SHORT,2024-07-01T14:37:11+00:00,19931.75,40.0,80.0,76.0,1.9,-17.0,TARGET,True,36.0,0.9,TARGET,19971.75,19918.75,19985.75,19913.0,0.7285223367697594,0.07903780068728522,19945.25,19932.0,2024-07-01T14:37:10+00:00
OPENING_DRIVE_PULLBACK_RESUMPTION,2024-07-02,2024,2024-H2,LONG,2024-07-02T14:14:04+00:00,20050.5,40.0,-40.0,-44.0,-1.1,-41.0,STOP,False,-44.0,-1.1,STOP,19982.25,20070.25,20082.75,19976.75,0.8301886792452831,0.8820754716981132,20026.25,20048.25,2024-07-02T14:14:03+00:00
OPENING_DRIVE_PULLBACK_RESUMPTION,2024-07-03,2024,2024-H2,LONG,2024-07-03T14:00:40+00:00,20249.5,40.0,30.0,26.0,0.65,-21.0,STOP,True,36.0,0.9,TARGET,20216.25,20258.5,20267.5,20216.0,0.8203883495145631,0.8252427184466019,20237.375,20247.9375,2024-07-03T14:00:39+00:00
OPENING_DRIVE_PULLBACK_RESUMPTION,2024-07-18,2024,2024-H2,SHORT,2024-07-18T14:20:09+00:00,20064.25,40.0,4.0,0.0,0.0,-22.0,STOP,True,36.0,0.9,TARGET,20141.5,20040.0,20149.25,20038.5,0.9164785553047404,0.013544018058690745,20090.75,20065.375,2024-07-18T14:20:08+00:00
OPENING_DRIVE_PULLBACK_RESUMPTION,2024-07-23,2024,2024-H2,LONG,2024-07-23T13:48:53+00:00,20013.25,40.0,80.0,76.0,1.9,-15.0,TARGET,True,36.0,0.9,TARGET,19957.75,20031.5,20036.0,19933.5,0.7195121951219512,0.9560975609756097,19994.625,20013.0625,2024-07-23T13:48:52+00:00
OPENING_DRIVE_PULLBACK_RESUMPTION,2024-08-01,2024,2024-H2,LONG,2024-08-01T14:13:56+00:00,19607.25,40.0,-40.0,-44.0,-1.1,-47.0,STOP,False,-44.0,-1.1,STOP,19525.0,19632.0,19637.0,19505.0,0.8106060606060606,0.9621212121212122,19578.5,19605.25,2024-08-01T14:13:55+00:00
