ordinal,CaseID,source_sha256,output_sha256,source_size,output_size,metadata_clean,information_change
65,HB065,a0041f0548ce06fe4578327c380ccc72857acc4d0a5d179635e633192db1b87d,ecbf3349aed044587a90ee1921becb87c8e71417a91966a127696dae226cd1a4,1703x1247,1727x1263,True,NONE_COSMETIC_ONLY
66,HB066,b46f8bf78f794a608e26b09de8283a9cdb75a8185a782f7b5799789bce73871e,c7cb60713272ed3dd25a2b69c69b1cab40e452f2937ddc368ee78c71ab6bda23,1703x1247,1727x1263,True,NONE_COSMETIC_ONLY
67,HB067,fa1811c647c861b8f645d7d31407101b39feeae51e909bb0f03ae9409ab224fe,958249df033c9b9776112f4eb5653b6d8766938c65dfc4f330cbde3beb1eedfa,1703x1247,1727x1263,True,NONE_COSMETIC_ONLY
68,HB068,715b69bb63d6a96156ca2502c0a6c371b12f3c1ccc2aa5349045ab252a2e2795,c37442810b51544fd2cc7782b9b172acf3d80ef3d52b3b26583307af4ec94355,1703x1247,1727x1263,True,NONE_COSMETIC_ONLY
69,HB069,c6e357fccc4114829495c066783ddbb0f5965dbdb745a4fa36a8341602874c33,028f56f68e3e7dd8230c5e94365594f131fe3fbdc95e65364c56208be5895ece,1703x1247,1727x1263,True,NONE_COSMETIC_ONLY
70,HB070,b6a807256186945ea6ffb3f2f9267c9a665104728223b4dac6c671c90b087a6e,87ff276ad546dd23a5510ad437250572290f4aa96cedef3025ec49910cba56e8,1703x1247,1727x1263,True,NONE_COSMETIC_ONLY
71,HB071,4bfc79187d4ac01e30e06b106bac209faa8eeb502fffec509341e1489e3ca0ef,5051653417fa4fc9b76a14f0a9fb6bedeaa212fcadc88893d7a69f40ffda8559,1703x1247,1727x1263,True,NONE_COSMETIC_ONLY
72,HB072,70ffd377f9d20588f8a8f6d161b0f7fb28d88922bf9e370e8b7bed7b1bcde044,52ffa380903e70259943062b93e1eef7dc09b3f9e0f3fea5ecd9907257890c06,1703x1247,1727x1263,True,NONE_COSMETIC_ONLY
73,HB073,1d30751e9aaae1f80c744ff86693dabf7ac09bfe6d777b266ce32d529de65633,e05c2b9b2e1e3b6e859450124857eb67a55b72df3573607cabce4e3135bb8286,1703x1247,1727x1263,True,NONE_COSMETIC_ONLY
74,HB074,f474ebcbda84ec11a5666ab3f7d7b301606f456158bacc334e285ea4316e8815,257c6c96befaab0b987525ff6afa27de797ebb6eab221d64b283cf3cee4bd0bd,1703x1247,1727x1263,True,NONE_COSMETIC_ONLY
75,HB075,adf6c675727e3f59abb42379135747b2a9d88ed5f571201ddbd5b003250e73a4,7c5b1641efb1c8c397c7f72b50c69c124c5d355b0317a07525c381145261da8c,1703x1247,1727x1263,True,NONE_COSMETIC_ONLY
76,HB076,a5491f42d02d99437d9d04879872c3fbcff511208fa1df725d14634604a358b1,481538179c246212cce8da897d9ac69aa789d3dbbb5902bd12b8dea88a58a5ca,1703x1247,1727x1263,True,NONE_COSMETIC_ONLY
77,HB077,e0e7b10190ead655c559193c80fb4c8c0a2b69dafd75f0d2141be3844abd2a9b,02d4080dc91407c86f5ad00cf37b7120c2cedbc7a6dd6e27cd1ba9011c1f9086,1703x1247,1727x1263,True,NONE_COSMETIC_ONLY
78,HB078,83627d13a78edbd4dc97ecf1afd37e816f014a80fd6cfe7a58a197d8d1043296,6a1d21183a671fa2d9d37aa2288f2552fd164423096b5379a40a34899c874197,1703x1247,1727x1263,True,NONE_COSMETIC_ONLY
79,HB079,063f9cc90be1dee012dcafc6d3d2bb932a7e827c4dbfb739c86cda70718d8ad4,1e927b00db144a0bdf6628b12b110e002d4b63d7274d76209300e399bd1fbec5,1703x1247,1727x1263,True,NONE_COSMETIC_ONLY
80,HB080,c6568bef522f285f04514296e24d3bb483a50f478bab4219d49f99fc2c652826,19dff585c820783d543ea3a28a33d2eeb18e2c6e640b9fbca28901e7d520c921,1703x1247,1727x1263,True,NONE_COSMETIC_ONLY
81,HB081,7d16c9e508afc5b155de9bd4a0b3492ada88e6b5d60b169b28409d8fa94503b8,c55bf3e147abc7352d29d1bfcf14b18fc47390546b7f57f09e67ad0d86e016ca,1703x1247,1727x1263,True,NONE_COSMETIC_ONLY
82,HB082,58f3dc6580553e0c5de500aedc039c67904950f9abea088b06ffffa99353847e,def30c8b1aa9a1a022157ee9c176bec46cf08938c4bc2e6560cac6969443a9b1,1703x1247,1727x1263,True,NONE_COSMETIC_ONLY
83,HB083,fd4c2a769c904c1e0ec91a53d625939fcaef276fa21520caff2318fdc0a27ab9,b2efc576e569c2cf1e77cff48376a42dc55ee4d4078afa05f5f15c8d239c668d,1703x1247,1727x1263,True,NONE_COSMETIC_ONLY
84,HB084,1c8f7b015f09f93d541973bfaa45d9171a1edddeaae112323c6bd265eee8c84e,14affc59378869774dcb715947722e09b24fb948c48df9156ad74306984d0375,1703x1247,1727x1263,True,NONE_COSMETIC_ONLY
85,HB085,649aa6a136fd185f726e67b22663a6abe5f56e3de191518b4f12112ef3dfabd1,527f1e5fe784531b0fe700b69b5cd7ec5360028b51503af856aeffabe4d9e755,1703x1247,1727x1263,True,NONE_COSMETIC_ONLY
86,HB086,6aa048f23603f846bdefcc9e9284368571128933f85e63866c56fc80213f1f7c,8291181f26f31cc4fbb65ec3078073b7d992878d1b3ef8abd397dcc18f93d444,1703x1247,1727x1263,True,NONE_COSMETIC_ONLY
87,HB087,adf003ce1c70789b048e24e0b418578181f5da6d7de0f6ba96f9d24ff4c6096e,24c54bbe8bc1f55519353fdf710eab8bbea35299c922fdd53e4f798ef846a500,1703x1247,1727x1263,True,NONE_COSMETIC_ONLY
88,HB088,43554a5fd94bbbce930485adc7247a94e8112bc7b64c6ddcc623c06561c3bdb5,70ff5d9cd721dec5d1a61af12ce818af710818947ca27b37139a734acb0de2f5,1703x1247,1727x1263,True,NONE_COSMETIC_ONLY
89,HB089,b75755654276babce605c0df74917ff810f21680ba15d7a3a41cb7c5a3b88e56,89039163c8e94917979933c859ea7404017d9186ac8b48a4b11086408e9c5fab,1703x1247,1727x1263,True,NONE_COSMETIC_ONLY
90,HB090,a2ff1eb572a445c2ddca0065ea51b52aafcb753bffe7566982c55ded142cf542,bb7a3b590254631b142d4b90347582f876aeffef5bea450774e5f38a143023d1,1703x1247,1727x1263,True,NONE_COSMETIC_ONLY
91,HB091,dd9b22ac57d064b01f5e2ae5fd30ba6a78ae9135aec7d6ceee28b49c968f1f9f,d3c4cad17b1182eb2aa31011b28f047ff2c290af4304d4fa33c11d00bc7c7fe6,1703x1247,1727x1263,True,NONE_COSMETIC_ONLY
92,HB092,e504cd844b69a5a9d0398b214e939daab4f615ecadb06c8d9cbefed62c0d0d65,0cd650e0702b0bed0bb886900f733e48a246690fa6cd60552114a645987d29db,1703x1247,1727x1263,True,NONE_COSMETIC_ONLY
93,HB093,231575524dfa42b5642c18d822187056abac6e41b45861df2946a967b64e8d37,9b1b3a276c6c9369e8322f6647fa95e51598595942bfc5ee4f1fb8f63ea27e2c,1703x1247,1727x1263,True,NONE_COSMETIC_ONLY
94,HB094,53aeb03a5f4a362e978f593fb8a96aa9a05c807efdb57d8f080889b1a94ec54c,304695d338dcd65b51f678328a7e7e1ffadc26ea9531603ffd42e6f0e83df9d4,1703x1247,1727x1263,True,NONE_COSMETIC_ONLY
95,HB095,faf947491ffe1fb56c1ab81edc690c0c847b5daf695a40b61d427f583a0d85c9,b1598eb77a738fa1f94447f071615e0aa38f601568a60acae4ffd154560ded35,1703x1247,1727x1263,True,NONE_COSMETIC_ONLY
96,HB096,cb88d568012738f3eb42d8d2eb3199cf276d49ef65f839f8fbf626a63bcaff7e,a8afd04b9e944f805dadbc11d189e50b1457b835a9497bd3219c801146cc86f6,1703x1247,1727x1263,True,NONE_COSMETIC_ONLY
97,HB097,31c4a99c28809a320e9dbbaf23861834452b58ecc52bae83dc741855f694418e,cf17e4bf641089cf4be5833003c1a6cb30609dca373cc6b6bbfe6013b0e3f2fe,1703x1247,1727x1263,True,NONE_COSMETIC_ONLY
98,HB098,973f9b3980f9e4006b0263b0e15c01d3a2d72fc14315505e98376adfaf3fbfaf,465db5446ae7bce1466c07f4e2001d62042ebcaa2f85a1e3ef9e70954f15a7ec,1703x1247,1727x1263,True,NONE_COSMETIC_ONLY
