iteration,filter,tp,sl,trades,wr,pf,expectancy,test_exp,robust_score
231,side=BUY AND score>=7,100,30,225,54.22222222222223,1.734970364098222,7.7155555555555555,2.25974025974026,68.65410173183898
232,VWAP_OK=FALSE,80,30,119,57.98319327731093,1.8203592814371257,8.058823529411764,7.756756756756757,44.6109017242537
233,Cvd_Pullback_Label=Excelente,100,30,342,51.461988304093566,1.4375811056319752,4.9298245614035086,0.2857142857142857,35.055032263678264
234,APlus_Speed=FALSE,100,30,494,51.21457489878543,1.384493670886076,4.4271255060728745,3.1597222222222223,49.957206896228
235,regime=OR_large AND score>=7,80,70,153,58.82352941176471,1.7492795389048992,8.49673202614379,6.623529411764705,66.15538329368
236,range>=80,100,30,469,51.59914712153518,1.416992733370598,4.771855010660981,4.810344827586207,42.3244101073596
237,regime=OR_mid AND score>=8,60,60,148,58.78378378378378,1.5947281713344317,7.3175675675675675,12.571428571428571,40.71185554555046
238,side=BUY AND score>=8,80,30,212,54.24528301886793,1.6108202443280977,6.60377358490566,6.888888888888889,57.365834543910736
239,Delta_With_Side=FALSE,100,40,216,56.481481481481474,1.6811224489795917,7.416666666666667,12.719298245614034,63.500211208026734
240,regime=OR_mid AND score>=7,80,30,154,57.14285714285714,1.7242284963887065,7.162337662337662,0.47619047619047616,40.18899121801934
241,Cvd_Pullback_Label=Excelente,100,30,342,52.63157894736842,1.5159168639831624,5.733918128654971,7.0095238095238095,48.38617840656274
242,score>=8,100,30,435,51.26436781609195,1.4069394304051344,4.664367816091954,6.770370370370371,38.75193945281543
243,Side=BUY,100,60,280,58.214285714285715,1.6444174757281553,7.585714285714285,7.139784946236559,75.53909820678415
244,range<=140,100,40,383,54.56919060052219,1.4831058402327142,5.637075718015666,8.67123287671233,56.588280199803364
245,side=SELL AND score>=6,60,30,279,53.40501792114696,1.563090968373003,6.189964157706093,9.426829268292684,48.36078974993425
246,score>=7,100,30,457,51.42231947483589,1.3832732789683293,4.422319474835886,2.24822695035461,41.51087830245221
247,regime=OR_mid AND score>=8,80,30,148,57.432432432432435,1.8267394270122783,8.18918918918919,3.5,54.28550639482846
248,regime=OR_large AND score>=7,100,30,153,59.47712418300654,1.9373737373737374,9.098039215686274,8.129411764705882,75.93447015270205
249,side=SELL AND score>=7,100,30,232,52.58620689655172,1.5869822485207101,6.413793103448276,3.953125,43.87462367813963
250,side=BUY AND score>=8,80,40,212,58.01886792452831,1.618127147766323,6.787735849056604,5.375,51.52202436620757
251,APlus_Speed=FALSE,100,30,494,50.607287449392715,1.35473208072373,4.127530364372469,5.625,45.19461137097513
252,regime=OR_mid AND score>=8,60,40,148,57.432432432432435,1.809114927344782,8.277027027027026,13.761904761904763,61.27377567157519
253,regime=OR_mid AND score>=7,60,70,154,56.493506493506494,1.5705913692061801,6.954545454545454,7.833333333333333,37.32654808170225
254,side=SELL AND score>=6,100,50,279,56.63082437275986,1.6104972375690607,7.129032258064516,2.7439024390243905,56.02660525571058
255,Delta_With_Side=FALSE,80,30,216,57.407407407407405,1.8560817084493966,8.537037037037036,10.43859649122807,64.50093867778538
256,side=BUY AND score>=8,100,30,212,55.188679245283026,1.7577132486388385,7.877358490566038,10.5,67.74565611775726
257,range>=165,100,50,116,59.48275862068966,1.7670807453416149,8.517241379310345,7.63855421686747,53.40500651730799
258,VWAP_OK=FALSE,80,20,119,56.30252100840336,1.9884615384615385,8.638655462184873,6.216216216216216,62.90693408173194
259,range>=115,80,40,293,54.26621160409556,1.4792613636363636,5.757679180887372,7.007407407407407,53.66031734339073
260,Side=SELL,100,30,284,53.16901408450704,1.4708333333333334,5.172535211267606,5.678571428571429,37.23882534070662
261,side=SELL AND score>=7,100,30,232,52.1551724137931,1.557421875,6.150862068965517,7.21875,37.90214567427254
262,Delta_With_Side=TRUE,100,30,348,51.724137931034484,1.4321357285429142,4.977011494252873,1.8166666666666667,45.425821108997106
263,regime=OR_mid AND score>=7,50,100,154,59.74025974025974,1.5965401785714286,6.941558441558442,6.809523809523809,49.09632561135328
264,Side=SELL,80,40,284,52.816901408450704,1.382309726711725,4.580985915492958,5.345238095238095,28.739519516213036
265,regime=OR_mid AND score>=6,100,30,181,55.80110497237569,1.7357679914070892,7.569060773480663,2.6530612244897958,51.44148497615118
266,side=BUY AND score>=7,actual,actual,225,57.77777777777777,1.5248933143669985,6.56,7.805194805194805,42.851989353309044
267,Delta_OK=TRUE,100,30,550,50.36363636363637,1.341664079478423,4.001818181818182,3.7485714285714287,34.40395196158968
268,VWAP_OK=TRUE,100,30,445,51.23595505617977,1.3850653148761942,4.438202247191011,4.685714285714286,32.77021896345451
269,or_regime=OR_large,100,40,193,58.03108808290155,1.831589436970603,8.647668393782384,6.706422018348624,70.48586952936097
270,score>=5,100,30,563,49.91119005328597,1.3141699189432603,3.717584369449378,3.76271186440678,37.00861029999566
271,or_regime=OR_mid,80,50,183,56.830601092896174,1.5717703349282297,6.530054644808743,10.74,41.253188959745984
272,VWAP_OK=TRUE,80,30,445,49.8876404494382,1.3272346102534782,3.858426966292135,1.9214285714285715,31.543014183005997
273,Delta_With_Side=FALSE,100,30,216,53.70370370370371,1.6548135299219429,6.9907407407407405,10.0,43.27148988006432
274,Delta_With_Side=TRUE,100,30,348,54.02298850574713,1.5757415254237288,6.247126436781609,3.25,53.81022788960555
275,or_regime=OR_mid,100,40,183,55.73770491803278,1.5887214389888187,6.617486338797814,9.92,36.70202391710363
276,score>=8,100,30,435,51.724137931034484,1.420351302241066,4.786206896551724,7.807407407407408,47.533058475712
277,side=BUY AND score>=7,100,60,225,57.333333333333336,1.5346320346320346,6.586666666666667,8.064935064935066,42.450407361438096
278,side=SELL AND score>=8,100,40,223,56.95067264573991,1.7208627125673994,7.79372197309417,9.428571428571429,71.24979751937718
279,regime=OR_mid AND score>=7,100,60,154,58.44155844155844,1.7401989467524868,8.214285714285714,11.261904761904763,69.79362974710759
280,VWAP_OK=FALSE,80,40,119,59.66386554621849,2.119565217391304,11.252100840336135,9.594594594594595,106.61306574639484
281,regime=OR_mid AND score>=7,80,40,154,55.84415584415584,1.582004555808656,6.636363636363637,2.8095238095238093,42.0166829814661
282,side=SELL AND score>=7,100,30,232,53.879310344827594,1.7126850740296118,7.676724137931035,5.671875,73.76963368694732
283,range<=165,100,30,454,53.30396475770925,1.5395320693828156,5.892070484581498,6.412371134020619,54.3132802551021
284,Cvd_Pullback_Label=Excelente,100,60,342,58.47953216374269,1.6228981206726014,7.3654970760233915,5.514285714285714,71.79265365301681
285,regime=OR_mid AND score>=7,100,30,154,55.84415584415584,1.609375,6.3311688311688314,13.404761904761905,42.96434783123798
286,side=SELL AND score>=7,100,30,232,52.58620689655172,1.5493779160186625,6.0905172413793105,6.765625,47.40953387002514
287,regime=OR_large AND score>=8,80,30,144,55.55555555555556,1.8507256392536282,8.54861111111111,10.0375,58.66054948180714
288,side=SELL AND score>=6,60,70,279,57.34767025089605,1.530945558739255,6.641577060931899,10.426829268292684,61.66446480833375
289,regime=OR_mid AND score>=8,60,30,148,58.78378378378378,1.9481902058197302,9.027027027027026,12.380952380952381,78.5343059025207
290,score>=7,100,30,457,51.85995623632385,1.4439930354033663,5.021881838074398,4.581560283687943,51.060986820366345
291,range<=165,100,30,454,51.541850220264315,1.4205734211545913,4.78193832599119,3.9690721649484537,40.44162290023246
292,Cvd_Pullback_Label=Riesgo de reversion,100,40,179,55.3072625698324,1.6355578727841502,6.810055865921788,6.754385964912281,47.931600409393575
293,Delta_With_Side=FALSE,80,30,216,52.31481481481482,1.5327902240325866,6.055555555555555,7.280701754385965,39.063322139038114
294,Delta_With_Side=FALSE,80,40,216,56.94444444444444,1.5705765407554673,6.643518518518518,2.175438596491228,44.74950571031981
295,range>=165,100,40,116,62.06896551724138,2.0162337662337664,10.793103448275861,7.120481927710843,87.89698373816297
296,VWAP_OK=FALSE,100,30,119,60.50420168067227,2.3617424242424243,12.084033613445378,12.405405405405405,103.45455763180499
297,range<=165,100,30,454,50.440528634361236,1.3267437523312198,3.859030837004405,7.103092783505154,29.70771284256781
298,side=BUY AND score>=8,100,20,212,50.943396226415096,1.5903846153846153,5.7924528301886795,5.930555555555555,43.140518077997044
299,side=SELL AND score>=8,100,30,223,54.7085201793722,1.7187112763320942,7.802690582959642,6.619047619047619,68.27297373957317
