fecha,EntryTime_NY,Side,score total,Cvd_Pullback_Label,Cvd_Worst_Label,Dynamic_Alarm_Triggered,Result_Label,result TP SL BE,MFE_ticks,MAE_ticks,TP_ticks,SL_ticks,sim_TP100_SL40,result_bucket,source_file
2023-08-14,09:32:10,SELL,8,Excelente,Riesgo de reversion,TRUE,TP,+21,25,10,21,21,21.0,positive before +100,score_trade_result_2023-08-14_NY.csv
2023-08-16,09:32:16,SELL,8,Excelente,Riesgo de reversion,TRUE,TP,+20,20,5,20,20,20.0,positive before +100,score_trade_result_2023-08-16_NY.csv
2023-08-21,09:34:21,BUY,8,Excelente,Advertencia,TRUE,TP,+20,20,5,20,20,20.0,positive before +100,score_trade_result_2023-08-21_NY.csv
2023-08-23,09:35:01,BUY,9,Excelente,Riesgo de reversion,FALSE,TP,+30,30,5,30,60,30.0,positive before +100,score_trade_result_2023-08-23_NY.csv
2023-08-24,09:35:02,SELL,8,Excelente,Advertencia,FALSE,TP,+60,60,0,60,60,60.0,positive before +100,score_trade_result_2023-08-24_NY.csv
2023-08-28,09:34:08,BUY,8,Excelente,Riesgo de reversion,TRUE,TP,+20,20,5,20,20,20.0,positive before +100,score_trade_result_2023-08-28_NY.csv
2023-08-29,09:31:08,SELL,8,Excelente,Excelente,FALSE,TP,+20,20,10,20,20,20.0,positive before +100,score_trade_result_2023-08-29_NY.csv
2023-08-30,09:32:09,BUY,8,Excelente,Riesgo de reversion,TRUE,TP,+20,20,10,20,20,20.0,positive before +100,score_trade_result_2023-08-30_NY.csv
2023-08-31,09:35:03,BUY,8,Excelente,Excelente,FALSE,TP,+21,25,5,21,21,21.0,positive before +100,score_trade_result_2023-08-31_NY.csv
2023-09-01,09:31:05,BUY,8,Excelente,Riesgo de reversion,FALSE,TP,+20,20,0,20,20,20.0,positive before +100,score_trade_result_2023-09-01_NY.csv
2023-09-08,09:32:14,BUY,8,Excelente,Advertencia,TRUE,TP,+31,35,15,31,31,31.0,positive before +100,score_trade_result_2023-09-08_NY.csv
