month,trades,wr,pf,expectancy,profit,dd,std,max_w_streak,max_l_streak,avg_win,avg_loss,avg_rr,months,trades_per_month
2025-03,14,50.0,1.0555555555555556,0.7142857142857143,10.0,80.0,30.99982275738058,5,2,27.142857142857142,-30.0,0.9047619047619048,0,
2025-04,15,46.666666666666664,1.2,3.466666666666667,52.0,150.0,41.68053102668759,4,4,44.57142857142857,-32.5,1.3714285714285714,0,
2025-05,16,75.0,2.5867768595041323,12.0,192.0,41.0,27.628487713469468,5,2,26.083333333333332,-30.25,0.862258953168044,0,
2025-06,11,63.63636363636363,2.0826446280991737,11.909090909090908,131.0,61.0,35.93453643907083,5,2,36.0,-30.25,1.1900826446280992,0,
2025-07,13,61.53846153846154,1.7394366197183098,8.076923076923077,105.0,81.0,32.927854314297335,3,3,30.875,-28.4,1.0871478873239437,0,
2025-08,12,66.66666666666666,2.1147540983606556,11.333333333333334,136.0,102.0,33.054592125846305,5,3,32.25,-30.5,1.0573770491803278,0,
2025-09,13,46.15384615384615,1.0883977900552486,1.2307692307692308,16.0,60.0,33.28952249120296,2,2,32.833333333333336,-25.857142857142858,1.2697974217311234,0,
2025-10,19,57.89473684210527,1.556910569105691,7.2105263157894735,137.0,100.0,36.22549585178376,4,3,34.81818181818182,-30.75,1.1322985957132299,0,
2026-03,10,60.0,1.85,10.2,102.0,100.0,37.92038443311928,4,3,37.0,-30.0,1.2333333333333334,0,
2026-04,15,33.33333333333333,0.5514705882352942,-8.133333333333333,-122.0,182.0,30.34296027244603,2,5,30.0,-27.2,1.1029411764705883,0,
2026-05,17,52.94117647058824,1.3875,5.470588235294118,93.0,114.0,39.90945634661481,3,3,37.0,-30.0,1.2333333333333334,0,
2026-06,19,68.42105263157895,2.588888888888889,15.052631578947368,286.0,80.0,36.03312316344894,4,2,35.84615384615385,-30.0,1.1948717948717948,0,
2026-07,3,33.33333333333333,0.9333333333333333,-1.3333333333333333,-4.0,40.0,50.64911976859354,1,1,56.0,-30.0,1.8666666666666667,0,
