date,year,net
2025-10-03,2025,34.0
2025-10-07,2025,-7.0
2025-10-08,2025,103.0
2025-10-09,2025,-21.0
2025-10-10,2025,24.0
2025-10-13,2025,-21.0
2025-10-16,2025,-42.0
2025-10-17,2025,49.0
2025-10-20,2025,6.0
2025-10-27,2025,-42.0
2025-10-28,2025,8.0
2025-10-29,2025,-42.0
2026-03-09,2026,-42.0
2026-03-10,2026,-42.0
2026-03-11,2026,-17.0
2026-03-13,2026,13.0
2026-03-16,2026,11.0
2026-03-17,2026,148.0
2026-03-23,2026,35.0
2026-03-24,2026,13.0
2026-03-25,2026,-8.0
2026-03-30,2026,36.0
2026-03-31,2026,-42.0
2026-04-02,2026,-42.0
2026-04-06,2026,-18.0
2026-04-10,2026,16.0
2026-04-14,2026,-1.0
2026-04-23,2026,-42.0
2026-04-24,2026,-10.0
2026-05-01,2026,89.0
2026-05-06,2026,-20.0
2026-05-08,2026,17.0
2026-05-11,2026,85.0
2026-05-18,2026,-42.0
2026-05-19,2026,24.0
2026-05-20,2026,14.0
2026-05-22,2026,-17.0
2026-05-28,2026,-42.0
2026-05-29,2026,43.0
2026-06-03,2026,-42.0
2026-06-04,2026,44.0
2026-06-05,2026,65.0
2026-06-08,2026,-42.0
2026-06-11,2026,-42.0
2026-06-15,2026,-16.0
2026-06-24,2026,171.0
2026-06-26,2026,-42.0
2026-06-29,2026,-42.0
2026-06-30,2026,74.0
