variant,group,rows,valid,missing,coverage,mean,std,q00,q01,q05,q10,q25,q50,q75,q90,q95,q99,q100
mid_efficiency_sampled_25ms,BUY,11211,11211,0,1.0,0.07385531041453336,0.11881280259122895,0.0,0.0,0.0,0.0,0.0,0.0,0.12212668889278822,0.23232323232323232,0.30434782608695654,0.45454545454545453,1.0
mid_efficiency_sampled_25ms,SELL,11211,11211,0,1.0,0.07466789528708032,0.10922648755283201,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.23076923076923078,0.2970861486486487,0.45454545454545453,1.0
mid_efficiency_sampled_50ms,ALL,22422,22422,0,1.0,0.0919228080493762,0.13654483633215314,0.0,0.0,0.0,0.0,0.0,0.0,0.1565855257765757,0.2898169336384445,0.375,0.5213739130434798,1.0
mid_efficiency_sampled_50ms,SNIPER_CORE,787,787,0,1.0,0.33869981163289054,0.16011266710759203,0.0,0.047777777777777794,0.14563840653728294,0.17820962089837528,0.23867302052785924,0.3111111111111111,0.4074074074074074,0.5084268047167098,0.5833333333333334,1.0,1.0
mid_efficiency_sampled_50ms,BUY,11211,11211,0,1.0,0.09130826725178946,0.13992001428629366,0.0,0.0,0.0,0.0,0.0,0.0,0.15625,0.29411764705882354,0.3783783783783784,0.5238095238095238,1.0
mid_efficiency_sampled_50ms,SELL,11211,11211,0,1.0,0.09253734884696295,0.133087497811488,0.0,0.0,0.0,0.0,0.0,0.0,0.15789473684210525,0.2857142857142857,0.3707865168539326,0.5172413793103449,1.0
mid_efficiency_sampled_100ms,ALL,22422,22422,0,1.0,0.11968143850339022,0.17323153506920963,0.0,0.0,0.0,0.0,0.0,0.0,0.20754716981132076,0.38461538461538464,0.48936170212765956,0.6666666666666666,1.0
mid_efficiency_sampled_100ms,SNIPER_CORE,787,787,0,1.0,0.42549360350925636,0.17765447315181196,0.0,0.04949640287769786,0.1891891891891892,0.22580645161290322,0.30253893748666527,0.41379310344827586,0.52,0.6428571428571429,0.7198412698412693,1.0,1.0
mid_efficiency_sampled_100ms,BUY,11211,11211,0,1.0,0.11779717666898117,0.17421970648313803,0.0,0.0,0.0,0.0,0.0,0.0,0.20530382859149982,0.38666666666666666,0.4864864864864865,0.6578195488721802,1.0
mid_efficiency_sampled_100ms,SELL,11211,11211,0,1.0,0.12156570033779926,0.17222484965464935,0.0,0.0,0.0,0.0,0.0,0.0,0.20930232558139536,0.38461538461538464,0.5,0.6666666666666666,1.0
microprice_efficiency,ALL,22422,22422,0,1.0,0.037415227659426745,0.06910102369185672,0.0,0.0,0.0,0.0,0.0,0.0,0.057505320268275456,0.10977097601940736,0.14858726631385935,0.259551303952924,1.0
microprice_efficiency,SNIPER_CORE,787,787,0,1.0,0.14498143062562802,0.14044605330651463,0.0,0.016526115539295793,0.04865935243691429,0.05897071364513214,0.08156036148575349,0.10767473838774709,0.15424635913284995,0.22972532989588798,0.3509375000000123,0.8477446960242864,0.9758745476478544
microprice_efficiency,BUY,11211,11211,0,1.0,0.037808418831004005,0.07831412054023051,0.0,0.0,0.0,0.0,0.0,0.0,0.054518381616216444,0.10807927943800666,0.15023467407703947,0.30555555555558617,0.9758745476478544
microprice_efficiency,SELL,11211,11211,0,1.0,0.037022036487849484,0.05845441132194081,0.0,0.0,0.0,0.0,0.0,0.003248071457527334,0.06052488358450939,0.11067773863462163,0.1468953279142156,0.24425474030375247,1.0
excursion_efficiency,ALL,22422,22422,0,1.0,0.23223439134128707,0.30207253785445226,0.0,0.0,0.0,0.0,0.0,0.0,0.4666666666666667,0.7272727272727273,0.8333333333333334,1.0,1.0
excursion_efficiency,SNIPER_CORE,787,787,0,1.0,0.7514698397984165,0.17672578785029094,0.14035087719298245,0.22735042735042738,0.44047619047619047,0.5157380254154448,0.6470588235294118,0.7777777777777778,0.8888888888888888,1.0,1.0,1.0,1.0
excursion_efficiency,BUY,11211,11211,0,1.0,0.22676016197891677,0.30094347507996505,0.0,0.0,0.0,0.0,0.0,0.0,0.46153846153846156,0.72,0.8333333333333334,1.0,1.0
excursion_efficiency,SELL,11211,11211,0,1.0,0.23770862070365728,0.30311196148718267,0.0,0.0,0.0,0.0,0.0,0.0,0.47368421052631576,0.7368421052631579,0.8366666666666667,1.0,1.0
impulse_retention,ALL,22422,22422,0,1.0,0.30221079190779754,0.3702420248388741,0.0,0.0,0.0,0.0,0.0,0.0,0.6363636363636364,0.9129672006102223,1.0,1.0,1.0
impulse_retention,SNIPER_CORE,787,787,0,1.0,0.7724261407238509,0.17544238112577157,0.14814814814814814,0.2674324324324325,0.467843137254902,0.5294117647058824,0.6561576354679803,0.8,0.9148550724637681,1.0,1.0,1.0,1.0
impulse_retention,BUY,11211,11211,0,1.0,0.2933891424226125,0.3681525554007312,0.0,0.0,0.0,0.0,0.0,0.0,0.625,0.9,1.0,1.0,1.0
impulse_retention,SELL,11211,11211,0,1.0,0.31103244139298264,0.3721271036544319,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.9285714285714286,1.0,1.0,1.0
