fecha,BurstId,prediction_timestamp,causal_first_timestamp,causal_last_timestamp,source,status,observed_clv,recomputed_clv,absolute_formula_error,timestamp_ok,source_ok,observation_count_ok,formula_ok,causal_row_ok,decision
2023-07-27,LB_20230727_093300_BUY_0001,2023-07-27 13:33:00.990769+00:00,2023-07-27 13:33:00.990769+00:00,2023-07-27 13:33:00.990769+00:00,MARKET_TRADE_EVENTS_PLUS_SIGNAL_SNAPSHOT,INSUFFICIENT_CAUSAL_RANGE,,,,1,1,0,0,0,EXCLUDE_FROM_MODELS
2023-08-02,LB_20230802_093453_BUY_0001,2023-08-02 13:34:54.076790+00:00,2023-08-02 13:34:54.076790+00:00,2023-08-02 13:34:54.076790+00:00,MARKET_TRADE_EVENTS_PLUS_SIGNAL_SNAPSHOT,INSUFFICIENT_CAUSAL_RANGE,,,,1,1,0,0,0,EXCLUDE_FROM_MODELS
2023-08-08,LB_20230808_093726_SELL_0001,2023-08-08 13:37:27.010526900+00:00,2023-08-08 13:37:27.010526900+00:00,2023-08-08 13:37:27.010526900+00:00,MARKET_TRADE_EVENTS_PLUS_SIGNAL_SNAPSHOT,INSUFFICIENT_CAUSAL_RANGE,,,,1,1,0,0,0,EXCLUDE_FROM_MODELS
2023-08-24,LB_20230824_093139_SELL_0001,2023-08-24 13:31:39.969826900+00:00,2023-08-24 13:31:39.969826900+00:00,2023-08-24 13:31:39.969826900+00:00,MARKET_TRADE_EVENTS_PLUS_SIGNAL_SNAPSHOT,INSUFFICIENT_CAUSAL_RANGE,,,,1,1,0,0,0,EXCLUDE_FROM_MODELS
2023-08-25,LB_20230825_093257_BUY_0001,2023-08-25 13:32:58.084006+00:00,2023-08-25 13:32:58.084006+00:00,2023-08-25 13:32:58.084006+00:00,MARKET_TRADE_EVENTS_PLUS_SIGNAL_SNAPSHOT,INSUFFICIENT_CAUSAL_RANGE,,,,1,1,0,0,0,EXCLUDE_FROM_MODELS
2023-08-29,LB_20230829_093105_SELL_0001,2023-08-29 13:31:06.047267+00:00,2023-08-29 13:31:06.047267+00:00,2023-08-29 13:31:06.047267+00:00,MARKET_TRADE_EVENTS_PLUS_SIGNAL_SNAPSHOT,INSUFFICIENT_CAUSAL_RANGE,,,,1,1,0,0,0,EXCLUDE_FROM_MODELS
2023-08-31,LB_20230831_093357_BUY_0001,2023-08-31 13:33:58.049564+00:00,2023-08-31 13:33:58.049564+00:00,2023-08-31 13:33:58.049564+00:00,MARKET_TRADE_EVENTS_PLUS_SIGNAL_SNAPSHOT,INSUFFICIENT_CAUSAL_RANGE,,,,1,1,0,0,0,EXCLUDE_FROM_MODELS
2023-09-05,LB_20230905_093500_SELL_0002,2023-09-05 13:35:01.010477+00:00,2023-09-05 13:35:01.010477+00:00,2023-09-05 13:35:01.010477+00:00,MARKET_TRADE_EVENTS_PLUS_SIGNAL_SNAPSHOT,INSUFFICIENT_CAUSAL_RANGE,,,,1,1,0,0,0,EXCLUDE_FROM_MODELS
2023-09-07,LB_20230907_093117_SELL_0001,2023-09-07 13:31:18.021272900+00:00,2023-09-07 13:31:18.021272900+00:00,2023-09-07 13:31:18.021272900+00:00,MARKET_TRADE_EVENTS_PLUS_SIGNAL_SNAPSHOT,INSUFFICIENT_CAUSAL_RANGE,,,,1,1,0,0,0,EXCLUDE_FROM_MODELS
2023-09-14,LB_20230914_093127_SELL_0001,2023-09-14 13:31:28.059243+00:00,2023-09-14 13:31:28.059243+00:00,2023-09-14 13:31:28.059243+00:00,MARKET_TRADE_EVENTS_PLUS_SIGNAL_SNAPSHOT,INSUFFICIENT_CAUSAL_RANGE,,,,1,1,0,0,0,EXCLUDE_FROM_MODELS
