feature,n_A,n_B,A_mean,A_median,A_std,A_p10,A_p25,A_p75,A_p90,B_mean,B_median,B_std,B_p10,B_p25,B_p75,B_p90,cohens_d_A_minus_B,cliffs_delta_A_minus_B,overlap_coefficient,mann_whitney_p,ks_p,welch_t_p,anova_p,permutation_p,mean_diff_bootstrap_ci_low,mean_diff_bootstrap_ci_high,mann_whitney_q_bh,permutation_q_bh,abs_cliffs_delta
signed_acceleration_1s,26,61,2.1153846153846154,2.0,1.6328361357325007,0.0,1.0,3.0,4.0,3.2950819672131146,3.0,3.5418651503366694,0.0,1.0,4.0,6.0,-0.3799682951819695,-0.20365699873896595,0.7490542244640604,0.13178625035476638,0.2241830598523165,0.03651178780655103,0.10843611815890115,0.10144927536231885,-2.2630989911727615,-0.1544136191677179,1.0,1.0,0.20365699873896595
Score_AtEntry,26,61,10.076923076923077,10.0,1.0926326710501357,9.0,9.0,11.0,11.0,9.491803278688524,10.0,1.456284665620841,7.0,9.0,11.0,11.0,0.4304048385307382,0.2005044136191677,0.8007566204287517,0.12794364305264516,0.6106285057951221,0.043588816933438,0.0696039210440866,0.0734632683658171,0.026450189155107263,1.1267339218158892,1.0,1.0,0.2005044136191677
PreBurst_Local_Entropy_10s,26,61,0.6446612658686758,0.7666031096732475,0.3458971552472343,0.0,0.591672778582328,0.91829583405449,0.9363649184897276,0.7506795627337769,0.811278124459133,0.26985289854988775,0.543564443199596,0.650022421648354,0.954434002924965,0.985228136034252,-0.3602805923531515,-0.18789407313997478,0.7900378310214375,0.16668824674322846,0.5243436218183632,0.1717084810305302,0.1276968456860644,0.12343828085957022,-0.26602713274908735,0.03846822291307439,1.0,1.0,0.18789407313997478
directional_poc_distance,26,61,15.76923076923077,15.0,7.633126186865732,7.5,10.0,20.75,26.0,11.819672131147541,13.0,10.705930127303764,2.0,9.0,16.0,23.0,0.39887872716555617,0.18663303909205547,0.6954602774274905,0.17071762958515158,0.4333896231328184,0.05597790634402946,0.09220879341668811,0.08895552223888056,0.003136822194199313,7.868284993694829,1.0,1.0,0.18663303909205547
Volume_AtEntry,26,61,1522.3076923076924,1181.5,1150.2136069176288,333.5,598.5,2269.5,3393.5,1936.8032786885246,1583.0,1382.3053910005094,415.0,770.0,3038.0,3921.0,-0.31441875039523187,-0.17780580075662042,0.8379571248423707,0.19264484489403522,0.438705676217585,0.15381497408768044,0.1830222790438256,0.17841079460269865,-927.157865699874,136.51954602774285,1.0,1.0,0.17780580075662042
PreBurst_Price_Per_Delta_3s,26,61,0.021910878504877655,0.018311036789297498,0.013604150685066489,0.0093604078310415,0.011917042184701,0.02655167730544625,0.043589743589743504,0.024357710823348394,0.023346303501946,0.014550922188874684,0.010050251256281,0.016666666666667,0.03030303030303,0.038251366120219,-0.1713590649080236,-0.16834804539722573,0.6746532156368222,0.21747811197356837,0.31233160089974893,0.4555988574908301,0.46639903703059277,0.46526736631684157,-0.008589583383312274,0.004049508293576923,1.0,1.0,0.16834804539722573
signed_velocity_1s,26,61,3.0384615384615383,2.5,1.6847734383179058,1.5,2.0,4.0,6.0,3.8688524590163933,4.0,3.019246097047328,1.0,2.0,5.0,7.0,-0.3079843255891143,-0.16456494325346785,0.7175283732660782,0.22181855303605869,0.47018345058633293,0.10648168699335626,0.19205180737473526,0.21139430284857572,-1.8109867591424968,0.12249369482975957,1.0,1.0,0.16456494325346785
Directional_OR_Extension_Ticks_AtEntry,26,61,-140.76923076923077,-140.0,47.046621721273624,-192.5,-183.75,-111.25,-75.0,-119.8360655737705,-125.0,83.91944159487495,-200.0,-165.0,-90.0,15.0,-0.27917953770676734,-0.15384615384615385,0.8688524590163935,0.25965936174147297,0.6046730360347535,0.1433906509449073,0.2365793629650088,0.22638680659670166,-47.239517654476664,6.564549180327857,1.0,1.0,0.15384615384615385
acceleration_velocity_ratio,26,61,0.5102564102564102,0.6666666666666666,0.9948542821614846,0.0,0.5,1.0,1.0,0.5311215196461097,0.8333333333333334,1.3001542239368007,0.0,0.5,1.0,1.1428571428571428,-0.01712602167694721,-0.1532156368221942,0.9243379571248423,0.25012192880674333,0.4333896231328184,0.9354260409977176,0.941880778639146,0.9475262368815592,-0.5469984136992335,0.4536790793450627,1.0,1.0,0.1532156368221942
PreBurst_Price_Per_Volume_3s,26,61,0.01047430160511877,0.0087805379299715,0.007337522009083493,0.0032424349742255,0.00561207723753575,0.01247673697270475,0.0195664040084535,0.011546220104808196,0.01038062283737,0.006594926373732016,0.004115226337449,0.007339449541284,0.014354066985646,0.02046783625731,-0.15713286290983167,-0.15258511979823455,0.7288776796973518,0.26384964308991454,0.28799433250698414,0.523979994321297,0.5041020676486977,0.5122438780609695,-0.004092766669285273,0.002179628088987274,1.0,1.0,0.15258511979823455
weekday_index,26,61,2.1923076923076925,2.5,1.497176830417323,0.0,1.0,3.0,4.0,1.8360655737704918,2.0,1.3314193913370855,0.0,1.0,3.0,4.0,0.257728766700535,0.14754098360655737,0.8102143757881463,0.269893721499743,0.7006850626258015,0.29996714421023174,0.2742597923900562,0.3078460769615192,-0.3297761664564944,1.008843001261034,1.0,1.0,0.14754098360655737
