feature,physical_family,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
Body_OR_Ratio_AtEntry,AUCTION_THEORY,0.00030411008955881036,0.03170870079571607,0.15155765300305785,0.10374626450025708,0.02712193548659081,0.1866204460566908,0.0929646914251919,0.257002484947095,0.0708413152697154,-0.11956004322842168
Signed_Delta_Share_AtEntry,FLOW_BURST_QUALITY,0.002129885601283682,-0.03461339545422497,-0.052107348167105175,-0.03463169199829138,-0.18149238130203801,-0.004584381499404723,0.29229086465628773,0.11512118703034444,0.04712123926575011,-0.06366608735494961
Signed_Previous_Delta_Share_AtEntry,FLOW_BURST_QUALITY,0.020480277046636738,-0.03292836531730602,-0.06804497912857083,-0.05069691455780177,-0.02770605631761255,-0.026881806696453056,0.24499010172066343,0.061812333592783236,0.04766838626524265,-0.11243568916650026
Prior_Closed_ATR3_Ticks_AtEntry,AUCTION_THEORY,0.01899136179473691,0.18854480043390326,-0.126743678401539,-0.016340165987244845,-0.1542940274685073,0.016591956338374035,0.04754987998281452,-0.03993257057325934,-0.02679779252794639,0.0020602790397698887
Prior_Closed_ATR5_Ticks_AtEntry,AUCTION_THEORY,0.035242110551533555,0.19331070614556015,-0.13269902129802202,0.052721539539070855,-0.13272085307155007,-0.02483043586537844,0.04641721195128461,-0.059700985745079704,-0.029800224375316257,0.07152214183023455
PreEntry_Directional_Efficiency3_AtEntry,OTHER_CAUSAL_CONTEXT,0.019716805324882816,-0.0513337866165148,-0.04108472902543283,-0.12092690811512505,-0.0013768836649790859,-0.14189447039429479,0.2931534042904207,0.18436122491666676,0.00545114882395919,0.037254569356889054
PreEntry_Directional_Delta_Share3_AtEntry,FLOW_BURST_QUALITY,0.0059252772940482585,-0.019852338075611677,-0.06422807479474539,-0.11215555187946752,-0.002353529523889433,-0.12268028225976454,0.24710360647230276,0.07136800989168103,0.10451968845558784,-0.03586826759476693
PreEntry_Range_Compression3_AtEntry,OTHER_CAUSAL_CONTEXT,-0.008570224261824471,-0.033878124949956394,0.1030006602334713,0.16398271427125305,-0.03635410168368203,-0.04205459556746261,-0.07256224225885571,0.19568052351389156,-0.026554166598616806,-0.056550299631241814
PreEntry_Volume_Climax_Ratio_AtEntry,FLOW_BURST_QUALITY,0.03741667451759195,0.03864833141402842,-0.017930486869663465,0.28356719726012936,-0.05701382194317652,-0.11459268178688138,0.08655724155092419,-0.044071378180136525,-0.023807268058169427,0.13700961856979835
Nearest_OR_Edge_Retest_Count_AtEntry,ACCEPTANCE_RECLAIM,0.049396598054229336,0.03234904151846206,-0.020921105052875387,0.28046990988217946,-0.03088410235863007,-0.1050979673423946,-0.0004796011536145716,0.028080837278454278,-0.000979711026851585,0.18107808379083132
