feature,physical_family,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
acceleration_velocity_ratio,PERSISTENCE_EXHAUSTION,-0.02145911358204202,0.07372037330678143,0.14407156343196198,0.02348071106625349,0.10643441834633989,-0.21468280195360245,0.03697912531549389,0.019087984670577506,0.1169829056254194,-0.1381391875424406
directional_vwap_distance,AUCTION_THEORY,0.0014960023106139369,0.18872679771746612,0.11509274878355796,0.029058627462502748,0.009890177835262146,0.20090237288628346,-0.005658836710663446,-0.17101298423956254,0.028863554685375128,-0.001062000611299281
directional_poc_distance,AUCTION_THEORY,0.019279368029482102,0.17664723430842588,0.12087973077124638,0.02768597380486878,-0.010395396352098952,0.14648383916875526,-0.01356063439085371,-0.15612961314619958,0.0031577086162823905,-0.03183794665387041
profile_confluence_4t,AUCTION_THEORY,0.003142134926036357,-0.046212607936043704,-0.13779150967251305,-0.05902490356734221,0.04030931120072406,-0.046481029485830626,-0.027571531184647814,-0.003019568046678146,-0.007447339286058653,-0.09056522782750386
burst_efficiency_score,EFFORT_VS_RESULT,0.010240975498230649,0.21579154566540715,0.09901073815505694,-0.12938540798571863,-0.03123736107519805,-0.04841304546950097,0.0015568663756089984,0.11110665994227911,0.08152875802293054,0.053356734573039896
liquidity_absorption_score,OTHER_CAUSAL_CONTEXT,0.015182064632309011,-0.11482925324147976,-0.19112408664446373,0.04419474023706335,-0.06346697625486053,0.2621132093661493,-0.013798548633373322,0.11090702298976145,0.06485274055250652,0.15780497739693639
seconds_from_open,TIME_REGIME,0.04877178961492093,0.056120074240244004,-0.02591217107279957,0.30579693405377645,-0.06959382871279023,-0.1390231351224482,0.11151767320462543,-0.010582596950355409,-0.017261516922051686,0.13963052257527106
minute_from_open,TIME_REGIME,0.048771789614920937,0.056120074240244025,-0.025912171072799566,0.30579693405377645,-0.06959382871279024,-0.13902313512244824,0.11151767320462552,-0.010582596950355393,-0.017261516922051703,0.13963052257527106
weekday_index,TIME_REGIME,0.015142995024326852,0.002358755275773564,-0.058790024057253316,0.0107780427829771,-0.018802336280384566,-0.06854578033846515,0.09755737440974249,-0.11531728407784303,0.03227486646382673,-0.08877560604627865
month_index,TIME_REGIME,0.034735173737897376,-0.042836632332172726,-0.016535682870086783,0.03837845971989577,-0.03792985602402844,-0.004874995701889289,0.08063647017656282,-0.1142374858861735,0.00798707072580149,-0.08257230318612988
execution_side_sign,OTHER_CAUSAL_CONTEXT,0.19619554554331967,-0.01014775511403636,-0.01958626853358801,-0.04219252376033147,0.006934072166394553,-0.0055488515753198036,0.012925036751363255,0.009587571947708005,-0.06732811177822533,0.0145936679906415
or_position_fraction,AUCTION_THEORY,-0.17158535916056936,-0.005160574736504621,-0.037526111904217715,-0.001384059215411175,-0.003651898896633946,-0.1221737277957386,0.04920180246100947,0.06255086747706409,-0.1009806060962458,-0.06392448161776883
distance_nearest_or_edge_ticks,AUCTION_THEORY,0.036617247818219845,0.1549269603950113,-0.005837986900651447,0.17196204561548264,0.0027380348626602296,0.1598228669459839,-0.06621134299644095,0.19809857364253913,-0.040311481515122025,-0.15021478238331423
distance_nearest_profile_reference_ticks,AUCTION_THEORY,0.008490306522129409,-0.009268978693058013,-0.05283770639966375,-0.029957180047962682,-0.01309071360337545,-0.08682934056674835,0.02383282365313444,0.039566048149250854,-0.15580822492136623,0.05431778694201676
vwap_poc_spread_ticks,AUCTION_THEORY,0.0034845172495000993,0.09062229091671856,-0.1414549545380159,0.016519146711144354,-0.04935233842040471,-0.1095315965813562,-0.09348513387577133,0.07135872554288511,0.014158773356185685,-0.2517102381911556
signed_velocity_decay_1_5,PERSISTENCE_EXHAUSTION,-0.005283756739542553,-0.21556578780571492,-0.005501413564162557,0.06455761394472607,-0.14754368789258288,0.0701864938087231,-0.014484210658495308,-0.1017808245718724,-0.10111950695171198,-0.05324341171931354
signed_delta_decay_1_5,PERSISTENCE_EXHAUSTION,-0.020359338771532016,-0.024098093340721924,0.14085276286745835,-0.0833912352953653,-0.32742392053169966,-0.018527861069552135,-0.04742233652090414,0.07426800258245768,-0.0654230036957675,0.042575203073848274
execution_cvd_alignment,OTHER_CAUSAL_CONTEXT,0.0024572415879843606,0.0002150441973735361,-0.0006614505933812929,0.015616407749269697,-0.07442935507115309,-0.07698664075808043,-0.11121852923514838,0.04641931914027786,-0.03272414756938244,0.10031613693801254
