comparison,year,feature,physical_family,n_D,n_other,median_D,median_other,direction_D_minus_other,cliffs_delta_D_minus_other
D_vs_REST,2022,Dist_VAL_Ticks,AUCTION_THEORY,10,26,-4.0,1.0,-1.0,0.007692307692307693
D_vs_REST,2023,Dist_VAL_Ticks,AUCTION_THEORY,16,25,12.5,12.0,1.0,-0.0075
D_vs_REST,2024,Dist_VAL_Ticks,AUCTION_THEORY,18,31,13.5,10.0,1.0,0.15770609318996415
D_vs_REST,2025,Dist_VAL_Ticks,AUCTION_THEORY,22,21,-5.0,1.0,-1.0,-0.22077922077922077
D_vs_REST,2026,Dist_VAL_Ticks,AUCTION_THEORY,5,9,32.0,29.0,1.0,0.15555555555555556
D_vs_REST,2022,Dist_HVN_Ticks,AUCTION_THEORY,10,26,0.0,0.0,0.0,-0.15
D_vs_REST,2023,Dist_HVN_Ticks,AUCTION_THEORY,16,25,0.0,0.0,0.0,-0.0575
D_vs_REST,2024,Dist_HVN_Ticks,AUCTION_THEORY,18,31,0.0,0.0,0.0,0.023297491039426525
D_vs_REST,2025,Dist_HVN_Ticks,AUCTION_THEORY,22,21,0.0,0.0,0.0,-0.23809523809523808
D_vs_REST,2026,Dist_HVN_Ticks,AUCTION_THEORY,5,9,0.0,0.0,0.0,-0.1111111111111111
D_vs_REST,2022,Dist_LVN_Ticks,AUCTION_THEORY,10,26,0.5,0.5,0.0,-0.08076923076923077
D_vs_REST,2023,Dist_LVN_Ticks,AUCTION_THEORY,16,25,0.0,0.0,0.0,0.01
D_vs_REST,2024,Dist_LVN_Ticks,AUCTION_THEORY,18,31,0.0,1.0,-1.0,-0.03046594982078853
D_vs_REST,2025,Dist_LVN_Ticks,AUCTION_THEORY,22,21,0.5,0.0,1.0,0.12987012987012986
D_vs_REST,2026,Dist_LVN_Ticks,AUCTION_THEORY,5,9,0.0,-1.0,1.0,0.17777777777777778
D_vs_REST,2022,PreBurst_Acceptance_Dwell_Ratio_5s,ACCEPTANCE_RECLAIM,10,26,1.0,0.7,1.0,0.3576923076923077
D_vs_REST,2023,PreBurst_Acceptance_Dwell_Ratio_5s,ACCEPTANCE_RECLAIM,16,25,1.0,1.0,0.0,0.4125
D_vs_REST,2024,PreBurst_Acceptance_Dwell_Ratio_5s,ACCEPTANCE_RECLAIM,18,31,0.5,0.8,-1.0,-0.17921146953405018
D_vs_REST,2025,PreBurst_Acceptance_Dwell_Ratio_5s,ACCEPTANCE_RECLAIM,22,21,1.0,0.6,1.0,0.170995670995671
D_vs_REST,2026,PreBurst_Acceptance_Dwell_Ratio_5s,ACCEPTANCE_RECLAIM,5,9,1.0,0.8,1.0,0.26666666666666666
D_vs_REST,2022,PreBurst_Reclaim_Count_10s,ACCEPTANCE_RECLAIM,10,26,0.0,0.0,0.0,0.1076923076923077
D_vs_REST,2023,PreBurst_Reclaim_Count_10s,ACCEPTANCE_RECLAIM,16,25,0.0,0.0,0.0,0.045
D_vs_REST,2024,PreBurst_Reclaim_Count_10s,ACCEPTANCE_RECLAIM,18,31,0.0,0.0,0.0,-0.021505376344086023
D_vs_REST,2025,PreBurst_Reclaim_Count_10s,ACCEPTANCE_RECLAIM,22,21,0.0,0.0,0.0,0.09090909090909091
D_vs_REST,2026,PreBurst_Reclaim_Count_10s,ACCEPTANCE_RECLAIM,5,9,0.0,0.0,0.0,-0.1111111111111111
D_vs_REST,2022,PreBurst_Rotation_Index_10s,TEMPORAL_SEQUENCE,10,26,0.3666666666666665,0.4142857142857145,-1.0,-0.06923076923076923
D_vs_REST,2023,PreBurst_Rotation_Index_10s,TEMPORAL_SEQUENCE,16,25,0.3666666666666665,0.428571428571429,-1.0,-0.33
D_vs_REST,2024,PreBurst_Rotation_Index_10s,TEMPORAL_SEQUENCE,18,31,0.333333333333333,0.333333333333333,0.0,0.06093189964157706
D_vs_REST,2025,PreBurst_Rotation_Index_10s,TEMPORAL_SEQUENCE,22,21,0.4,0.428571428571429,-1.0,-0.09740259740259741
D_vs_REST,2026,PreBurst_Rotation_Index_10s,TEMPORAL_SEQUENCE,5,9,0.5,0.571428571428571,-1.0,-0.13333333333333333
