comparison,year,feature,physical_family,n_D,n_other,median_D,median_other,direction_D_minus_other,cliffs_delta_D_minus_other
D_vs_A,2026,Dist_OR_Low_Ticks,AUCTION_THEORY,5,7,45.0,47.0,-1.0,0.14285714285714285
D_vs_A,2022,Dist_VWAP_Ticks,AUCTION_THEORY,10,19,-15.133014060947175,5.81949479256574,-1.0,-0.29473684210526313
D_vs_A,2023,Dist_VWAP_Ticks,AUCTION_THEORY,16,21,9.44408112908678,-6.451211380306735,1.0,-0.023809523809523808
D_vs_A,2024,Dist_VWAP_Ticks,AUCTION_THEORY,18,27,9.38514370719504,8.213216821409066,1.0,0.11934156378600823
D_vs_A,2025,Dist_VWAP_Ticks,AUCTION_THEORY,22,17,-15.952625924806302,-10.618976129710253,-1.0,-0.21390374331550802
D_vs_A,2026,Dist_VWAP_Ticks,AUCTION_THEORY,5,7,23.040822886531664,18.502827087442473,1.0,0.2571428571428571
D_vs_A,2022,Dist_POC_Ticks,AUCTION_THEORY,10,19,-15.5,10.0,-1.0,-0.2789473684210526
D_vs_A,2023,Dist_POC_Ticks,AUCTION_THEORY,16,21,8.0,-4.0,1.0,0.11607142857142858
D_vs_A,2024,Dist_POC_Ticks,AUCTION_THEORY,18,27,6.5,8.0,-1.0,0.03292181069958848
D_vs_A,2025,Dist_POC_Ticks,AUCTION_THEORY,22,17,-11.5,-8.0,-1.0,-0.17379679144385027
D_vs_A,2026,Dist_POC_Ticks,AUCTION_THEORY,5,7,21.0,17.0,1.0,0.3142857142857143
D_vs_A,2022,Dist_VAH_Ticks,AUCTION_THEORY,10,19,-24.5,-5.0,-1.0,-0.24210526315789474
D_vs_A,2023,Dist_VAH_Ticks,AUCTION_THEORY,16,21,3.0,-10.0,1.0,0.13690476190476192
D_vs_A,2024,Dist_VAH_Ticks,AUCTION_THEORY,18,27,2.0,4.0,-1.0,0.03292181069958848
D_vs_A,2025,Dist_VAH_Ticks,AUCTION_THEORY,22,17,-22.0,-14.0,-1.0,-0.22994652406417113
D_vs_A,2026,Dist_VAH_Ticks,AUCTION_THEORY,5,7,7.0,6.0,1.0,-0.02857142857142857
D_vs_A,2022,Dist_VAL_Ticks,AUCTION_THEORY,10,19,-4.0,16.0,-1.0,-0.1
D_vs_A,2023,Dist_VAL_Ticks,AUCTION_THEORY,16,21,12.5,1.0,1.0,0.0
D_vs_A,2024,Dist_VAL_Ticks,AUCTION_THEORY,18,27,13.5,12.0,1.0,0.13580246913580246
D_vs_A,2025,Dist_VAL_Ticks,AUCTION_THEORY,22,17,-5.0,1.0,-1.0,-0.18449197860962566
D_vs_A,2026,Dist_VAL_Ticks,AUCTION_THEORY,5,7,32.0,29.0,1.0,0.2
D_vs_A,2022,Dist_HVN_Ticks,AUCTION_THEORY,10,19,0.0,0.0,0.0,-0.13157894736842105
D_vs_A,2023,Dist_HVN_Ticks,AUCTION_THEORY,16,21,0.0,0.0,0.0,-0.008928571428571428
D_vs_A,2024,Dist_HVN_Ticks,AUCTION_THEORY,18,27,0.0,0.0,0.0,-0.006172839506172839
D_vs_A,2025,Dist_HVN_Ticks,AUCTION_THEORY,22,17,0.0,0.0,0.0,-0.21390374331550802
D_vs_A,2026,Dist_HVN_Ticks,AUCTION_THEORY,5,7,0.0,0.0,0.0,0.02857142857142857
D_vs_A,2022,Dist_LVN_Ticks,AUCTION_THEORY,10,19,0.5,1.0,-1.0,-0.14736842105263157
D_vs_A,2023,Dist_LVN_Ticks,AUCTION_THEORY,16,21,0.0,0.0,0.0,-0.011904761904761904
D_vs_A,2024,Dist_LVN_Ticks,AUCTION_THEORY,18,27,0.0,1.0,-1.0,0.06172839506172839
D_vs_A,2025,Dist_LVN_Ticks,AUCTION_THEORY,22,17,0.5,0.0,1.0,0.12299465240641712
D_vs_A,2026,Dist_LVN_Ticks,AUCTION_THEORY,5,7,0.0,0.0,0.0,0.0
D_vs_A,2022,PreBurst_Acceptance_Dwell_Ratio_5s,ACCEPTANCE_RECLAIM,10,19,1.0,0.8,1.0,0.3263157894736842
D_vs_A,2023,PreBurst_Acceptance_Dwell_Ratio_5s,ACCEPTANCE_RECLAIM,16,21,1.0,1.0,0.0,0.40773809523809523
D_vs_A,2024,PreBurst_Acceptance_Dwell_Ratio_5s,ACCEPTANCE_RECLAIM,18,27,0.5,0.8,-1.0,-0.22633744855967078
D_vs_A,2025,PreBurst_Acceptance_Dwell_Ratio_5s,ACCEPTANCE_RECLAIM,22,17,1.0,1.0,0.0,0.040106951871657755
D_vs_A,2026,PreBurst_Acceptance_Dwell_Ratio_5s,ACCEPTANCE_RECLAIM,5,7,1.0,1.0,0.0,0.17142857142857143
D_vs_A,2022,PreBurst_Reclaim_Count_10s,ACCEPTANCE_RECLAIM,10,19,0.0,0.0,0.0,0.14210526315789473
D_vs_A,2023,PreBurst_Reclaim_Count_10s,ACCEPTANCE_RECLAIM,16,21,0.0,0.0,0.0,0.02976190476190476
D_vs_A,2024,PreBurst_Reclaim_Count_10s,ACCEPTANCE_RECLAIM,18,27,0.0,0.0,0.0,-0.0411522633744856
D_vs_A,2025,PreBurst_Reclaim_Count_10s,ACCEPTANCE_RECLAIM,22,17,0.0,0.0,0.0,0.11497326203208556
D_vs_A,2026,PreBurst_Reclaim_Count_10s,ACCEPTANCE_RECLAIM,5,7,0.0,0.0,0.0,-0.14285714285714285
D_vs_A,2022,PreBurst_Rotation_Index_10s,TEMPORAL_SEQUENCE,10,19,0.3666666666666665,0.428571428571429,-1.0,-0.1631578947368421
D_vs_A,2023,PreBurst_Rotation_Index_10s,TEMPORAL_SEQUENCE,16,21,0.3666666666666665,0.4,-1.0,-0.30654761904761907
D_vs_A,2024,PreBurst_Rotation_Index_10s,TEMPORAL_SEQUENCE,18,27,0.333333333333333,0.333333333333333,0.0,0.07613168724279835
D_vs_A,2025,PreBurst_Rotation_Index_10s,TEMPORAL_SEQUENCE,22,17,0.4,0.5,-1.0,-0.10160427807486631
D_vs_A,2026,PreBurst_Rotation_Index_10s,TEMPORAL_SEQUENCE,5,7,0.5,0.4,1.0,-0.11428571428571428
D_vs_A,2022,PreBurst_Local_Entropy_10s,TEMPORAL_SEQUENCE,10,19,0.837199346512882,0.91829583405449,-1.0,-0.15263157894736842
D_vs_A,2023,PreBurst_Local_Entropy_10s,TEMPORAL_SEQUENCE,16,21,0.7666031096732475,0.811278124459133,-1.0,-0.20238095238095238
D_vs_A,2024,PreBurst_Local_Entropy_10s,TEMPORAL_SEQUENCE,18,27,0.7306502730537435,0.721928094887362,1.0,0.05555555555555555
D_vs_A,2025,PreBurst_Local_Entropy_10s,TEMPORAL_SEQUENCE,22,17,0.863120568566631,0.811278124459133,1.0,-0.05614973262032086
D_vs_A,2026,PreBurst_Local_Entropy_10s,TEMPORAL_SEQUENCE,5,7,0.863120568566631,0.91829583405449,-1.0,-0.5428571428571428
D_vs_A,2022,PreBurst_Path_Efficiency_10s,TEMPORAL_SEQUENCE,10,19,0.55,0.620689655172414,-1.0,-0.1
D_vs_A,2023,PreBurst_Path_Efficiency_10s,TEMPORAL_SEQUENCE,16,21,0.625,0.666666666666667,-1.0,0.0
D_vs_A,2024,PreBurst_Path_Efficiency_10s,TEMPORAL_SEQUENCE,18,27,0.7182539682539679,0.818181818181818,-1.0,-0.23251028806584362
D_vs_A,2025,PreBurst_Path_Efficiency_10s,TEMPORAL_SEQUENCE,22,17,0.5916666666666666,0.523809523809524,1.0,0.0855614973262032
D_vs_A,2026,PreBurst_Path_Efficiency_10s,TEMPORAL_SEQUENCE,5,7,0.666666666666667,0.5,1.0,0.8571428571428571
D_vs_A,2022,PreBurst_Price_Per_Delta_3s,EFFORT_VS_RESULT,10,19,0.0250875875875875,0.034013605442177,-1.0,-0.12631578947368421
D_vs_A,2023,PreBurst_Price_Per_Delta_3s,EFFORT_VS_RESULT,16,21,0.0155007314802505,0.017167381974249,-1.0,-0.1488095238095238
D_vs_A,2024,PreBurst_Price_Per_Delta_3s,EFFORT_VS_RESULT,18,27,0.0251414304225535,0.027932960893855,-1.0,-0.08024691358024691
D_vs_A,2025,PreBurst_Price_Per_Delta_3s,EFFORT_VS_RESULT,22,17,0.0280590651158415,0.032894736842105,-1.0,-0.14705882352941177
D_vs_A,2026,PreBurst_Price_Per_Delta_3s,EFFORT_VS_RESULT,5,7,0.064171122994652,0.042424242424242,1.0,0.2571428571428571
D_vs_A,2022,PreBurst_Price_Per_Volume_3s,EFFORT_VS_RESULT,10,19,0.0124343527957985,0.013667425968109,-1.0,-0.07368421052631578
D_vs_A,2023,PreBurst_Price_Per_Volume_3s,EFFORT_VS_RESULT,16,21,0.0069966406457695005,0.007777777777778,-1.0,-0.10119047619047619
D_vs_A,2024,PreBurst_Price_Per_Volume_3s,EFFORT_VS_RESULT,18,27,0.0124534739454095,0.01187648456057,1.0,-0.012345679012345678
D_vs_A,2025,PreBurst_Price_Per_Volume_3s,EFFORT_VS_RESULT,22,17,0.0125947780844515,0.014830508474576,-1.0,-0.17647058823529413
D_vs_A,2026,PreBurst_Price_Per_Volume_3s,EFFORT_VS_RESULT,5,7,0.029304029304029,0.019021739130435,1.0,0.42857142857142855
D_vs_A,2022,PreBurst_Impulse_Survival_Seconds,AUCTION_THEORY,10,19,2.0,2.0,0.0,0.03684210526315789
D_vs_A,2023,PreBurst_Impulse_Survival_Seconds,AUCTION_THEORY,16,21,2.0,1.0,1.0,0.16964285714285715
D_vs_A,2024,PreBurst_Impulse_Survival_Seconds,AUCTION_THEORY,18,27,2.0,2.0,0.0,-0.0102880658436214
D_vs_A,2025,PreBurst_Impulse_Survival_Seconds,AUCTION_THEORY,22,17,2.0,2.0,0.0,-0.053475935828877004
D_vs_A,2026,PreBurst_Impulse_Survival_Seconds,AUCTION_THEORY,5,7,2.0,2.0,0.0,0.11428571428571428
D_vs_A,2022,PreBurst_Impulse_Decay_Slope_5s,PERSISTENCE_EXHAUSTION,10,19,1.05,0.7,1.0,0.23684210526315788
D_vs_A,2023,PreBurst_Impulse_Decay_Slope_5s,PERSISTENCE_EXHAUSTION,16,21,0.44999999999999996,0.5,-1.0,-0.125
D_vs_A,2024,PreBurst_Impulse_Decay_Slope_5s,PERSISTENCE_EXHAUSTION,18,27,0.8,0.7,1.0,-0.04526748971193416
D_vs_A,2025,PreBurst_Impulse_Decay_Slope_5s,PERSISTENCE_EXHAUSTION,22,17,0.6499999999999999,0.9,-1.0,-0.19786096256684493
D_vs_A,2026,PreBurst_Impulse_Decay_Slope_5s,PERSISTENCE_EXHAUSTION,5,7,1.6,1.3,1.0,0.22857142857142856
D_vs_A,2022,Profile_Std_Ticks,AUCTION_THEORY,10,19,8.77120212588016,8.4430419382144,1.0,0.21052631578947367
D_vs_A,2023,Profile_Std_Ticks,AUCTION_THEORY,16,21,6.073670393958692,5.461925197855376,1.0,-0.005952380952380952
D_vs_A,2024,Profile_Std_Ticks,AUCTION_THEORY,18,27,7.197671477862028,5.726462775105912,1.0,-0.01646090534979424
D_vs_A,2025,Profile_Std_Ticks,AUCTION_THEORY,22,17,10.318441981045119,9.25439084103808,1.0,0.13903743315508021
D_vs_A,2026,Profile_Std_Ticks,AUCTION_THEORY,5,7,16.43733587586464,11.77810795272288,1.0,0.5428571428571428
D_vs_A,2022,Profile_Skewness,AUCTION_THEORY,10,19,0.0854806026074585,0.04083111980575,1.0,0.010526315789473684
D_vs_A,2023,Profile_Skewness,AUCTION_THEORY,16,21,0.156547816364485,-0.107426406202863,1.0,0.30952380952380953
D_vs_A,2024,Profile_Skewness,AUCTION_THEORY,18,27,0.0716946033244245,-0.030351702913897,1.0,0.01646090534979424
D_vs_A,2025,Profile_Skewness,AUCTION_THEORY,22,17,-0.0744898906555285,0.016146651769597,-1.0,0.0748663101604278
D_vs_A,2026,Profile_Skewness,AUCTION_THEORY,5,7,0.375312325452195,-0.089297181111916,1.0,0.37142857142857144
D_vs_A,2022,Profile_Excess_Kurtosis,AUCTION_THEORY,10,19,-0.822463328198226,-0.621934842775609,-1.0,-0.2631578947368421
D_vs_A,2023,Profile_Excess_Kurtosis,AUCTION_THEORY,16,21,-0.580338391341383,-0.594960862149169,1.0,-0.05357142857142857
D_vs_A,2024,Profile_Excess_Kurtosis,AUCTION_THEORY,18,27,-0.461124264646321,-0.428952600211312,-1.0,-0.1111111111111111
D_vs_A,2025,Profile_Excess_Kurtosis,AUCTION_THEORY,22,17,-0.7692464540560731,-0.582662053859117,-1.0,-0.26737967914438504
D_vs_A,2026,Profile_Excess_Kurtosis,AUCTION_THEORY,5,7,-0.638137701697122,-0.725406915662039,1.0,-0.02857142857142857
D_vs_A,2022,Profile_Normalized_Entropy,AUCTION_THEORY,10,19,0.9364868214572399,0.93671145718257,-1.0,0.1368421052631579
D_vs_A,2023,Profile_Normalized_Entropy,AUCTION_THEORY,16,21,0.914278421249084,0.914299124205158,-1.0,0.08333333333333333
D_vs_A,2024,Profile_Normalized_Entropy,AUCTION_THEORY,18,27,0.9243970287800884,0.910408798551179,1.0,0.21810699588477367
D_vs_A,2025,Profile_Normalized_Entropy,AUCTION_THEORY,22,17,0.929736476934506,0.927743503664988,1.0,0.0374331550802139
D_vs_A,2026,Profile_Normalized_Entropy,AUCTION_THEORY,5,7,0.94641685856022,0.937785207426378,1.0,0.14285714285714285
D_vs_A,2022,Profile_Concentration,AUCTION_THEORY,10,19,0.064132520912194,0.068259385665529,-1.0,-0.05263157894736842
D_vs_A,2023,Profile_Concentration,AUCTION_THEORY,16,21,0.103350875714756,0.089427496865859,1.0,0.23214285714285715
D_vs_A,2024,Profile_Concentration,AUCTION_THEORY,18,27,0.0870699804112675,0.083574364439032,1.0,0.037037037037037035
D_vs_A,2025,Profile_Concentration,AUCTION_THEORY,22,17,0.0677050210913,0.06509670487106,1.0,0.08021390374331551
D_vs_A,2026,Profile_Concentration,AUCTION_THEORY,5,7,0.033516926383665,0.043484918082989,-1.0,-0.5428571428571428
D_vs_A,2022,Profile_Effective_Nodes,AUCTION_THEORY,10,19,31.220648445388,29.8888375499662,1.0,0.21052631578947367
D_vs_A,2023,Profile_Effective_Nodes,AUCTION_THEORY,16,21,21.75040705719275,21.3132133301069,1.0,-0.1130952380952381
D_vs_A,2024,Profile_Effective_Nodes,AUCTION_THEORY,18,27,22.946105265897103,22.3527456078888,1.0,-0.03292181069958848
D_vs_A,2025,Profile_Effective_Nodes,AUCTION_THEORY,22,17,33.2958669676092,32.6110205105958,1.0,0.06951871657754011
D_vs_A,2026,Profile_Effective_Nodes,AUCTION_THEORY,5,7,58.0572847179412,43.0083513237871,1.0,0.5428571428571428
D_vs_A,2022,Profile_Local_Maxima_Count,AUCTION_THEORY,10,19,10.0,9.0,1.0,0.042105263157894736
D_vs_A,2023,Profile_Local_Maxima_Count,AUCTION_THEORY,16,21,6.0,7.0,-1.0,-0.08630952380952381
D_vs_A,2024,Profile_Local_Maxima_Count,AUCTION_THEORY,18,27,7.0,8.0,-1.0,-0.22633744855967078
D_vs_A,2025,Profile_Local_Maxima_Count,AUCTION_THEORY,22,17,10.5,8.0,1.0,0.016042780748663103
D_vs_A,2026,Profile_Local_Maxima_Count,AUCTION_THEORY,5,7,21.0,14.0,1.0,0.6
D_vs_A,2022,Profile_Position_Percentile,AUCTION_THEORY,10,19,0.09254474408680699,0.753438057425629,-1.0,-0.1368421052631579
D_vs_A,2023,Profile_Position_Percentile,AUCTION_THEORY,16,21,0.9846224515658405,0.057123805290064,1.0,0.09523809523809523
D_vs_A,2024,Profile_Position_Percentile,AUCTION_THEORY,18,27,0.985880981172406,0.895722332166235,1.0,0.19753086419753085
D_vs_A,2025,Profile_Position_Percentile,AUCTION_THEORY,22,17,0.019078104316479,0.062355027971074,-1.0,-0.17379679144385027
D_vs_A,2026,Profile_Position_Percentile,AUCTION_THEORY,5,7,0.976963462980821,0.978965960179833,-1.0,-0.2
D_vs_A,2022,POC_Migration_Ticks,AUCTION_THEORY,0,1,,-5.0,,
D_vs_A,2023,POC_Migration_Ticks,AUCTION_THEORY,1,1,-9.0,-8.0,-1.0,-1.0
D_vs_A,2024,POC_Migration_Ticks,AUCTION_THEORY,0,3,,0.0,,
D_vs_A,2025,POC_Migration_Ticks,AUCTION_THEORY,0,0,,,,
D_vs_A,2026,POC_Migration_Ticks,AUCTION_THEORY,0,0,,,,
D_vs_A,2022,range,OTHER_CAUSAL_CONTEXT,10,19,137.5,135.0,1.0,0.10526315789473684
D_vs_A,2023,range,OTHER_CAUSAL_CONTEXT,16,21,77.5,80.0,-1.0,-0.16666666666666666
D_vs_A,2024,range,OTHER_CAUSAL_CONTEXT,18,27,92.5,90.0,1.0,-0.018518518518518517
D_vs_A,2025,range,OTHER_CAUSAL_CONTEXT,22,17,135.0,110.0,1.0,0.16042780748663102
D_vs_A,2026,range,OTHER_CAUSAL_CONTEXT,5,7,280.0,205.0,1.0,0.3142857142857143
D_vs_A,2022,Body_AtEntry,OTHER_CAUSAL_CONTEXT,10,19,30.0,30.0,0.0,-0.11052631578947368
D_vs_A,2023,Body_AtEntry,OTHER_CAUSAL_CONTEXT,16,21,22.5,20.0,1.0,0.050595238095238096
D_vs_A,2024,Body_AtEntry,OTHER_CAUSAL_CONTEXT,18,27,25.0,30.0,-1.0,-0.12551440329218108
D_vs_A,2025,Body_AtEntry,OTHER_CAUSAL_CONTEXT,22,17,27.5,35.0,-1.0,-0.0855614973262032
D_vs_A,2026,Body_AtEntry,OTHER_CAUSAL_CONTEXT,5,7,90.0,40.0,1.0,0.5428571428571428
D_vs_A,2022,Volume_AtEntry,FLOW_BURST_QUALITY,10,19,702.0,1092.0,-1.0,-0.30526315789473685
D_vs_A,2023,Volume_AtEntry,FLOW_BURST_QUALITY,16,21,1638.0,2426.0,-1.0,-0.07738095238095238
D_vs_A,2024,Volume_AtEntry,FLOW_BURST_QUALITY,18,27,1937.5,1673.0,1.0,0.11522633744855967
D_vs_A,2025,Volume_AtEntry,FLOW_BURST_QUALITY,22,17,1595.0,1590.0,1.0,-0.026737967914438502
D_vs_A,2026,Volume_AtEntry,FLOW_BURST_QUALITY,5,7,1288.0,1662.0,-1.0,-0.02857142857142857
D_vs_A,2022,Delta_AtEntry,FLOW_BURST_QUALITY,10,19,-181.5,-175.0,-1.0,-0.05263157894736842
D_vs_A,2023,Delta_AtEntry,FLOW_BURST_QUALITY,16,21,162.0,-124.0,1.0,-0.05952380952380952
D_vs_A,2024,Delta_AtEntry,FLOW_BURST_QUALITY,18,27,191.0,85.0,1.0,0.10493827160493827
D_vs_A,2025,Delta_AtEntry,FLOW_BURST_QUALITY,22,17,-167.5,-186.0,1.0,-0.0855614973262032
D_vs_A,2026,Delta_AtEntry,FLOW_BURST_QUALITY,5,7,213.0,170.0,1.0,0.14285714285714285
D_vs_A,2022,Cumulative_Delta_AtEntry,FLOW_BURST_QUALITY,10,19,295.0,-603.0,1.0,0.21052631578947367
D_vs_A,2023,Cumulative_Delta_AtEntry,FLOW_BURST_QUALITY,16,21,-542.5,-506.0,-1.0,-0.08630952380952381
D_vs_A,2024,Cumulative_Delta_AtEntry,FLOW_BURST_QUALITY,18,27,594.0,619.0,-1.0,0.00411522633744856
D_vs_A,2025,Cumulative_Delta_AtEntry,FLOW_BURST_QUALITY,22,17,316.5,73.0,1.0,-0.0855614973262032
D_vs_A,2026,Cumulative_Delta_AtEntry,FLOW_BURST_QUALITY,5,7,67.0,2294.0,-1.0,-0.3142857142857143
D_vs_A,2022,Previous_Volume_AtEntry,FLOW_BURST_QUALITY,10,19,3118.5,4076.0,-1.0,-0.14736842105263157
D_vs_A,2023,Previous_Volume_AtEntry,FLOW_BURST_QUALITY,16,21,4676.5,3895.0,1.0,0.35119047619047616
D_vs_A,2024,Previous_Volume_AtEntry,FLOW_BURST_QUALITY,18,27,3330.0,3326.0,1.0,0.02880658436213992
D_vs_A,2025,Previous_Volume_AtEntry,FLOW_BURST_QUALITY,22,17,2986.5,2757.0,1.0,-0.0106951871657754
D_vs_A,2026,Previous_Volume_AtEntry,FLOW_BURST_QUALITY,5,7,3078.0,4532.0,-1.0,-0.42857142857142855
D_vs_A,2022,Previous_Delta_AtEntry,FLOW_BURST_QUALITY,10,19,185.5,-6.0,1.0,0.29473684210526313
D_vs_A,2023,Previous_Delta_AtEntry,FLOW_BURST_QUALITY,16,21,141.5,8.0,1.0,0.09523809523809523
D_vs_A,2024,Previous_Delta_AtEntry,FLOW_BURST_QUALITY,18,27,53.0,-10.0,1.0,0.25925925925925924
D_vs_A,2025,Previous_Delta_AtEntry,FLOW_BURST_QUALITY,22,17,-96.5,-40.0,-1.0,-0.1711229946524064
D_vs_A,2026,Previous_Delta_AtEntry,FLOW_BURST_QUALITY,5,7,-22.0,98.0,-1.0,-0.3142857142857143
D_vs_A,2022,Delta_Change_AtEntry,FLOW_BURST_QUALITY,10,19,-253.5,-210.0,-1.0,-0.1368421052631579
D_vs_A,2023,Delta_Change_AtEntry,FLOW_BURST_QUALITY,16,21,26.0,-76.0,1.0,0.008928571428571428
D_vs_A,2024,Delta_Change_AtEntry,FLOW_BURST_QUALITY,18,27,-11.5,9.0,-1.0,-0.11934156378600823
D_vs_A,2025,Delta_Change_AtEntry,FLOW_BURST_QUALITY,22,17,-37.5,-142.0,1.0,0.10160427807486631
D_vs_A,2026,Delta_Change_AtEntry,FLOW_BURST_QUALITY,5,7,-50.0,-74.0,1.0,0.3142857142857143
D_vs_A,2022,BreakOut_TICKS_PER_SEC_AtEntry,OTHER_CAUSAL_CONTEXT,10,19,15.55,3.84,1.0,0.16842105263157894
D_vs_A,2023,BreakOut_TICKS_PER_SEC_AtEntry,OTHER_CAUSAL_CONTEXT,16,21,0.93,0.83,1.0,0.0625
D_vs_A,2024,BreakOut_TICKS_PER_SEC_AtEntry,OTHER_CAUSAL_CONTEXT,18,27,1.17,0.99,1.0,-0.09053497942386832
D_vs_A,2025,BreakOut_TICKS_PER_SEC_AtEntry,OTHER_CAUSAL_CONTEXT,22,17,1.275,1.05,1.0,-0.06149732620320856
D_vs_A,2026,BreakOut_TICKS_PER_SEC_AtEntry,OTHER_CAUSAL_CONTEXT,5,7,3.54,1.11,1.0,0.02857142857142857
D_vs_A,2022,Score_AtEntry,OTHER_CAUSAL_CONTEXT,10,19,9.0,9.0,0.0,0.19473684210526315
D_vs_A,2023,Score_AtEntry,OTHER_CAUSAL_CONTEXT,16,21,10.0,10.0,0.0,0.21726190476190477
D_vs_A,2024,Score_AtEntry,OTHER_CAUSAL_CONTEXT,18,27,10.0,9.0,1.0,0.18930041152263374
D_vs_A,2025,Score_AtEntry,OTHER_CAUSAL_CONTEXT,22,17,10.0,10.0,0.0,0.18983957219251338
D_vs_A,2026,Score_AtEntry,OTHER_CAUSAL_CONTEXT,5,7,8.0,9.0,-1.0,0.02857142857142857
D_vs_A,2022,Buy_Imbalance_Count_AtEntry,FLOW_BURST_QUALITY,10,19,0.0,0.0,0.0,-0.05263157894736842
D_vs_A,2023,Buy_Imbalance_Count_AtEntry,FLOW_BURST_QUALITY,16,21,0.5,0.0,1.0,0.05654761904761905
D_vs_A,2024,Buy_Imbalance_Count_AtEntry,FLOW_BURST_QUALITY,18,27,0.5,0.0,1.0,0.03909465020576132
D_vs_A,2025,Buy_Imbalance_Count_AtEntry,FLOW_BURST_QUALITY,22,17,0.0,0.0,0.0,-0.18983957219251338
D_vs_A,2026,Buy_Imbalance_Count_AtEntry,FLOW_BURST_QUALITY,5,7,0.0,0.0,0.0,0.05714285714285714
D_vs_A,2022,Sell_Imbalance_Count_AtEntry,FLOW_BURST_QUALITY,10,19,0.0,0.0,0.0,-0.015789473684210527
D_vs_A,2023,Sell_Imbalance_Count_AtEntry,FLOW_BURST_QUALITY,16,21,0.0,0.0,0.0,0.08630952380952381
D_vs_A,2024,Sell_Imbalance_Count_AtEntry,FLOW_BURST_QUALITY,18,27,0.0,0.0,0.0,-0.018518518518518517
D_vs_A,2025,Sell_Imbalance_Count_AtEntry,FLOW_BURST_QUALITY,22,17,1.0,0.0,1.0,0.25668449197860965
D_vs_A,2026,Sell_Imbalance_Count_AtEntry,FLOW_BURST_QUALITY,5,7,0.0,0.0,0.0,-0.14285714285714285
D_vs_A,2022,Seconds_From_Open_AtEntry,TIME_REGIME,10,19,195.033,121.026,1.0,0.08421052631578947
D_vs_A,2023,Seconds_From_Open_AtEntry,TIME_REGIME,16,21,142.04015,226.0407,-1.0,-0.24404761904761904
D_vs_A,2024,Seconds_From_Open_AtEntry,TIME_REGIME,18,27,147.05565,162.1138,-1.0,-0.205761316872428
D_vs_A,2025,Seconds_From_Open_AtEntry,TIME_REGIME,22,17,210.56310000000002,159.0456,1.0,0.12834224598930483
D_vs_A,2026,Seconds_From_Open_AtEntry,TIME_REGIME,5,7,151.0453,112.9754,1.0,0.4857142857142857
D_vs_A,2022,Directional_OR_Extension_Ticks_AtEntry,AUCTION_THEORY,10,19,-182.5,-160.0,-1.0,-0.13157894736842105
D_vs_A,2023,Directional_OR_Extension_Ticks_AtEntry,AUCTION_THEORY,16,21,-120.0,-120.0,0.0,-0.09523809523809523
D_vs_A,2024,Directional_OR_Extension_Ticks_AtEntry,AUCTION_THEORY,18,27,-130.0,-125.0,-1.0,0.05761316872427984
D_vs_A,2025,Directional_OR_Extension_Ticks_AtEntry,AUCTION_THEORY,22,17,-190.0,-175.0,-1.0,0.0213903743315508
D_vs_A,2026,Directional_OR_Extension_Ticks_AtEntry,AUCTION_THEORY,5,7,-415.0,-245.0,-1.0,-0.37142857142857144
D_vs_A,2022,Directional_VWAP_Distance_Ticks_AtEntry,AUCTION_THEORY,10,19,-188.375,-48.31,-1.0,-0.4842105263157895
D_vs_A,2023,Directional_VWAP_Distance_Ticks_AtEntry,AUCTION_THEORY,16,21,-139.58499999999998,-76.29,-1.0,-0.40476190476190477
D_vs_A,2024,Directional_VWAP_Distance_Ticks_AtEntry,AUCTION_THEORY,18,27,-192.60500000000002,-31.73,-1.0,-0.27983539094650206
D_vs_A,2025,Directional_VWAP_Distance_Ticks_AtEntry,AUCTION_THEORY,22,17,-86.16,-103.78,1.0,-0.03208556149732621
D_vs_A,2026,Directional_VWAP_Distance_Ticks_AtEntry,AUCTION_THEORY,5,7,124.25,-283.88,1.0,0.6571428571428571
D_vs_A,2022,Nearest_OR_Edge_Distance_Ticks_AtEntry,AUCTION_THEORY,10,19,30.0,35.0,-1.0,0.010526315789473684
D_vs_A,2023,Nearest_OR_Edge_Distance_Ticks_AtEntry,AUCTION_THEORY,16,21,42.5,30.0,1.0,0.09523809523809523
D_vs_A,2024,Nearest_OR_Edge_Distance_Ticks_AtEntry,AUCTION_THEORY,18,27,30.0,30.0,0.0,-0.15637860082304528
D_vs_A,2025,Nearest_OR_Edge_Distance_Ticks_AtEntry,AUCTION_THEORY,22,17,42.5,35.0,1.0,0.02406417112299465
D_vs_A,2026,Nearest_OR_Edge_Distance_Ticks_AtEntry,AUCTION_THEORY,5,7,100.0,45.0,1.0,0.42857142857142855
D_vs_A,2022,Body_OR_Ratio_AtEntry,AUCTION_THEORY,10,19,0.23,0.24,-1.0,-0.11578947368421053
D_vs_A,2023,Body_OR_Ratio_AtEntry,AUCTION_THEORY,16,21,0.31,0.25,1.0,0.12797619047619047
D_vs_A,2024,Body_OR_Ratio_AtEntry,AUCTION_THEORY,18,27,0.265,0.33,-1.0,-0.11316872427983539
D_vs_A,2025,Body_OR_Ratio_AtEntry,AUCTION_THEORY,22,17,0.185,0.25,-1.0,-0.16310160427807488
D_vs_A,2026,Body_OR_Ratio_AtEntry,AUCTION_THEORY,5,7,0.32,0.2,1.0,0.6
D_vs_A,2022,Signed_Delta_Share_AtEntry,FLOW_BURST_QUALITY,10,19,-0.425,-0.24,-1.0,-0.26842105263157895
