comparison,feature,physical_family,years_with_nonzero_effect,annual_direction_stable_min_3_years,valid_walk_forward_folds,median_walk_forward_balanced_accuracy,walk_forward_direction_stable,latest_year_oos_balanced_accuracy,passes_confirmation_gate
D_vs_REST,Delta10s,FLOW_BURST_QUALITY,5,0,4,0.5060416666666667,0,0.5333333333333333,0
D_vs_A,Nearest_OR_Edge_Distance_Ticks_AtEntry,AUCTION_THEORY,4,0,4,0.5052980788274906,0,0.5428571428571429,0
D_vs_A,distance_nearest_or_edge_ticks,AUCTION_THEORY,4,0,4,0.5052980788274906,0,0.5428571428571429,0
D_vs_REST,Profile_Normalized_Entropy,AUCTION_THEORY,5,0,4,0.5051610575804124,0,0.5666666666666667,0
D_vs_A,TradesPerSecond,TIME_REGIME,5,0,4,0.5051375095492743,0,0.5142857142857142,0
D_vs_A,Delta5s,FLOW_BURST_QUALITY,5,0,4,0.5021164021164021,0,0.4857142857142857,0
D_vs_REST,Velocity5s,PERSISTENCE_EXHAUSTION,5,0,4,0.5017316308243728,0,0.5333333333333333,0
D_vs_REST,Delta3s,FLOW_BURST_QUALITY,5,0,4,0.501671146953405,0,0.6444444444444444,0
D_vs_REST,DeltaChangeZScore,FLOW_BURST_QUALITY,5,0,4,0.501671146953405,0,0.5888888888888889,0
D_vs_REST,CumulativeDeltaWindow,FLOW_BURST_QUALITY,5,0,4,0.501671146953405,0,0.6444444444444444,0
D_vs_REST,directional_vwap_distance,AUCTION_THEORY,5,0,4,0.5009135130102872,1,0.4555555555555556,0
D_vs_A,delta_persistence_1_3,PERSISTENCE_EXHAUSTION,5,0,4,0.500668449197861,0,0.6142857142857143,0
D_vs_A,PreBurst_Impulse_Survival_Seconds,AUCTION_THEORY,1,0,1,0.5,0,,0
D_vs_A,Dist_POC_Ticks,AUCTION_THEORY,5,0,4,0.49975242622301447,0,0.5571428571428572,0
D_vs_A,Delta_AtEntry,FLOW_BURST_QUALITY,5,0,4,0.49958664021164023,0,0.5571428571428572,0
D_vs_A,liquidity_absorption_score,OTHER_CAUSAL_CONTEXT,5,0,4,0.49851455733808675,1,0.42857142857142855,0
D_vs_REST,Profile_Concentration,AUCTION_THEORY,5,0,4,0.4982078853046595,0,0.5,0
D_vs_A,Prior_Closed_ATR5_Ticks_AtEntry,AUCTION_THEORY,5,0,4,0.4979946524064171,0,0.5,0
D_vs_REST,vwap_poc_spread_ticks,AUCTION_THEORY,5,0,4,0.49746311036633617,0,0.5777777777777777,0
D_vs_A,Previous_Volume_AtEntry,FLOW_BURST_QUALITY,5,0,4,0.49732620320855614,0,0.7571428571428571,0
D_vs_A,Acceleration3s,PERSISTENCE_EXHAUSTION,3,0,3,0.49702380952380953,0,,0
D_vs_A,signed_delta_change_1s,FLOW_BURST_QUALITY,5,0,4,0.49650920974450385,0,0.5428571428571429,0
D_vs_REST,Previous_Volume_AtEntry,FLOW_BURST_QUALITY,5,0,4,0.4957224025974026,0,0.788888888888889,0
D_vs_A,Velocity5s,PERSISTENCE_EXHAUSTION,5,0,4,0.4943452380952381,0,0.4857142857142857,0
D_vs_A,vwap_poc_spread_ticks,AUCTION_THEORY,5,0,4,0.49374999999999997,0,0.5142857142857142,0
D_vs_REST,signed_delta_1s,FLOW_BURST_QUALITY,5,0,4,0.492331145556952,0,0.5666666666666667,0
D_vs_A,absorption_pressure_1s,EFFORT_VS_RESULT,5,0,4,0.4916501322751323,1,0.42857142857142855,0
D_vs_A,delta_share_of_volume,FLOW_BURST_QUALITY,5,0,4,0.49135967518320456,1,0.44285714285714284,0
D_vs_A,Profile_Concentration,AUCTION_THEORY,5,0,4,0.49074074074074076,0,0.5,0
D_vs_REST,delta_persistence_3_5,PERSISTENCE_EXHAUSTION,5,0,4,0.4905797607410511,0,0.7333333333333334,0
D_vs_REST,DeltaChange1s,FLOW_BURST_QUALITY,5,0,4,0.49041666666666667,0,0.5333333333333333,0
D_vs_REST,OR_WidthTicks,AUCTION_THEORY,5,0,2,0.49,1,0.5,0
D_vs_REST,range,OTHER_CAUSAL_CONTEXT,5,0,2,0.49,1,0.5,0
D_vs_REST,Nearest_OR_Edge_Distance_Ticks_AtEntry,AUCTION_THEORY,4,0,4,0.4898745519713262,0,0.4555555555555556,0
D_vs_REST,distance_nearest_or_edge_ticks,AUCTION_THEORY,4,0,4,0.4898745519713262,0,0.4555555555555556,0
D_vs_REST,Dist_OR_Low_Ticks,AUCTION_THEORY,5,0,3,0.48888888888888893,1,0.48888888888888893,0
D_vs_REST,Delta_AtEntry,FLOW_BURST_QUALITY,5,1,4,0.48854614695340504,0,0.5888888888888889,0
D_vs_A,Body_OR_Ratio_AtEntry,AUCTION_THEORY,5,0,4,0.48834325396825395,0,0.17142857142857143,0
D_vs_A,OR_WidthTicks,AUCTION_THEORY,5,0,2,0.4880952380952381,1,0.5,0
D_vs_A,range,OTHER_CAUSAL_CONTEXT,5,0,2,0.4880952380952381,1,0.5,0
D_vs_REST,PreBurst_Price_Per_Delta_3s,EFFORT_VS_RESULT,5,0,4,0.4875492831541218,1,0.4444444444444444,0
D_vs_A,execution_cvd_alignment,OTHER_CAUSAL_CONTEXT,1,0,1,0.48660714285714285,0,,0
D_vs_REST,Prior_Closed_ATR5_Ticks_AtEntry,AUCTION_THEORY,5,0,4,0.48538961038961037,0,0.5,0
D_vs_A,Delta3s,FLOW_BURST_QUALITY,5,0,4,0.48396164021164023,0,0.6285714285714286,0
D_vs_A,BuySellRatio,OTHER_CAUSAL_CONTEXT,5,0,4,0.48396164021164023,0,0.5571428571428572,0
D_vs_A,Velocity1s,PERSISTENCE_EXHAUSTION,4,0,4,0.48396164021164023,0,0.5571428571428572,0
D_vs_A,TicksPerSecond,TIME_REGIME,4,0,4,0.48396164021164023,0,0.5571428571428572,0
D_vs_A,CumulativeDeltaWindow,FLOW_BURST_QUALITY,5,0,4,0.48396164021164023,0,0.6285714285714286,0
D_vs_REST,Signed_Previous_Delta_Share_AtEntry,FLOW_BURST_QUALITY,5,0,4,0.48388260485034673,1,0.37777777777777777,0
D_vs_A,directional_vwap_distance,AUCTION_THEORY,5,0,4,0.4837089381207028,0,0.4714285714285714,0
D_vs_A,Signed_Previous_Delta_Share_AtEntry,FLOW_BURST_QUALITY,5,0,4,0.481729055258467,1,0.3857142857142857,0
D_vs_A,Prior_Closed_ATR3_Ticks_AtEntry,AUCTION_THEORY,5,0,4,0.47994652406417115,0,0.5,0
D_vs_A,Signed_Delta_Share_AtEntry,FLOW_BURST_QUALITY,5,0,4,0.47709986772486773,0,0.3142857142857143,0
D_vs_REST,Acceleration3s,PERSISTENCE_EXHAUSTION,2,0,2,0.47701836917562723,1,,0
D_vs_A,Profile_Local_Maxima_Count,AUCTION_THEORY,5,0,3,0.47619047619047616,0,,0
D_vs_A,Delta2s,FLOW_BURST_QUALITY,5,0,4,0.4757771164021164,0,0.5571428571428572,0
D_vs_A,Delta_Change_AtEntry,FLOW_BURST_QUALITY,5,0,4,0.47433862433862434,0,0.4857142857142857,0
D_vs_REST,Prior_Closed_ATR3_Ticks_AtEntry,AUCTION_THEORY,5,0,4,0.47294372294372294,0,0.5,0
D_vs_REST,PreEntry_Range_Compression3_AtEntry,OTHER_CAUSAL_CONTEXT,5,0,4,0.4727517106549365,0,0.4111111111111111,0
D_vs_A,Dist_OR_High_Ticks,AUCTION_THEORY,5,0,3,0.4722222222222222,1,0.4571428571428572,0
D_vs_A,weekday_index,TIME_REGIME,2,0,1,0.47172619047619047,0,,0
D_vs_REST,Dist_OR_High_Ticks,AUCTION_THEORY,5,0,4,0.4706989247311828,0,0.48888888888888893,0
D_vs_REST,Dist_VWAP_Ticks,AUCTION_THEORY,5,0,4,0.4706989247311828,0,0.48888888888888893,0
D_vs_REST,Profile_Position_Percentile,AUCTION_THEORY,5,0,4,0.4706989247311828,0,0.48888888888888893,0
D_vs_REST,or_position_fraction,AUCTION_THEORY,5,0,4,0.4706989247311828,0,0.48888888888888893,0
D_vs_REST,Dist_POC_Ticks,AUCTION_THEORY,5,0,4,0.4705275974025974,0,0.5888888888888889,0
D_vs_REST,Body_OR_Ratio_AtEntry,AUCTION_THEORY,5,0,4,0.4700162337662338,0,0.2111111111111111,0
D_vs_REST,Dist_VAL_Ticks,AUCTION_THEORY,5,0,4,0.47000448028673836,0,0.48888888888888893,0
D_vs_A,burst_efficiency_score,EFFORT_VS_RESULT,5,0,4,0.46900066844919786,1,0.42857142857142855,0
D_vs_A,PreBurst_Path_Efficiency_10s,TEMPORAL_SEQUENCE,5,0,4,0.468308346065699,1,0.17142857142857143,0
D_vs_REST,execution_side_sign,OTHER_CAUSAL_CONTEXT,1,0,2,0.46705534608760413,1,,0
D_vs_A,Dist_OR_Low_Ticks,AUCTION_THEORY,5,0,4,0.4646825396825397,1,0.4571428571428572,0
D_vs_A,or_position_fraction,AUCTION_THEORY,5,0,4,0.4646825396825397,1,0.4571428571428572,0
D_vs_REST,month_index,TIME_REGIME,4,0,2,0.46375,1,0.5,0
D_vs_REST,signed_delta_decay_1_5,PERSISTENCE_EXHAUSTION,5,0,4,0.46370400432900427,0,0.5666666666666667,0
D_vs_REST,PreBurst_Path_Efficiency_10s,TEMPORAL_SEQUENCE,5,0,4,0.4624540043290043,1,0.2222222222222222,0
D_vs_REST,weekday_index,TIME_REGIME,2,0,1,0.46125,0,,0
D_vs_A,DeltaChangeZScore,FLOW_BURST_QUALITY,5,0,4,0.4601521164021164,0,0.5571428571428572,0
D_vs_A,execution_side_sign,OTHER_CAUSAL_CONTEXT,1,0,2,0.459794018617548,1,,0
D_vs_A,PreBurst_Impulse_Decay_Slope_5s,PERSISTENCE_EXHAUSTION,5,0,2,0.45874669312169314,1,,0
D_vs_A,Dist_VAL_Ticks,AUCTION_THEORY,5,0,3,0.4571428571428572,1,0.4571428571428572,0
D_vs_A,Dist_VWAP_Ticks,AUCTION_THEORY,5,0,4,0.4569940476190476,0,0.4571428571428572,0
D_vs_A,Profile_Position_Percentile,AUCTION_THEORY,5,0,4,0.4569940476190476,0,0.4571428571428572,0
D_vs_A,Delta10s,FLOW_BURST_QUALITY,5,0,4,0.4556547619047619,0,0.4857142857142857,0
D_vs_A,PreEntry_Range_Compression3_AtEntry,OTHER_CAUSAL_CONTEXT,5,0,4,0.4543154761904762,0,0.44285714285714284,0
D_vs_A,signed_delta_decay_1_5,PERSISTENCE_EXHAUSTION,5,0,4,0.45273816597346006,0,0.5428571428571429,0
D_vs_A,PreEntry_Volume_Climax_Ratio_AtEntry,FLOW_BURST_QUALITY,3,0,4,0.45271199388846445,0,0.44285714285714284,0
D_vs_REST,Profile_Local_Maxima_Count,AUCTION_THEORY,3,1,2,0.45236559139784943,1,,0
D_vs_A,Volume_AtEntry,FLOW_BURST_QUALITY,5,0,4,0.44892552980788275,0,0.41428571428571426,0
D_vs_A,Nearest_OR_Edge_Retest_Count_AtEntry,ACCEPTANCE_RECLAIM,3,0,1,0.44791666666666663,0,,0
D_vs_REST,Delta1s,FLOW_BURST_QUALITY,5,0,4,0.44493055555555555,0,0.4111111111111111,0
D_vs_REST,PeakNegativeDelta,FLOW_BURST_QUALITY,5,0,4,0.44493055555555555,0,0.4111111111111111,0
D_vs_A,month_index,TIME_REGIME,4,0,3,0.4444444444444444,0,0.5,0
D_vs_A,DeltaChange1s,FLOW_BURST_QUALITY,5,0,4,0.44375,0,0.4857142857142857,0
D_vs_REST,Dist_LVN_Ticks,AUCTION_THEORY,3,0,1,0.44047619047619047,0,,0
D_vs_A,Delta1s,FLOW_BURST_QUALITY,5,0,4,0.43794642857142857,0,0.44285714285714284,0
D_vs_A,PeakNegativeDelta,FLOW_BURST_QUALITY,5,0,4,0.43794642857142857,0,0.44285714285714284,0
D_vs_REST,Acceleration1s,PERSISTENCE_EXHAUSTION,4,0,1,0.43625,0,,0
D_vs_REST,PreBurst_Impulse_Decay_Slope_5s,PERSISTENCE_EXHAUSTION,5,0,3,0.43125,1,,0
D_vs_A,Seconds_From_Open_AtEntry,TIME_REGIME,5,0,4,0.42998472116119174,0,0.44285714285714284,0
D_vs_A,seconds_from_open,TIME_REGIME,5,0,4,0.42998472116119174,0,0.44285714285714284,0
D_vs_A,minute_from_open,TIME_REGIME,5,0,4,0.42998472116119174,0,0.44285714285714284,0
D_vs_REST,mean_trade_size,FLOW_BURST_QUALITY,5,0,4,0.4217361111111111,1,0.4222222222222222,0
D_vs_A,Acceleration1s,PERSISTENCE_EXHAUSTION,4,0,1,0.4181547619047619,0,,0
D_vs_A,mean_trade_size,FLOW_BURST_QUALITY,5,0,4,0.40778186274509803,1,0.34285714285714286,0
D_vs_REST,PreEntry_Volume_Climax_Ratio_AtEntry,FLOW_BURST_QUALITY,3,0,1,0.39625,0,,0
D_vs_A,DeltaPercentile,FLOW_BURST_QUALITY,1,0,0,,0,,0
D_vs_A,Dist_HVN_Ticks,AUCTION_THEORY,0,0,0,,0,,0
D_vs_A,PreBurst_Reclaim_Count_10s,ACCEPTANCE_RECLAIM,0,0,0,,0,,0
D_vs_A,POC_Migration_Ticks,AUCTION_THEORY,1,0,0,,0,,0
D_vs_A,Buy_Imbalance_Count_AtEntry,FLOW_BURST_QUALITY,2,0,0,,0,,0
D_vs_A,Sell_Imbalance_Count_AtEntry,FLOW_BURST_QUALITY,1,0,0,,0,,0
D_vs_A,PreEntry_Directional_Delta_Share3_AtEntry,FLOW_BURST_QUALITY,3,0,0,,0,,0
D_vs_A,Nearest_OR_Edge_Acceptance_Ratio3_AtEntry,ACCEPTANCE_RECLAIM,2,0,0,,0,,0
D_vs_A,velocity_consistency,PERSISTENCE_EXHAUSTION,0,0,0,,0,,0
D_vs_A,flow_price_alignment,OTHER_CAUSAL_CONTEXT,0,0,0,,0,,0
D_vs_A,profile_confluence_4t,AUCTION_THEORY,0,0,0,,0,,0
D_vs_A,distance_nearest_profile_reference_ticks,AUCTION_THEORY,1,0,0,,0,,0
D_vs_REST,Dist_HVN_Ticks,AUCTION_THEORY,0,0,0,,0,,0
