feature_a,family_a,feature_b,family_b,spearman,pearson,abs_spearman,redundant_ge_0_90
signed_velocity_1s,PERSISTENCE_EXHAUSTION,burst_efficiency_score,EFFORT_VS_RESULT,0.9169700783010757,0.8589450533595543,0.9169700783010757,1
signed_velocity_1s,PERSISTENCE_EXHAUSTION,absorption_pressure_1s,EFFORT_VS_RESULT,-0.9166697855085065,-0.4622651025186548,0.9166697855085065,1
Dist_OR_High_Ticks,AUCTION_THEORY,Dist_VWAP_Ticks,AUCTION_THEORY,0.9165718533235303,0.9434292929329808,0.9165718533235303,1
liquidity_absorption_score,OTHER_CAUSAL_CONTEXT,signed_velocity_decay_1_5,PERSISTENCE_EXHAUSTION,0.9158400611745526,0.43983516108315646,0.9158400611745526,1
Delta1s,FLOW_BURST_QUALITY,Delta5s,FLOW_BURST_QUALITY,0.912175866654616,0.9772192755854443,0.912175866654616,1
Delta2s,FLOW_BURST_QUALITY,DeltaChange1s,FLOW_BURST_QUALITY,0.9105731955138859,0.9767348338765092,0.9105731955138859,1
Prior_Closed_ATR3_Ticks_AtEntry,AUCTION_THEORY,Prior_Closed_ATR5_Ticks_AtEntry,AUCTION_THEORY,0.9084947345510309,0.9129251609485945,0.9084947345510309,1
Profile_Effective_Nodes,AUCTION_THEORY,Profile_Local_Maxima_Count,AUCTION_THEORY,0.907994758444268,0.9091180157237074,0.907994758444268,1
Profile_Std_Ticks,AUCTION_THEORY,Profile_Local_Maxima_Count,AUCTION_THEORY,0.9010477984165907,0.8932858182621038,0.9010477984165907,1
Delta10s,FLOW_BURST_QUALITY,CumulativeDeltaWindow,FLOW_BURST_QUALITY,0.8989836394650619,0.9669776578499664,0.8989836394650619,1
Delta3s,FLOW_BURST_QUALITY,Delta10s,FLOW_BURST_QUALITY,0.8989836394650619,0.9669776578499664,0.8989836394650619,1
velocity_consistency,PERSISTENCE_EXHAUSTION,flow_price_alignment,OTHER_CAUSAL_CONTEXT,0.8939456334991192,0.8941193516547107,0.8939456334991192,0
Delta2s,FLOW_BURST_QUALITY,DeltaChangeZScore,FLOW_BURST_QUALITY,0.8937158517008508,0.961110311585416,0.8937158517008508,1
signed_delta_1s,FLOW_BURST_QUALITY,signed_delta_change_1s,FLOW_BURST_QUALITY,0.892940828066199,0.9532555876377098,0.892940828066199,1
Dist_OR_High_Ticks,AUCTION_THEORY,or_position_fraction,AUCTION_THEORY,0.8927859392596722,0.8814727034112677,0.8927859392596722,0
signed_acceleration_1s,PERSISTENCE_EXHAUSTION,signed_velocity_decay_1_5,PERSISTENCE_EXHAUSTION,-0.8889653651183729,-0.929265943176134,0.8889653651183729,1
DeltaChange1s,FLOW_BURST_QUALITY,CumulativeDeltaWindow,FLOW_BURST_QUALITY,0.8879171572320461,0.9710431541331191,0.8879171572320461,1
Delta3s,FLOW_BURST_QUALITY,DeltaChange1s,FLOW_BURST_QUALITY,0.8879171572320461,0.9710431541331191,0.8879171572320461,1
Profile_Std_Ticks,AUCTION_THEORY,Profile_Concentration,AUCTION_THEORY,-0.8875593989468727,-0.7845022918071771,0.8875593989468727,0
Dist_OR_High_Ticks,AUCTION_THEORY,Dist_OR_Low_Ticks,AUCTION_THEORY,0.8872601178705476,0.8773272349764997,0.8872601178705476,0
signed_delta_change_1s,FLOW_BURST_QUALITY,signed_delta_decay_1_5,PERSISTENCE_EXHAUSTION,-0.8865556664755884,-0.9532918743352642,0.8865556664755884,1
Velocity3s,PERSISTENCE_EXHAUSTION,Acceleration3s,PERSISTENCE_EXHAUSTION,0.8855640108871826,0.8877669987977908,0.8855640108871826,0
signed_velocity_1s,PERSISTENCE_EXHAUSTION,signed_acceleration_1s,PERSISTENCE_EXHAUSTION,0.8801233459007961,0.915331561843452,0.8801233459007961,1
Delta5s,FLOW_BURST_QUALITY,DeltaChange1s,FLOW_BURST_QUALITY,0.8795040163589364,0.9619988327782374,0.8795040163589364,1
Dist_OR_Low_Ticks,AUCTION_THEORY,Dist_POC_Ticks,AUCTION_THEORY,0.8784687160626528,0.8680932124654412,0.8784687160626528,0
Dist_VAH_Ticks,AUCTION_THEORY,Dist_VAL_Ticks,AUCTION_THEORY,0.8777967459270014,0.8851888882298953,0.8777967459270014,0
Delta2s,FLOW_BURST_QUALITY,Delta10s,FLOW_BURST_QUALITY,0.8765380170037116,0.9571908656907842,0.8765380170037116,1
Acceleration1s,PERSISTENCE_EXHAUSTION,Acceleration3s,PERSISTENCE_EXHAUSTION,0.8757597999941013,0.9028092979993958,0.8757597999941013,1
signed_velocity_1s,PERSISTENCE_EXHAUSTION,price_impact_per_100_contracts,EFFORT_VS_RESULT,0.8737955976657817,0.8077683830202005,0.8737955976657817,0
DeltaChangeZScore,FLOW_BURST_QUALITY,CumulativeDeltaWindow,FLOW_BURST_QUALITY,0.8693682850977467,0.9541581752263187,0.8693682850977467,1
Delta3s,FLOW_BURST_QUALITY,DeltaChangeZScore,FLOW_BURST_QUALITY,0.8693682850977467,0.9541581752263186,0.8693682850977467,1
Delta1s,FLOW_BURST_QUALITY,Delta10s,FLOW_BURST_QUALITY,0.8685661078078226,0.9546303830048704,0.8685661078078226,1
Dist_OR_High_Ticks,AUCTION_THEORY,Dist_VAL_Ticks,AUCTION_THEORY,0.8685007587057982,0.8699444932624266,0.8685007587057982,0
TradesPerSecond,TIME_REGIME,ContractsPerSecond,FLOW_BURST_QUALITY,0.8667201850565318,0.9265776851067908,0.8667201850565318,1
PeakPositiveDelta,FLOW_BURST_QUALITY,execution_side_sign,OTHER_CAUSAL_CONTEXT,-0.8659799727003623,-0.8685350815724708,0.8659799727003623,0
Delta1s,FLOW_BURST_QUALITY,execution_side_sign,OTHER_CAUSAL_CONTEXT,-0.8658835712293882,-0.9432052149480363,0.8658835712293882,1
Delta3s,FLOW_BURST_QUALITY,execution_side_sign,OTHER_CAUSAL_CONTEXT,-0.8658798641234122,-0.9581295229963195,0.8658798641234122,1
CumulativeDeltaWindow,FLOW_BURST_QUALITY,execution_side_sign,OTHER_CAUSAL_CONTEXT,-0.8658798641234122,-0.9581295229963195,0.8658798641234122,1
DeltaChange1s,FLOW_BURST_QUALITY,execution_side_sign,OTHER_CAUSAL_CONTEXT,-0.8658780105882793,-0.9273629841083139,0.8658780105882793,1
Delta5s,FLOW_BURST_QUALITY,execution_side_sign,OTHER_CAUSAL_CONTEXT,-0.8658752303078983,-0.9537758884949746,0.8658752303078983,1
Delta2s,FLOW_BURST_QUALITY,execution_side_sign,OTHER_CAUSAL_CONTEXT,-0.8658743035537229,-0.9465183119647439,0.8658743035537229,1
Delta10s,FLOW_BURST_QUALITY,execution_side_sign,OTHER_CAUSAL_CONTEXT,-0.8658650361756308,-0.9515639688637442,0.8658650361756308,1
BuySellRatio,OTHER_CAUSAL_CONTEXT,execution_side_sign,OTHER_CAUSAL_CONTEXT,-0.8658557690950964,-0.8615004294833848,0.8658557690950964,0
DeltaChangeZScore,FLOW_BURST_QUALITY,execution_side_sign,OTHER_CAUSAL_CONTEXT,-0.8658511356664083,-0.9172287549766176,0.8658511356664083,1
Velocity5s,PERSISTENCE_EXHAUSTION,execution_side_sign,OTHER_CAUSAL_CONTEXT,-0.8653251241287795,-0.849218698490691,0.8653251241287795,0
PreBurst_Price_Per_Delta_3s,EFFORT_VS_RESULT,signed_velocity_3s,PERSISTENCE_EXHAUSTION,0.8647599955597437,0.8762001664977852,0.8647599955597437,0
Velocity1s,PERSISTENCE_EXHAUSTION,execution_side_sign,OTHER_CAUSAL_CONTEXT,-0.8643049183494744,-0.793299783666035,0.8643049183494744,0
TicksPerSecond,TIME_REGIME,execution_side_sign,OTHER_CAUSAL_CONTEXT,-0.8643049183494744,-0.793299783666035,0.8643049183494744,0
Delta_AtEntry,FLOW_BURST_QUALITY,execution_side_sign,OTHER_CAUSAL_CONTEXT,-0.8639450891892652,-0.8884088571292789,0.8639450891892652,0
burst_efficiency_score,EFFORT_VS_RESULT,signed_velocity_decay_1_5,PERSISTENCE_EXHAUSTION,-0.8631808369186682,-0.8012322378024038,0.8631808369186682,0
PeakNegativeDelta,FLOW_BURST_QUALITY,execution_side_sign,OTHER_CAUSAL_CONTEXT,-0.8631678855529547,-0.8653252180822009,0.8631678855529547,0
absorption_pressure_1s,EFFORT_VS_RESULT,signed_velocity_decay_1_5,PERSISTENCE_EXHAUSTION,0.8626544936494086,0.438764277134614,0.8626544936494086,0
Velocity3s,PERSISTENCE_EXHAUSTION,execution_side_sign,OTHER_CAUSAL_CONTEXT,-0.862591008876794,-0.8449481729882647,0.862591008876794,0
Dist_OR_High_Ticks,AUCTION_THEORY,Dist_VAH_Ticks,AUCTION_THEORY,0.8611600375326577,0.9150693366922366,0.8611600375326577,1
Delta5s,FLOW_BURST_QUALITY,DeltaChangeZScore,FLOW_BURST_QUALITY,0.8593286772298412,0.9426621812970088,0.8593286772298412,1
Dist_OR_High_Ticks,AUCTION_THEORY,Dist_POC_Ticks,AUCTION_THEORY,0.8583553337658238,0.8689802307276633,0.8583553337658238,0
Delta10s,FLOW_BURST_QUALITY,DeltaChange1s,FLOW_BURST_QUALITY,0.8531449746011907,0.9395337334855689,0.8531449746011907,1
Profile_Position_Percentile,AUCTION_THEORY,execution_side_sign,OTHER_CAUSAL_CONTEXT,-0.8512046042435972,-0.8755411791945232,0.8512046042435972,0
signed_acceleration_1s,PERSISTENCE_EXHAUSTION,liquidity_absorption_score,OTHER_CAUSAL_CONTEXT,-0.8506290658458598,-0.40839313579767544,0.8506290658458598,0
