Detector_VERSION,BurstId,Burst_Timestamp_UTC,Burst_Feature_Available_Timestamp_UTC,Burst_Timestamp_NY,Response_Available_Timestamp_UTC,Response_Horizon_Seconds,Side,Burst_Price,Response_Price,Broken_Level,Directional_Displacement_Ticks,Response_MFE_Ticks,Response_MAE_Ticks,Acceptance_Dwell_Ratio,Reclaim_Count,Rejection_Speed_TPS,Directional_Delta,Response_Volume,Effort_Result_Delta,Effort_Result_Volume,Momentum_Survival_Ratio,Rotation_Index,Local_Entropy,Path_Efficiency,Response_POC_Migration_Ticks,AvailableBeforeEntry,Model_Eligibility,born_bad_group,fecha
liquidity-burst-detector-2026-07-18-v2-response-families,LB_20220520_093501_SELL_0001,2022-05-20 13:35:01+00:00,2022-05-20 13:35:02+00:00,2022-05-20 09:35:01,2022-05-20 13:35:03+00:00,1,SELL,11990.0,11987.5,12011.25,2,2,1,1.0,0,1.0,-15,99,0.133333333333333,0.02020202020202,1.0,0.0,0.0,1.0,0,0,POST_BURST_ONLY,D_BORN_BAD_MFE_LE_2,2022-05-20
liquidity-burst-detector-2026-07-18-v2-response-families,LB_20220520_093501_SELL_0001,2022-05-20 13:35:01+00:00,2022-05-20 13:35:02+00:00,2022-05-20 09:35:01,2022-05-20 13:35:05+00:00,3,SELL,11990.0,11986.25,12011.25,3,7,1,1.0,0,0.333333333333333,125,493,0.024,0.006085192697769,0.666666666666667,0.5,0.91829583405449,0.6,0,0,POST_BURST_ONLY,D_BORN_BAD_MFE_LE_2,2022-05-20
liquidity-burst-detector-2026-07-18-v2-response-families,LB_20220520_093501_SELL_0001,2022-05-20 13:35:01+00:00,2022-05-20 13:35:02+00:00,2022-05-20 09:35:01,2022-05-20 13:35:07+00:00,5,SELL,11990.0,11982.5,12011.25,6,8,1,1.0,0,0.2,207,729,0.028985507246377,0.008230452674897,0.6,0.666666666666667,0.811278124459133,0.75,0,0,POST_BURST_ONLY,D_BORN_BAD_MFE_LE_2,2022-05-20
liquidity-burst-detector-2026-07-18-v2-response-families,LB_20220523_093420_SELL_0001,2022-05-23 13:34:20+00:00,2022-05-23 13:34:21+00:00,2022-05-23 09:34:20,2022-05-23 13:34:22+00:00,1,SELL,11850.0,11850.0,11855.0,0,3,1,1.0,0,1.0,-41,131,0.0,0.0,0.0,0.0,0.0,0.0,0,0,POST_BURST_ONLY,A_WINNER,2022-05-23
liquidity-burst-detector-2026-07-18-v2-response-families,LB_20220523_093420_SELL_0001,2022-05-23 13:34:20+00:00,2022-05-23 13:34:21+00:00,2022-05-23 09:34:20,2022-05-23 13:34:24+00:00,3,SELL,11850.0,11850.0,11855.0,0,3,3,1.0,0,1.0,-63,259,0.0,0.0,0.0,0.0,0.0,0.0,0,0,POST_BURST_ONLY,A_WINNER,2022-05-23
liquidity-burst-detector-2026-07-18-v2-response-families,LB_20220523_093420_SELL_0001,2022-05-23 13:34:20+00:00,2022-05-23 13:34:21+00:00,2022-05-23 09:34:20,2022-05-23 13:34:26+00:00,5,SELL,11850.0,11853.75,11855.0,-3,3,6,1.0,0,1.2,-60,398,-0.05,-0.007537688442211,0.2,1.0,1.0,-0.6,0,0,POST_BURST_ONLY,A_WINNER,2022-05-23
liquidity-burst-detector-2026-07-18-v2-response-families,LB_20220527_093100_BUY_0001,2022-05-27 13:31:00+00:00,2022-05-27 13:31:01+00:00,2022-05-27 09:31:00,2022-05-27 13:31:02+00:00,1,BUY,12437.5,12438.75,12430.0,1,1,1,1.0,0,1.0,-12,122,0.083333333333333,0.008196721311475,1.0,0.0,0.0,1.0,0,0,POST_BURST_ONLY,D_BORN_BAD_MFE_LE_2,2022-05-27
liquidity-burst-detector-2026-07-18-v2-response-families,LB_20220527_093100_BUY_0001,2022-05-27 13:31:00+00:00,2022-05-27 13:31:01+00:00,2022-05-27 09:31:00,2022-05-27 13:31:04+00:00,3,BUY,12437.5,12433.75,12430.0,-3,2,3,1.0,0,1.0,-27,381,-0.111111111111111,-0.007874015748031,0.333333333333333,0.5,0.91829583405449,-0.6,0,0,POST_BURST_ONLY,D_BORN_BAD_MFE_LE_2,2022-05-27
liquidity-burst-detector-2026-07-18-v2-response-families,LB_20220527_093100_BUY_0001,2022-05-27 13:31:00+00:00,2022-05-27 13:31:01+00:00,2022-05-27 09:31:00,2022-05-27 13:31:06+00:00,5,BUY,12437.5,12432.5,12430.0,-4,2,4,1.0,0,0.8,-36,530,-0.111111111111111,-0.007547169811321,0.4,0.75,0.970950594454669,-0.5,0,0,POST_BURST_ONLY,D_BORN_BAD_MFE_LE_2,2022-05-27
liquidity-burst-detector-2026-07-18-v2-response-families,LB_20220608_093102_SELL_0001,2022-06-08 13:31:02+00:00,2022-06-08 13:31:03+00:00,2022-06-08 09:31:02,2022-06-08 13:31:04+00:00,1,SELL,12648.75,12643.75,12660.0,4,5,0,1.0,0,0.0,33,171,0.121212121212121,0.023391812865497,1.0,0.0,0.0,1.0,0,0,POST_BURST_ONLY,C_LOSER_MFE_3_TO_30,2022-06-08
