CaseID,fecha,BurstId,burst_side,decision_utc,outcome_path,state_cache_path,pre_overlap_records,overlap_prefix_exact,strict_feature_cutoff_utc_exclusive,year
HB011,2022-05-04,LB_20220504_093301_SELL_0001,SELL,2022-05-04T13:33:02.005000+00:00,C:\Users\k_99_\Desktop\codding\data_footprint_generator\databento_mbo\joint_ab_v4_outcome98_20260724\NQ_JOINT_AB_V4_MBO_2022-05-04_LB_20220504_093301_SELL_0001_PAD100MS.mbo.dbn.zst,C:\Users\k_99_\Desktop\codding\OpeningRangeSetup\EddiewareOpeningRangeSetup\EddiewareOpeningRangeSetup\contexto_codex_claude\mechanical_book_v1\state_cache\LB_20220504_093301_SELL_0001.state.parquet,510,True,,2022
HB012,2023-09-14,LB_20230914_093127_SELL_0001,SELL,2023-09-14T13:31:28.062000+00:00,C:\Users\k_99_\Desktop\codding\data_footprint_generator\databento_mbo\joint_ab_v4_outcome98_20260724\NQ_JOINT_AB_V4_MBO_2023-09-14_LB_20230914_093127_SELL_0001_PAD100MS.mbo.dbn.zst,C:\Users\k_99_\Desktop\codding\OpeningRangeSetup\EddiewareOpeningRangeSetup\EddiewareOpeningRangeSetup\contexto_codex_claude\mechanical_book_v1\state_cache\LB_20230914_093127_SELL_0001.state.parquet,174,True,2023-09-14T13:31:28.062000+00:00,2023
HB013,2024-05-10,LB_20240510_093420_BUY_0001,BUY,2024-05-10T13:34:21.121000+00:00,C:\Users\k_99_\Desktop\codding\data_footprint_generator\databento_mbo\joint_ab_v4_outcome98_20260724\NQ_JOINT_AB_V4_MBO_2024-05-10_LB_20240510_093420_BUY_0001_PAD100MS.mbo.dbn.zst,C:\Users\k_99_\Desktop\codding\OpeningRangeSetup\EddiewareOpeningRangeSetup\EddiewareOpeningRangeSetup\contexto_codex_claude\mechanical_book_v1\state_cache\LB_20240510_093420_BUY_0001.state.parquet,101,True,2024-05-10T13:34:21.121000+00:00,2024
HB014,2024-05-03,LB_20240503_093157_SELL_0001,SELL,2024-05-03T13:31:58.173000+00:00,C:\Users\k_99_\Desktop\codding\data_footprint_generator\databento_mbo\joint_ab_v4_outcome98_20260724\NQ_JOINT_AB_V4_MBO_2024-05-03_LB_20240503_093157_SELL_0001_PAD100MS.mbo.dbn.zst,C:\Users\k_99_\Desktop\codding\OpeningRangeSetup\EddiewareOpeningRangeSetup\EddiewareOpeningRangeSetup\contexto_codex_claude\mechanical_book_v1\state_cache\LB_20240503_093157_SELL_0001.state.parquet,89,True,2024-05-03T13:31:58.173000+00:00,2024
HB015,2023-07-27,LB_20230727_093300_BUY_0001,BUY,2023-07-27T13:33:01.089000+00:00,C:\Users\k_99_\Desktop\codding\data_footprint_generator\databento_mbo\joint_ab_v4_outcome98_20260724\NQ_JOINT_AB_V4_MBO_2023-07-27_LB_20230727_093300_BUY_0001_PAD100MS.mbo.dbn.zst,C:\Users\k_99_\Desktop\codding\OpeningRangeSetup\EddiewareOpeningRangeSetup\EddiewareOpeningRangeSetup\contexto_codex_claude\mechanical_book_v1\state_cache\LB_20230727_093300_BUY_0001.state.parquet,209,True,2023-07-27T13:33:01.089000+00:00,2023
HB016,2023-04-19,LB_20230419_093353_SELL_0001,SELL,2023-04-19T13:33:54.064000+00:00,C:\Users\k_99_\Desktop\codding\data_footprint_generator\databento_mbo\joint_ab_v4_outcome98_20260724\NQ_JOINT_AB_V4_MBO_2023-04-19_LB_20230419_093353_SELL_0001_PAD100MS.mbo.dbn.zst,C:\Users\k_99_\Desktop\codding\OpeningRangeSetup\EddiewareOpeningRangeSetup\EddiewareOpeningRangeSetup\contexto_codex_claude\mechanical_book_v1\state_cache\LB_20230419_093353_SELL_0001.state.parquet,118,True,2023-04-19T13:33:54.064000+00:00,2023
HB017,2022-05-09,LB_20220509_093112_BUY_0001,BUY,2022-05-09T13:31:13.010000+00:00,C:\Users\k_99_\Desktop\codding\data_footprint_generator\databento_mbo\joint_ab_v4_outcome98_20260724\NQ_JOINT_AB_V4_MBO_2022-05-09_LB_20220509_093112_BUY_0001_PAD100MS.mbo.dbn.zst,C:\Users\k_99_\Desktop\codding\OpeningRangeSetup\EddiewareOpeningRangeSetup\EddiewareOpeningRangeSetup\contexto_codex_claude\mechanical_book_v1\state_cache\LB_20220509_093112_BUY_0001.state.parquet,855,True,,2022
HB018,2022-10-28,LB_20221028_093127_BUY_0001,BUY,2022-10-28T13:31:28.046000+00:00,C:\Users\k_99_\Desktop\codding\data_footprint_generator\databento_mbo\joint_ab_v4_outcome98_20260724\NQ_JOINT_AB_V4_MBO_2022-10-28_LB_20221028_093127_BUY_0001_PAD100MS.mbo.dbn.zst,C:\Users\k_99_\Desktop\codding\OpeningRangeSetup\EddiewareOpeningRangeSetup\EddiewareOpeningRangeSetup\contexto_codex_claude\mechanical_book_v1\state_cache\LB_20221028_093127_BUY_0001.state.parquet,148,True,,2022
HB019,2022-06-08,LB_20220608_093102_SELL_0001,SELL,2022-06-08T13:31:03.007000+00:00,C:\Users\k_99_\Desktop\codding\data_footprint_generator\databento_mbo\joint_ab_v4_outcome98_20260724\NQ_JOINT_AB_V4_MBO_2022-06-08_LB_20220608_093102_SELL_0001_PAD100MS.mbo.dbn.zst,C:\Users\k_99_\Desktop\codding\OpeningRangeSetup\EddiewareOpeningRangeSetup\EddiewareOpeningRangeSetup\contexto_codex_claude\mechanical_book_v1\state_cache\LB_20220608_093102_SELL_0001.state.parquet,190,True,,2022
HB020,2023-09-19,LB_20230919_093101_SELL_0001,SELL,2023-09-19T13:31:02.011000+00:00,C:\Users\k_99_\Desktop\codding\data_footprint_generator\databento_mbo\joint_ab_v4_outcome98_20260724\NQ_JOINT_AB_V4_MBO_2023-09-19_LB_20230919_093101_SELL_0001_PAD100MS.mbo.dbn.zst,C:\Users\k_99_\Desktop\codding\OpeningRangeSetup\EddiewareOpeningRangeSetup\EddiewareOpeningRangeSetup\contexto_codex_claude\mechanical_book_v1\state_cache\LB_20230919_093101_SELL_0001.state.parquet,650,True,2023-09-19T13:31:02.011000+00:00,2023
