setup,filter,tp,sl,trades,wr,pf,expectancy,profit,dd,avg_mfe,avg_mae,avg_rr,std,test_trades,test_pf,test_exp,train_trades,train_pf,train_exp,active_months,monthly_pf_median,monthly_pf_cv,monthly_exp_cv,monthly_wr_cv,monthly_trades_cv,bad_months_pf_lt_1,robust_score
cvd=Excelente | TP=100 SL=40,cvd=Excelente,100,40,342,73.39181286549707,3.005281026027914,15.543859649122806,5316.0,120.0,27.13450292397661,15.964912280701755,1.077590806145467,30.9569203129882,105,4.245508982035928,20.64761904761905,237,2.5874936964195663,13.282700421940929,39,3.0,0.7015129816109287,0.7341439071065406,0.21851603534093086,0.4349897873283275,2,483.8549227886189
score>=7 | TP=100 SL=100,score>=7,100,100,457,54.04814004376368,1.2335181762168823,3.3172866520787747,1516.0,763.0,22.067833698030636,20.0,1.0437461491065927,35.918554111541056,141,1.764904386951631,9.645390070921986,316,1.0330929147221044,0.4936708860759494,39,1.1777777777777778,0.9275946227820564,2.5922556170392768,0.327825552758243,0.3785974031814966,14,22.138813749776943
score>=7 | TP=120 SL=100,score>=7,120,100,457,54.04814004376368,1.2335181762168823,3.3172866520787747,1516.0,763.0,22.067833698030636,20.0,1.0437461491065927,35.918554111541056,141,1.764904386951631,9.645390070921986,316,1.0330929147221044,0.4936708860759494,39,1.1777777777777778,0.9275946227820564,2.5922556170392768,0.327825552758243,0.3785974031814966,14,22.138813749776943
score>=7 | TP=150 SL=100,score>=7,150,100,457,54.04814004376368,1.2335181762168823,3.3172866520787747,1516.0,763.0,22.067833698030636,20.0,1.0437461491065927,35.918554111541056,141,1.764904386951631,9.645390070921986,316,1.0330929147221044,0.4936708860759494,39,1.1777777777777778,0.9275946227820564,2.5922556170392768,0.327825552758243,0.3785974031814966,14,22.138813749776943
score>=7 | TP=200 SL=100,score>=7,200,100,457,54.04814004376368,1.2335181762168823,3.3172866520787747,1516.0,763.0,22.067833698030636,20.0,1.0437461491065927,35.918554111541056,141,1.764904386951631,9.645390070921986,316,1.0330929147221044,0.4936708860759494,39,1.1777777777777778,0.9275946227820564,2.5922556170392768,0.327825552758243,0.3785974031814966,14,22.138813749776943
price_accepted=FALSE | TP=80 SL=70,price_accepted=FALSE,80,70,552,53.07971014492754,1.2208452908948604,3.0670289855072466,1693.0,704.0,21.467391304347824,19.456521739130434,1.0750105291838703,34.85220336970528,174,1.6595555555555555,8.528735632183908,378,1.038589364844904,0.5529100529100529,39,1.2272659669400416,0.8361740220558335,2.592053965364088,0.2647428091500407,0.35234434881981463,15,22.122213003265838
score>=5 | TP=60 SL=20,score>=5,60,20,563,46.181172291296626,1.2751655629139074,2.952042628774423,1662.0,340.0,21.58081705150977,19.733570159857905,1.481153846153846,26.69271913307149,177,1.5044444444444445,5.129943502824859,386,1.1778301886792453,1.9533678756476685,39,1.274375,0.5280268291224428,2.7312938063859975,0.32395183784251635,0.35599387103823976,12,22.114190049777147
side=SELL | TP=120 SL=50,side=SELL,120,50,284,53.16901408450704,1.2905718701700155,3.971830985915493,1128.0,363.0,22.482394366197184,19.788732394366196,1.128182032201603,34.9464898699829,84,1.8280943025540275,10.035714285714286,200,1.0995111731843576,1.425,36,1.3,0.9586255389234304,2.6300321189054436,0.3201316362846315,0.29962994718690195,10,22.105416190405325
side=SELL | TP=150 SL=50,side=SELL,150,50,284,53.16901408450704,1.2905718701700155,3.971830985915493,1128.0,363.0,22.482394366197184,19.788732394366196,1.128182032201603,34.9464898699829,84,1.8280943025540275,10.035714285714286,200,1.0995111731843576,1.425,36,1.3,0.9586255389234304,2.6300321189054436,0.3201316362846315,0.29962994718690195,10,22.105416190405325
side=SELL | TP=200 SL=50,side=SELL,200,50,284,53.16901408450704,1.2905718701700155,3.971830985915493,1128.0,363.0,22.482394366197184,19.788732394366196,1.128182032201603,34.9464898699829,84,1.8280943025540275,10.035714285714286,200,1.0995111731843576,1.425,36,1.3,0.9586255389234304,2.6300321189054436,0.3201316362846315,0.29962994718690195,10,22.105416190405325
volume_increasing=FALSE | TP=120 SL=80,volume_increasing=FALSE,120,80,547,52.6508226691042,1.2159490048133212,3.03473491773309,1660.0,648.0,21.608775137111518,19.387568555758683,1.089287650145267,35.24483543691743,169,1.6345291479820627,8.372781065088757,378,1.0448964632582005,0.6481481481481481,39,1.2272659669400416,0.8200194978097557,2.5458103426223175,0.263929345827789,0.36372905837943204,14,22.102056936347914
volume_increasing=FALSE | TP=150 SL=80,volume_increasing=FALSE,150,80,547,52.6508226691042,1.2159490048133212,3.03473491773309,1660.0,648.0,21.608775137111518,19.387568555758683,1.089287650145267,35.24483543691743,169,1.6345291479820627,8.372781065088757,378,1.0448964632582005,0.6481481481481481,39,1.2272659669400416,0.8200194978097557,2.5458103426223175,0.263929345827789,0.36372905837943204,14,22.102056936347914
volume_increasing=FALSE | TP=200 SL=80,volume_increasing=FALSE,200,80,547,52.6508226691042,1.2159490048133212,3.03473491773309,1660.0,648.0,21.608775137111518,19.387568555758683,1.089287650145267,35.24483543691743,169,1.6345291479820627,8.372781065088757,378,1.0448964632582005,0.6481481481481481,39,1.2272659669400416,0.8200194978097557,2.5458103426223175,0.263929345827789,0.36372905837943204,14,22.102056936347914
range_ok=TRUE | TP=120 SL=50,range_ok=TRUE,120,50,560,51.78571428571429,1.2157887857796366,2.9482142857142857,1651.0,482.0,21.5,19.642857142857142,1.1277489081886976,33.746648895163844,173,1.5404699738903394,7.179190751445087,387,1.0764057537829255,1.0568475452196382,39,1.2699683460828277,0.8120410497235213,2.4793153802082313,0.2570559824662564,0.3549259200175753,14,22.099041524268557
range_ok=TRUE | TP=150 SL=50,range_ok=TRUE,150,50,560,51.78571428571429,1.2157887857796366,2.9482142857142857,1651.0,482.0,21.5,19.642857142857142,1.1277489081886976,33.746648895163844,173,1.5404699738903394,7.179190751445087,387,1.0764057537829255,1.0568475452196382,39,1.2699683460828277,0.8120410497235213,2.4793153802082313,0.2570559824662564,0.3549259200175753,14,22.099041524268557
range_ok=TRUE | TP=200 SL=50,range_ok=TRUE,200,50,560,51.78571428571429,1.2157887857796366,2.9482142857142857,1651.0,482.0,21.5,19.642857142857142,1.1277489081886976,33.746648895163844,173,1.5404699738903394,7.179190751445087,387,1.0764057537829255,1.0568475452196382,39,1.2699683460828277,0.8120410497235213,2.4793153802082313,0.2570559824662564,0.3549259200175753,14,22.099041524268557
or_regime=OR_large | TP=30 SL=100,or_regime=OR_large,30,100,193,62.69430051813472,1.4072743601257296,4.699481865284974,907.0,220.0,24.507772020725387,19.818652849740932,0.8257560294952628,30.003521490209636,109,1.472741433021807,5.568807339449541,84,1.3181336161187698,3.5714285714285716,34,1.2439024390243902,0.9341297407402726,2.8347734098450985,0.47835545929487844,0.8133519858038197,11,22.0948620676351
or_regime=OR_large | TP=40 SL=50,or_regime=OR_large,40,50,193,59.58549222797927,1.3962585034013606,4.829015544041451,932.0,193.0,24.507772020725387,19.818652849740932,0.9348861283643892,30.975238557810965,109,1.3374570446735394,4.504587155963303,84,1.491638795986622,5.25,34,1.0392857142857141,1.0449492040158914,2.8881298359223657,0.49416803349995514,0.8133519858038197,12,22.086532799217423
score>=6 | TP=120 SL=20,score>=6,120,20,555,45.94594594594595,1.2754180602006688,2.9675675675675675,1647.0,386.0,21.603603603603602,19.783783783783782,1.4954901960784315,27.01414979596704,174,1.5573863636363636,5.637931034482759,381,1.15781990521327,1.7480314960629921,39,1.2966666666666666,0.5356991700282082,2.7048900227507766,0.32319580556340993,0.3555650599543869,13,22.080521871643935
