Variable,Nacimiento,Actualizaciones,Congelada,Usable,Clasificacion,Motivo
Ticks_Saved_Breakeven_Vs_Baseline,Legacy monolithic CSV,Revisar en codigo,NO verificado,NO,DYNAMIC,contains forbidden future/outcome token `(^|_)breakeven($|_)`
Ticks_Saved_Trail_10_Vs_Baseline,Legacy monolithic CSV,Revisar en codigo,NO verificado,NO,DYNAMIC,contains forbidden future/outcome token `(^|_)trail($|_)`
Ticks_Saved_Trail_15_Vs_Baseline,Legacy monolithic CSV,Revisar en codigo,NO verificado,NO,DYNAMIC,contains forbidden future/outcome token `(^|_)trail($|_)`
Ticks_Saved_Trail_20_Vs_Baseline,Legacy monolithic CSV,Revisar en codigo,NO verificado,NO,DYNAMIC,contains forbidden future/outcome token `(^|_)trail($|_)`
Ticks_Saved_Vs_Baseline,Legacy monolithic CSV,Revisar en codigo,NO verificado,NO,SUSPECT,not explicitly classified as causal
Time_OK,Legacy monolithic CSV,Revisar en codigo,NO verificado,NO,SUSPECT,not explicitly classified as causal
Time_OK_AtEntry,CreateTrade / ScoreTradeSignal snapshot,No despues de entry,SI,SI,SAFE,captured/frozen at entry
Trade_Duration,Trade lifecycle / close,"Si, durante o al cierre",NO como feature,NO,SUSPECT,not explicitly classified as causal
Trade_Duration_Milliseconds,Legacy monolithic CSV,Revisar en codigo,NO verificado,NO,SUSPECT,not explicitly classified as causal
VWAP_AtEntry,CreateTrade / ScoreTradeSignal snapshot,No despues de entry,SI,SI,SAFE,captured/frozen at entry
VWAP_OK,Legacy monolithic CSV,Revisar en codigo,NO verificado,NO,SUSPECT,not explicitly classified as causal
VWAP_OK_AtEntry,CreateTrade / ScoreTradeSignal snapshot,No despues de entry,SI,SI,SAFE,captured/frozen at entry
VWAP_entry,Legacy monolithic CSV,Revisar en codigo,NO verificado,NO,SUSPECT,not explicitly classified as causal
Volume_AtEntry,CreateTrade / ScoreTradeSignal snapshot,No despues de entry,SI,SI,SAFE,captured/frozen at entry
Volume_Increase_Samples,Trade lifecycle / close,"Si, durante o al cierre",NO como feature,NO,SUSPECT,not explicitly classified as causal
Volume_Increased_During_Trade,Trade lifecycle / close,"Si, durante o al cierre",NO como feature,NO,DYNAMIC,contains forbidden future/outcome token `(^|_)during($|_)`
Volume_Increasing,Legacy monolithic CSV,Revisar en codigo,NO verificado,NO,SUSPECT,not explicitly classified as causal
Volume_Increasing_AtEntry,CreateTrade / ScoreTradeSignal snapshot,No despues de entry,SI,SI,SAFE,captured/frozen at entry
Volume_Increasing_Pct_During_Trade,Trade lifecycle / close,"Si, durante o al cierre",NO como feature,NO,DYNAMIC,contains forbidden future/outcome token `(^|_)during($|_)`
Volume_OK,Legacy monolithic CSV,Revisar en codigo,NO verificado,NO,SUSPECT,not explicitly classified as causal
Volume_OK_AtEntry,CreateTrade / ScoreTradeSignal snapshot,No despues de entry,SI,SI,SAFE,captured/frozen at entry
Volume_Observed_Samples,Trade lifecycle / close,"Si, durante o al cierre",NO como feature,NO,SUSPECT,not explicitly classified as causal
Volume_entry,Legacy monolithic CSV,Revisar en codigo,NO verificado,NO,SUSPECT,not explicitly classified as causal
decision_timestamp,CreateTrade / ScoreTradeSignal snapshot,No despues de entry,SI,NO,SAFE_META,"identifier/timestamp, not an optimizer feature"
entry_timestamp,Trade lifecycle / close,"Si, durante o al cierre",NO como feature,NO,SAFE_META,"identifier/timestamp, not an optimizer feature"
entry_timestamp_utc,CreateTrade / ScoreTradeSignal snapshot,No despues de entry,SI,NO,SAFE_META,"identifier/timestamp, not an optimizer feature"
feature_timestamp,CreateTrade / ScoreTradeSignal snapshot,No despues de entry,SI,NO,SAFE_META,"identifier/timestamp, not an optimizer feature"
feature_timestamp_utc,CreateTrade / ScoreTradeSignal snapshot,No despues de entry,SI,NO,SAFE_META,"identifier/timestamp, not an optimizer feature"
fecha,Trade lifecycle / close,"Si, durante o al cierre",NO como feature,NO,SAFE_META,"identifier/timestamp, not an optimizer feature"
or_high,CreateTrade / ScoreTradeSignal snapshot,No despues de entry,SI,NO,SUSPECT,not explicitly classified as causal
or_low,CreateTrade / ScoreTradeSignal snapshot,No despues de entry,SI,NO,SUSPECT,not explicitly classified as causal
outcome_timestamp,Trade lifecycle / close,"Si, durante o al cierre",NO como feature,NO,DYNAMIC,contains forbidden future/outcome token `(^|_)outcome($|_)`
range,CreateTrade / ScoreTradeSignal snapshot,No despues de entry,SI,NO,SUSPECT,not explicitly classified as causal
result TP SL BE,Legacy monolithic CSV,Revisar en codigo,NO verificado,NO,LEAKED,contains forbidden future/outcome token `(^|_)result($|_)`
result_ticks,Trade lifecycle / close,"Si, durante o al cierre",NO como feature,NO,LEAKED,contains forbidden future/outcome token `(^|_)result($|_)`
score total,Legacy monolithic CSV,Revisar en codigo,NO verificado,NO,SUSPECT,not explicitly classified as causal
source_date,Legacy monolithic CSV,Revisar en codigo,NO verificado,NO,SUSPECT,not explicitly classified as causal
source_file,Legacy monolithic CSV,Revisar en codigo,NO verificado,NO,SUSPECT,not explicitly classified as causal
trade_id,Trade lifecycle / close,"Si, durante o al cierre",NO como feature,NO,SAFE_META,"identifier/timestamp, not an optimizer feature"
