fecha,BurstId,family,split,kmeans_2,gmm_2,kmeans_3,gmm_3,dbscan,hdbscan
2024-07-08,LB_20240708_093223_BUY_0001,A_TRUE_ABSORPTION,discovery,0,1,1,0,-1,UNAVAILABLE
2024-07-12,LB_20240712_093101_BUY_0001,A_TRUE_ABSORPTION,discovery,0,1,1,0,-1,UNAVAILABLE
2024-07-15,LB_20240715_093321_BUY_0001,C_MIXED_PATH,discovery,0,1,0,0,-1,UNAVAILABLE
2024-07-16,LB_20240716_093212_BUY_0001,A_TRUE_ABSORPTION,discovery,0,1,1,0,-1,UNAVAILABLE
2024-07-18,LB_20240718_093155_SELL_0001,C_MIXED_PATH,discovery,0,1,1,0,-1,UNAVAILABLE
2024-07-22,LB_20240722_093156_SELL_0001,A_TRUE_ABSORPTION,discovery,0,1,1,0,0,UNAVAILABLE
2024-07-26,LB_20240726_093346_SELL_0001,B_CLEAN_BREAKOUT,discovery,1,0,2,1,-1,UNAVAILABLE
2024-07-30,LB_20240730_093638_BUY_0001,C_MIXED_PATH,discovery,0,0,1,1,-1,UNAVAILABLE
2024-08-08,LB_20240808_093753_SELL_0001,A_TRUE_ABSORPTION,discovery,1,0,2,1,-1,UNAVAILABLE
2024-08-13,LB_20240813_093126_BUY_0001,B_CLEAN_BREAKOUT,discovery,0,1,1,0,1,UNAVAILABLE
2024-08-14,LB_20240814_093352_SELL_0001,A_TRUE_ABSORPTION,discovery,1,0,2,1,0,UNAVAILABLE
2024-08-15,LB_20240815_093200_BUY_0001,C_MIXED_PATH,validation,0,1,1,0,-1,UNAVAILABLE
2024-08-20,LB_20240820_093307_BUY_0001,B_CLEAN_BREAKOUT,validation,0,1,1,0,-1,UNAVAILABLE
2024-08-29,LB_20240829_093133_BUY_0001,B_CLEAN_BREAKOUT,validation,0,1,1,0,-1,UNAVAILABLE
2024-09-03,LB_20240903_093100_SELL_0001,C_MIXED_PATH,validation,0,1,1,0,0,UNAVAILABLE
2024-09-16,LB_20240916_093207_SELL_0001,C_MIXED_PATH,validation,0,1,1,0,0,UNAVAILABLE
2024-09-24,LB_20240924_093220_SELL_0001,C_MIXED_PATH,validation,0,1,1,0,0,UNAVAILABLE
2024-09-25,LB_20240925_093353_BUY_0001,B_CLEAN_BREAKOUT,validation,0,1,1,0,-1,UNAVAILABLE
2024-10-01,LB_20241001_093239_SELL_0001,C_MIXED_PATH,validation,0,1,1,0,-1,UNAVAILABLE
2024-10-02,LB_20241002_093232_SELL_0001,B_CLEAN_BREAKOUT,validation,0,1,1,0,0,UNAVAILABLE
2024-10-03,LB_20241003_093718_SELL_0001,A_TRUE_ABSORPTION,validation,1,0,2,1,-1,UNAVAILABLE
2024-10-09,LB_20241009_093503_SELL_0001,A_TRUE_ABSORPTION,validation,0,0,0,2,-1,UNAVAILABLE
2024-10-17,LB_20241017_093404_SELL_0001,B_CLEAN_BREAKOUT,validation,1,0,2,1,-1,UNAVAILABLE
2024-10-22,LB_20241022_093404_BUY_0001,A_TRUE_ABSORPTION,validation,0,0,1,2,-1,UNAVAILABLE
2024-10-25,LB_20241025_093239_BUY_0002,C_MIXED_PATH,validation,0,0,1,1,-1,UNAVAILABLE
2024-10-31,LB_20241031_093129_SELL_0001,B_CLEAN_BREAKOUT,validation,0,1,0,2,-1,UNAVAILABLE
2025-03-10,LB_20250310_093118_SELL_0001,A_TRUE_ABSORPTION,validation,0,1,0,2,-1,UNAVAILABLE
2025-03-13,LB_20250313_093637_SELL_0001,C_MIXED_PATH,validation,1,0,2,1,-1,UNAVAILABLE
2025-03-14,LB_20250314_093341_BUY_0001,B_CLEAN_BREAKOUT,validation,1,0,2,1,-1,UNAVAILABLE
2025-03-17,LB_20250317_093253_BUY_0001,B_CLEAN_BREAKOUT,validation,1,1,2,0,-1,UNAVAILABLE
2025-03-18,LB_20250318_093436_SELL_0001,B_CLEAN_BREAKOUT,validation,0,0,1,1,0,UNAVAILABLE
2025-03-27,LB_20250327_093139_BUY_0001,A_TRUE_ABSORPTION,validation,0,1,1,0,-1,UNAVAILABLE
2025-04-03,LB_20250403_093153_BUY_0001,C_MIXED_PATH,validation,1,0,2,1,-1,UNAVAILABLE
2025-04-21,LB_20250421_093702_SELL_0001,C_MIXED_PATH,validation,1,0,2,1,-1,UNAVAILABLE
2025-04-30,LB_20250430_093742_SELL_0001,B_CLEAN_BREAKOUT,validation,1,0,2,2,-1,UNAVAILABLE
2025-05-02,LB_20250502_093652_SELL_0001,B_CLEAN_BREAKOUT,validation,1,0,2,1,-1,UNAVAILABLE
2025-05-08,LB_20250508_093147_SELL_0001,B_CLEAN_BREAKOUT,validation,0,1,1,0,0,UNAVAILABLE
2025-06-05,LB_20250605_093207_SELL_0001,B_CLEAN_BREAKOUT,validation,1,0,2,1,0,UNAVAILABLE
2025-06-11,LB_20250611_093138_SELL_0001,B_CLEAN_BREAKOUT,validation,0,1,1,0,0,UNAVAILABLE
2025-06-20,LB_20250620_093518_BUY_0001,C_MIXED_PATH,validation,1,0,2,1,-1,UNAVAILABLE
2025-06-27,LB_20250627_093203_SELL_0001,A_TRUE_ABSORPTION,validation,0,0,1,1,0,UNAVAILABLE
2025-06-30,LB_20250630_093156_SELL_0001,B_CLEAN_BREAKOUT,validation,0,1,1,0,0,UNAVAILABLE
2025-07-02,LB_20250702_093238_BUY_0001,C_MIXED_PATH,validation,0,1,1,0,1,UNAVAILABLE
2025-07-08,LB_20250708_093634_SELL_0001,C_MIXED_PATH,validation,0,0,1,1,-1,UNAVAILABLE
2025-07-09,LB_20250709_093100_BUY_0001,B_CLEAN_BREAKOUT,validation,0,1,1,1,-1,UNAVAILABLE
2025-07-21,LB_20250721_093138_BUY_0001,B_CLEAN_BREAKOUT,validation,0,1,1,0,-1,UNAVAILABLE
2025-07-29,LB_20250729_093118_BUY_0001,A_TRUE_ABSORPTION,validation,0,1,1,0,-1,UNAVAILABLE
2025-08-14,LB_20250814_093300_BUY_0001,A_TRUE_ABSORPTION,validation,0,1,1,0,-1,UNAVAILABLE
2025-08-19,LB_20250819_093156_SELL_0001,B_CLEAN_BREAKOUT,holdout,0,1,1,0,2,UNAVAILABLE
2025-08-20,LB_20250820_093200_SELL_0001,B_CLEAN_BREAKOUT,holdout,1,0,2,1,0,UNAVAILABLE
2025-08-21,LB_20250821_093749_SELL_0001,B_CLEAN_BREAKOUT,holdout,1,0,2,2,-1,UNAVAILABLE
2025-08-29,LB_20250829_093115_SELL_0001,A_TRUE_ABSORPTION,holdout,0,1,1,0,-1,UNAVAILABLE
2025-09-04,LB_20250904_093258_BUY_0001,B_CLEAN_BREAKOUT,holdout,0,1,1,0,-1,UNAVAILABLE
2025-09-05,LB_20250905_093522_SELL_0001,C_MIXED_PATH,holdout,1,0,2,1,-1,UNAVAILABLE
2025-09-11,LB_20250911_093623_SELL_0001,B_CLEAN_BREAKOUT,holdout,0,0,0,2,-1,UNAVAILABLE
2025-09-12,LB_20250912_093556_SELL_0001,C_MIXED_PATH,holdout,0,0,1,1,0,UNAVAILABLE
2025-09-16,LB_20250916_093355_SELL_0001,C_MIXED_PATH,holdout,0,1,1,0,-1,UNAVAILABLE
2025-09-18,LB_20250918_093225_BUY_0001,A_TRUE_ABSORPTION,holdout,0,1,1,0,-1,UNAVAILABLE
2025-09-23,LB_20250923_093525_SELL_0001,B_CLEAN_BREAKOUT,holdout,0,1,1,0,-1,UNAVAILABLE
2025-09-25,LB_20250925_093609_SELL_0001,B_CLEAN_BREAKOUT,holdout,1,0,2,1,0,UNAVAILABLE
2025-09-26,LB_20250926_093218_BUY_0001,B_CLEAN_BREAKOUT,holdout,1,1,2,0,-1,UNAVAILABLE
