feature_a,feature_b,spearman,pearson,abs_spearman,abs_pearson,redundant_ge_0_90
signed_velocity_1s,burst_efficiency_score,0.887359694284929,0.8207252255210339,0.887359694284929,0.8207252255210339,0
signed_velocity_1s,absorption_pressure_1s,-0.8873396907300588,-0.4789854847580999,0.8873396907300588,0.4789854847580999,0
Delta3s,Delta10s,0.8814277632222526,0.9631073749270349,0.8814277632222526,0.9631073749270349,1
Delta10s,CumulativeDeltaWindow,0.8814277632222526,0.9631073749270349,0.8814277632222526,0.9631073749270349,1
Dist_OR_High_Ticks,Dist_OR_Low_Ticks,0.8806574931695105,0.92316994485234,0.8806574931695105,0.92316994485234,1
signed_delta_1s,signed_delta_change_1s,0.8796470198046976,0.9337971823391873,0.8796470198046976,0.9337971823391873,1
Flow_0_1_DirectionalNetDelta,signed_delta_change_1s,0.8796470198046976,0.9337971823391873,0.8796470198046976,0.9337971823391873,1
PreBurst_Acceptance_Dwell_Ratio_5s,Pre_Approach_Distance_Ticks,-0.8784228230875789,-0.7275094387280101,0.8784228230875789,0.7275094387280101,0
Profile_Effective_Nodes,Profile_Local_Maxima_Count,0.8763279220041721,0.9088417698396213,0.8763279220041721,0.9088417698396213,1
Delta2s,DeltaChangeZScore,0.8735784538514741,0.956063190792123,0.8735784538514741,0.956063190792123,1
Delta5s,DeltaChange1s,0.8719356185787028,0.956592126927567,0.8719356185787028,0.956592126927567,1
PreBurst_Price_Per_Delta_3s,signed_velocity_3s,0.871116000910699,0.8278705222797922,0.871116000910699,0.8278705222797922,0
Delta3s,DeltaChangeZScore,0.8695912885403624,0.9514383024406701,0.8695912885403624,0.9514383024406701,1
DeltaChangeZScore,CumulativeDeltaWindow,0.8695912885403624,0.9514383024406701,0.8695912885403624,0.9514383024406701,1
Volume_AtEntry,Signed_Delta_Share_AtEntry,0.8660491403957842,0.7739111164437665,0.8660491403957842,0.7739111164437665,0
Profile_Std_Ticks,Profile_Local_Maxima_Count,0.8656808072214429,0.891428292569884,0.8656808072214429,0.891428292569884,0
Realized_Volatility_10s_Ticks,Realized_Volatility_30s_Ticks,0.8655029704256175,0.8951138468061225,0.8655029704256175,0.8951138468061225,0
Flow_1_3_DirectionalVelocityTPS,Velocity_Retention_1_3,0.8580925725128064,0.690851313474856,0.8580925725128064,0.690851313474856,0
Dist_OR_High_Ticks,Dist_VAH_Ticks,0.8565077024745371,0.902220869258153,0.8565077024745371,0.902220869258153,1
Delta5s,DeltaChangeZScore,0.856359693752276,0.9381660832910595,0.856359693752276,0.9381660832910595,1
Nearest_OR_Edge_Retest_Count_AtEntry,Liquidity_Burst_Seconds_Since_Prior_Burst,0.8563488385776753,0.7104946997783743,0.8563488385776753,0.7104946997783743,0
Seconds_Since_Prior_Burst,Nearest_OR_Edge_Retest_Count_AtEntry,0.8563488385776753,0.7104946997783744,0.8563488385776753,0.7104946997783744,0
Delta10s,PeakNegativeDelta,0.8557070438425705,0.9013156072141874,0.8557070438425705,0.9013156072141874,1
Dist_OR_Low_Ticks,Dist_POC_Ticks,0.8554487194749099,0.8509439308821903,0.8554487194749099,0.8509439308821903,0
Velocity3s,Profile_Position_Percentile,0.8551837418319344,0.8388131976524718,0.8551837418319344,0.8388131976524718,0
Dist_VAL_Ticks,Seconds_Since_Prior_Burst,-0.8532469179729294,-0.9500326823064438,0.8532469179729294,0.9500326823064438,1
Dist_VAL_Ticks,Liquidity_Burst_Seconds_Since_Prior_Burst,-0.8532469179729294,-0.9500326823064438,0.8532469179729294,0.9500326823064438,1
signed_velocity_1s,signed_acceleration_1s,0.8532301795662109,0.9071493780653391,0.8532301795662109,0.9071493780653391,1
Dist_OR_High_Ticks,Dist_VAL_Ticks,0.8531273965064381,0.9078458917967126,0.8531273965064381,0.9078458917967126,1
Prior_Level_Touches_60s,Prior_Volume_At_Level_Band_60s,0.8530538661376452,0.8095179644037617,0.8530538661376452,0.8095179644037617,0
Dist_VAH_Ticks,Dist_VAL_Ticks,0.8526578344106148,0.8922619654408216,0.8526578344106148,0.8922619654408216,0
Delta1s,PeakNegativeDelta,0.8513656155715166,0.9360612957719685,0.8513656155715166,0.9360612957719685,1
Delta2s,Delta10s,0.8506094330839968,0.9492192668628282,0.8506094330839968,0.9492192668628282,1
Body_AtEntry,Body_OR_Ratio_AtEntry,0.8495475106136152,0.8158354517477927,0.8495475106136152,0.8158354517477927,0
PeakNegativeDelta,DeltaChangeZScore,0.8489287892343339,0.9281487247575197,0.8489287892343339,0.9281487247575197,1
PeakNegativeDelta,DeltaChange1s,0.8484765879873625,0.9369782405416065,0.8484765879873625,0.9369782405416065,1
PreBurst_Price_Per_Volume_3s,signed_velocity_3s,0.8484178297702615,0.7887895874862758,0.8484178297702615,0.7887895874862758,0
Velocity5s,Acceleration3s,0.8472117856751408,0.8017044011668568,0.8472117856751408,0.8017044011668568,0
Seconds_Since_Prior_Burst,Previous_Volume_AtEntry,-0.8468812149338254,-0.82251143422527,0.8468812149338254,0.82251143422527,0
Previous_Volume_AtEntry,Liquidity_Burst_Seconds_Since_Prior_Burst,-0.8468812149338254,-0.8225114342252701,0.8468812149338254,0.8225114342252701,0
Pre_Approach_Velocity_TPS,signed_velocity_3s,0.8444889876836834,0.8350467881226763,0.8444889876836834,0.8350467881226763,0
Prior_Level_Touches_60s,Prior_Full_Crosses_60s,0.8424485297554458,0.817226671430894,0.8424485297554458,0.817226671430894,0
Delta1s,Delta10s,0.8422268763339562,0.9465521963108453,0.8422268763339562,0.9465521963108453,1
Delta2s,PeakNegativeDelta,0.8408492506162177,0.9233800532709254,0.8408492506162177,0.9233800532709254,1
Velocity3s,Dist_VWAP_Ticks,0.8407156567679157,0.8683292206963471,0.8407156567679157,0.8683292206963471,0
Dist_OR_High_Ticks,Dist_POC_Ticks,0.840163752966439,0.8751434534369548,0.840163752966439,0.8751434534369548,0
PeakPositiveDelta,CumulativeDeltaWindow,0.8369213929297565,0.9277082328814231,0.8369213929297565,0.9277082328814231,1
Delta3s,PeakPositiveDelta,0.8369213929297565,0.927708232881423,0.8369213929297565,0.927708232881423,1
Delta5s,PeakNegativeDelta,0.8356468675277107,0.9139993453370433,0.8356468675277107,0.9139993453370433,1
signed_velocity_1s,price_impact_per_100_contracts,0.8353810546114868,0.7746185051479766,0.8353810546114868,0.7746185051479766,0
Flow_0_1_DirectionalVelocityTPS,absorption_pressure_1s,-0.8349758197257208,-0.4560574998370505,0.8349758197257208,0.4560574998370505,0
Flow_0_1_DirectionalVelocityTPS,burst_efficiency_score,0.8348918869021849,0.7914687598013264,0.8348918869021849,0.7914687598013264,0
PeakNegativeDelta,CumulativeDeltaWindow,0.833370915808279,0.9179721887377096,0.833370915808279,0.9179721887377096,1
Delta3s,PeakNegativeDelta,0.833370915808279,0.9179721887377096,0.833370915808279,0.9179721887377096,1
Delta1s,PeakPositiveDelta,0.8333145579021395,0.9270768803598769,0.8333145579021395,0.9270768803598769,1
Delta5s,Velocity5s,0.8317012603639256,0.8674763453023988,0.8317012603639256,0.8674763453023988,0
Profile_Std_Ticks,Profile_Concentration,-0.8316525032121362,-0.7519528342965124,0.8316525032121362,0.7519528342965124,0
Velocity3s,Dist_VAH_Ticks,0.8315208867341497,0.846551664848898,0.8315208867341497,0.846551664848898,0
Delta5s,PeakPositiveDelta,0.8307355681541528,0.906265401694814,0.8307355681541528,0.906265401694814,1
TicksPerSecond,Profile_Position_Percentile,0.8296562359310897,0.7827526222739661,0.8296562359310897,0.7827526222739661,0
Velocity1s,Profile_Position_Percentile,0.8296562359310897,0.7827526222739661,0.8296562359310897,0.7827526222739661,0
Dist_VWAP_Ticks,Profile_Position_Percentile,0.8291305680921396,0.9318643506257488,0.8291305680921396,0.9318643506257488,1
Delta10s,DeltaChange1s,0.8288965585124077,0.928849568617209,0.8288965585124077,0.928849568617209,1
DeltaChange1s,Seconds_Since_Prior_Burst,-0.8288624656799143,-0.8210904136328391,0.8288624656799143,0.8210904136328391,0
DeltaChange1s,Liquidity_Burst_Seconds_Since_Prior_Burst,-0.8288624656799143,-0.8210904136328391,0.8288624656799143,0.8210904136328391,0
Seconds_Since_Prior_Burst,signed_delta_change_1s,0.8288624656799143,0.8210904136328391,0.8288624656799143,0.8210904136328391,0
Liquidity_Burst_Seconds_Since_Prior_Burst,signed_delta_change_1s,0.8288624656799143,0.8210904136328391,0.8288624656799143,0.8210904136328391,0
Velocity5s,Profile_Position_Percentile,0.8283324838025758,0.8193255875655561,0.8283324838025758,0.8193255875655561,0
