BurstId,fecha,burst_side,hard_fail,S,Q,evaluable,Q_K,Q_B,Q_F,S_K,S_B,S_F,r_K1,u_K1,q_K1,r_K2,u_K2,q_K2,r_K3,u_K3,q_K3,r_K4,u_K4,q_K4,r_K5,u_K5,q_K5,r_K6,u_K6,q_K6,r_B1,u_B1,q_B1,r_B2,u_B2,q_B2,r_B3,u_B3,q_B3,r_B4,u_B4,q_B4,r_B5,u_B5,q_B5,r_F1,u_F1,q_F1,r_F2,u_F2,q_F2
LB_20220815_093300_BUY_0001,2022-08-15,BUY,,0.2038788947737973,0.9612666666666666,True,1.0,0.8837999999999999,1.0,0.27198276850929454,-0.04010245534882156,0.379756371160919,0.10599999999999987,0.10599999999999987,1.0,4.0,0.23104594868641892,1.0,3.0060000000000007,0.2642892588605762,1.0,0.9778947368421053,0.9778947368421053,1.0,0.01100000000000012,0.01100000000000012,1.0,0.041666666666666664,0.041666666666666664,1.0,2.0,0.29833624997754543,1.0,-0.543416,-0.13205011063945185,1.0,-1.0789473684210527,-0.388472680216061,1.0,-0.0,-0.0,1.0,0.0032781571024322383,0.021674264133859644,0.41899999999999976,0.11847133757961784,0.11847133757961784,1.0,18.944200000000002,0.6410414047422202,1.0
LB_20220817_093558_BUY_0001,2022-08-17,BUY,,-0.014323741104714294,0.9778666666666668,True,1.0,0.9336,1.0,-0.0954828437344482,-0.3125163896565407,0.36502801007684604,-0.3520000000000001,-0.3520000000000001,1.0,-7.0,-0.3899700444704462,1.0,-0.4670000000000014,-0.04203228109413754,1.0,0.9421052631578948,0.9421052631578948,1.0,-0.531,-0.531,1.0,-0.2,-0.2,1.0,7.0,0.79205527771202,1.0,-4.725389999999999,-0.8194086040278037,1.0,-3.1578947368421053,-0.8336546070121552,1.0,-0.0,-0.0,1.0,-0.13162337774012164,-0.7015740149547649,0.668,-0.019305019305019305,-0.019305019305019305,1.0,24.217999999999993,0.7493610394587114,1.0
LB_20220831_093400_SELL_0001,2022-08-31,SELL,,-0.00267267293567811,0.9614666666666668,True,1.0,0.8844000000000001,1.0,0.057436510112327144,-0.11007512767395475,0.044620598754593274,-0.23199999999999998,-0.23199999999999998,1.0,-3.0,-0.17466124876398173,1.0,-1.1820000000000008,-0.10604823920639335,1.0,0.9126315789473685,0.9126315789473685,1.0,-0.02500000000000018,-0.02500000000000018,1.0,-0.030303030303030304,-0.030303030303030304,1.0,2.6666666666666665,0.3886903736494374,1.0,-0.7616000000000004,-0.18403496830869687,1.0,-1.3888888888888888,-0.4836805809776735,1.0,-0.0,-0.0,1.0,-0.04208849864428345,-0.27135046273284086,0.42200000000000026,-0.01090909090909091,-0.01090909090909091,1.0,2.504999999999999,0.10015028841827746,1.0
LB_20220901_093124_SELL_0002,2022-09-01,SELL,,-0.1721666240781611,0.9935999999999999,True,1.0,0.9808,1.0,-0.2880334317193084,-0.07908325206138474,-0.14938318845379026,-0.8440000000000001,-0.8440000000000001,1.0,-8.0,-0.4386744754517405,1.0,-4.433000000000001,-0.37928724846734874,1.0,0.053684210526316,0.053684210526316,1.0,-0.04300000000000015,-0.04300000000000015,1.0,-0.07692307692307693,-0.07692307692307693,1.0,7.0,0.79205527771202,1.0,-5.719564999999989,-0.8849225953091722,1.0,-2.6315789473684212,-0.7615941559557649,1.0,-0.0,-0.0,1.0,0.0750217881000817,0.45904521324599334,0.9040000000000002,-0.053475935828877004,-0.053475935828877004,1.0,-6.242,-0.24529044107870349,1.0
LB_20220906_093405_BUY_0001,2022-09-06,BUY,,0.01104484901294935,0.9584,True,1.0,0.8752000000000001,1.0,0.11305770387450857,-0.16766741464650042,0.0877442578108399,0.23999999999999969,0.23999999999999969,1.0,-8.0,-0.4386744754517405,1.0,2.6099999999999977,0.23081602033621923,1.0,0.8263157894736842,0.8263157894736842,1.0,-0.06900000000000013,-0.06900000000000013,1.0,-0.1111111111111111,-0.1111111111111111,1.0,3.6666666666666665,0.5110150195573135,1.0,-2.35669,-0.5197810164103043,1.0,-1.36,-0.47522647082237623,1.0,-0.0,-0.0,1.0,-0.05601346908511607,-0.35434460555713515,0.37600000000000006,0.03829787234042553,0.03829787234042553,1.0,3.4416666666666664,0.13719064328125427,1.0
LB_20220928_093328_SELL_0001,2022-09-28,SELL,,0.14190230592268202,0.9642,True,1.0,0.8926000000000001,1.0,0.19481112386030938,0.08537064876008552,0.1455251451476512,-0.04199999999999946,-0.04199999999999946,1.0,4.0,0.23104594868641892,1.0,0.702000000000001,0.06313658394912057,1.0,0.49368421052631595,0.49368421052631595,1.0,0.3230000000000001,0.3230000000000001,1.0,0.1,0.1,1.0,9.0,0.8819805750185247,1.0,-6.116840000000003,-0.9042631248423499,1.0,-1.5384615384615385,-0.526011891011528,1.0,-0.0,-0.0,1.0,0.3308337938136576,0.9751476846357808,0.4629999999999998,0.12340425531914893,0.12340425531914893,1.0,4.2190000000000065,0.16764603497615344,1.0
LB_20221011_093101_SELL_0001,2022-10-11,SELL,,0.5663412340414232,0.9344666666666667,True,1.0,0.8034000000000001,1.0,0.8453003799701654,0.2674115122371906,0.5863118099169136,0.9620000000000001,0.9620000000000001,1.0,31.0,0.9491891496740511,1.0,21.307000000000002,0.9578236564627297,1.0,0.9757894736842105,0.9757894736842105,1.0,0.977,0.977,1.0,0.25,0.25,1.0,0.0,0.0,1.0,-0.0,-0.0,1.0,0.9230769230769231,0.3370575611859532,1.0,-0.0,-0.0,1.0,9.875942265276887,1.0,0.016999999999999998,0.1744,0.1744,1.0,87.56700000000001,0.998223619833827,1.0
LB_20221018_093155_SELL_0001,2022-10-18,SELL,,-0.3820557157545017,1.0,True,1.0,1.0,1.0,-0.9780017240278385,-0.10980713927969299,-0.0583582839559735,-1.0,-1.0,1.0,-48.0,-0.9929690490514801,1.0,-15.037000000000006,-0.8750412951155503,1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,1.6666666666666667,0.2509348708138301,1.0,-0.910246666666667,-0.21888932815214837,1.0,-1.2058823529411764,-0.42864483650169,1.0,-0.0,-0.0,1.0,-0.023232947644401897,-0.1524364025584567,1.0,-0.06761565836298933,-0.06761565836298933,1.0,-1.2250000000000012,-0.04910090954895767,1.0
LB_20221025_093119_BUY_0001,2022-10-25,BUY,,0.2847955348078957,0.9441999999999999,True,1.0,0.8325999999999999,1.0,0.38397723433207603,-0.0655834736502708,0.5359928437418818,0.6460000000000001,0.6460000000000001,1.0,6.0,0.3389813455441767,1.0,3.778,0.32769067288847076,1.0,0.8747368421052631,0.8747368421052631,1.0,0.07100000000000009,0.07100000000000009,1.0,0.045454545454545456,0.045454545454545456,1.0,10.0,0.911861488546731,1.0,-8.900369999999999,-0.974540171730481,1.0,-3.9166666666666665,-0.9030176064226566,1.0,-0.0,-0.0,1.0,0.11408564947486127,0.6377789213550527,0.16299999999999965,0.16751269035532995,0.16751269035532995,1.0,37.300000000000004,0.9044729971284338,1.0
LB_20221026_093108_SELL_0002,2022-10-26,SELL,,-0.5323274526902151,1.0,True,1.0,1.0,1.0,-0.9958991393333548,-0.05603509021925551,-0.5450481285180347,-1.0,-1.0,1.0,-41.0,-0.9840514675269681,1.0,-30.193,-0.991343368473161,1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,1.0,0.15264375981490486,1.0,-0.87721,-0.21118771230986846,1.0,-1.4090909090909092,-0.4895395226698524,1.0,-0.09090909090909091,-0.09090909090909091,1.0,0.05678834167100977,0.3588171149776294,1.0,-0.1827956989247312,-0.1827956989247312,1.0,-37.693000000000005,-0.9073005581113384,1.0
