sample_session,BurstId,burst_timestamp_exchange,burst_price,sample_window_start,sample_window_end,timestamp_exchange,timestamp_receive,sequence,raw_ordinal,order_id,event_type,event_subtype,side,price,price_before,qty_before,qty_change,qty_after,trade_qty,event_size,queue_ahead_estimate,queue_estimate_kind,state_known_before,cycle_origin_add_observed,price_changed_inferred,size_changed_inferred,fill_cancel_pair_explicitly_reconciled,fill_cancel_relation,fill_book_effect_reconciled,fill_book_effect_event,reconciliation_status
2022-04-05,LB_20220405_093200_BUY_0001,2022-04-05 13:32:00+00:00,15135.0,2022-04-05 13:31:59.750000+00:00,2022-04-05 13:32:00.750000+00:00,2022-04-05 13:32:00.491891095+00:00,2022-04-05 13:32:00.491983643+00:00,69887255,9853,OID_b0180359b956,C,PURE_CANCEL_INFERRED,A,15134.25,15134.25,1.0,-1.0,0.0,0.0,1.0,4.0,LOWER_BOUND_OBSERVED_ORDERS_ONLY,1,1,,,0,C_WITHOUT_FILL_SAME_KEY,0,,RECONCILED
2022-04-05,LB_20220405_093200_BUY_0001,2022-04-05 13:32:00+00:00,15135.0,2022-04-05 13:31:59.750000+00:00,2022-04-05 13:32:00.750000+00:00,2022-04-05 13:32:00.494164187+00:00,2022-04-05 13:32:00.494251172+00:00,69887274,9858,OID_5b82ec1f6218,A,ADD_NEW_ORDER,A,15134.0,,0.0,1.0,1.0,0.0,1.0,2.0,LOWER_BOUND_OBSERVED_ORDERS_ONLY,1,1,,,0,NOT_APPLICABLE,0,,RECONCILED
2022-04-05,LB_20220405_093200_BUY_0001,2022-04-05 13:32:00+00:00,15135.0,2022-04-05 13:31:59.750000+00:00,2022-04-05 13:32:00.750000+00:00,2022-04-05 13:32:00.495881685+00:00,2022-04-05 13:32:00.495959614+00:00,69887300,9865,OID_5b82ec1f6218,C,PURE_CANCEL_INFERRED,A,15134.0,15134.0,1.0,-1.0,0.0,0.0,1.0,2.0,LOWER_BOUND_OBSERVED_ORDERS_ONLY,1,1,,,0,C_WITHOUT_FILL_SAME_KEY,0,,RECONCILED
2022-04-05,LB_20220405_093200_BUY_0001,2022-04-05 13:32:00+00:00,15135.0,2022-04-05 13:31:59.750000+00:00,2022-04-05 13:32:00.750000+00:00,2022-04-05 13:32:00.495905313+00:00,2022-04-05 13:32:00.495993261+00:00,69887301,9866,OID_68fea99c1da0,A,ADD_NEW_ORDER,A,15134.25,,0.0,1.0,1.0,0.0,1.0,4.0,LOWER_BOUND_OBSERVED_ORDERS_ONLY,1,1,,,0,NOT_APPLICABLE,0,,RECONCILED
2022-04-05,LB_20220405_093200_BUY_0001,2022-04-05 13:32:00+00:00,15135.0,2022-04-05 13:31:59.750000+00:00,2022-04-05 13:32:00.750000+00:00,2022-04-05 13:32:00.500150195+00:00,2022-04-05 13:32:00.500237379+00:00,69887327,9874,OID_e82258b2b036,A,ADD_NEW_ORDER,A,15134.0,,0.0,1.0,1.0,0.0,1.0,2.0,LOWER_BOUND_OBSERVED_ORDERS_ONLY,1,1,,,0,NOT_APPLICABLE,0,,RECONCILED
2022-04-05,LB_20220405_093200_BUY_0001,2022-04-05 13:32:00+00:00,15135.0,2022-04-05 13:31:59.750000+00:00,2022-04-05 13:32:00.750000+00:00,2022-04-05 13:32:00.511068193+00:00,2022-04-05 13:32:00.512424462+00:00,69887409,9895,OID_2a3b5f56233a,A,ADD_NEW_ORDER,A,15134.25,,0.0,1.0,1.0,0.0,1.0,5.0,LOWER_BOUND_OBSERVED_ORDERS_ONLY,1,1,,,0,NOT_APPLICABLE,0,,RECONCILED
2022-04-05,LB_20220405_093200_BUY_0001,2022-04-05 13:32:00+00:00,15135.0,2022-04-05 13:31:59.750000+00:00,2022-04-05 13:32:00.750000+00:00,2022-04-05 13:32:00.512216073+00:00,2022-04-05 13:32:00.514249112+00:00,69887425,9923,OID_e82258b2b036,C,PURE_CANCEL_INFERRED,A,15134.0,15134.0,1.0,-1.0,0.0,0.0,1.0,2.0,LOWER_BOUND_OBSERVED_ORDERS_ONLY,1,1,,,0,C_WITHOUT_FILL_SAME_KEY,0,,RECONCILED
2022-04-05,LB_20220405_093200_BUY_0001,2022-04-05 13:32:00+00:00,15135.0,2022-04-05 13:31:59.750000+00:00,2022-04-05 13:32:00.750000+00:00,2022-04-05 13:32:00.512221125+00:00,2022-04-05 13:32:00.514249112+00:00,69887425,9924,OID_c91e7456c747,A,ADD_NEW_ORDER,A,15134.5,,0.0,1.0,1.0,0.0,1.0,4.0,LOWER_BOUND_OBSERVED_ORDERS_ONLY,1,1,,,0,NOT_APPLICABLE,0,,RECONCILED
2022-04-05,LB_20220405_093200_BUY_0001,2022-04-05 13:32:00+00:00,15135.0,2022-04-05 13:31:59.750000+00:00,2022-04-05 13:32:00.750000+00:00,2022-04-05 13:32:00.513998653+00:00,2022-04-05 13:32:00.515294258+00:00,69887435,9947,OID_f353329c1950,C,PURE_CANCEL_INFERRED,A,15134.5,,,0.0,,0.0,1.0,,UNAVAILABLE_INITIAL_QUEUE_MISSING,0,0,,,0,C_WITHOUT_FILL_SAME_KEY,0,,LEFT_CENSORED_CANCEL_NO_PRIOR_STATE
2022-04-05,LB_20220405_093200_BUY_0001,2022-04-05 13:32:00+00:00,15135.0,2022-04-05 13:31:59.750000+00:00,2022-04-05 13:32:00.750000+00:00,2022-04-05 13:32:00.513999721+00:00,2022-04-05 13:32:00.515294258+00:00,69887435,9948,OID_0b12bedf0567,C,PURE_CANCEL_INFERRED,A,15134.75,,,0.0,,0.0,1.0,,UNAVAILABLE_INITIAL_QUEUE_MISSING,0,0,,,0,C_WITHOUT_FILL_SAME_KEY,0,,LEFT_CENSORED_CANCEL_NO_PRIOR_STATE
