request_id,fecha,BurstId,split,family_label_only,dataset,schema,symbols,stype_in,stype_out,start_utc,end_utc_exclusive,causal_cutoff_utc_inclusive,requested_seconds,post_download_filter,predictor_policy
NQ_MBO_2023-10-16_LB_20231016_093102_BUY_0001,2023-10-16,LB_20231016_093102_BUY_0001,discovery,B_CLEAN_BREAKOUT,GLBX.MDP3,mbo,NQ.v.0,continuous,raw_symbol,2023-10-16T13:30:53.023753Z,2023-10-16T13:31:03.024753Z,2023-10-16T13:31:03.023753Z,10.001,ts_event<=causal_cutoff_utc_inclusive,PREENTRY_ONLY_NO_POST_BURST
NQ_MBO_2023-10-27_LB_20231027_093329_BUY_0001,2023-10-27,LB_20231027_093329_BUY_0001,discovery,C_MIXED_PATH,GLBX.MDP3,mbo,NQ.v.0,continuous,raw_symbol,2023-10-27T13:33:20.047860Z,2023-10-27T13:33:30.048860Z,2023-10-27T13:33:30.047860Z,10.001,ts_event<=causal_cutoff_utc_inclusive,PREENTRY_ONLY_NO_POST_BURST
NQ_MBO_2023-11-02_LB_20231102_093203_SELL_0001,2023-11-02,LB_20231102_093203_SELL_0001,discovery,A_TRUE_ABSORPTION,GLBX.MDP3,mbo,NQ.v.0,continuous,raw_symbol,2023-11-02T13:31:54.053384Z,2023-11-02T13:32:04.054384Z,2023-11-02T13:32:04.053384Z,10.001,ts_event<=causal_cutoff_utc_inclusive,PREENTRY_ONLY_NO_POST_BURST
NQ_MBO_2024-03-18_LB_20240318_093121_BUY_0001,2024-03-18,LB_20240318_093121_BUY_0001,discovery,C_MIXED_PATH,GLBX.MDP3,mbo,NQ.v.0,continuous,raw_symbol,2024-03-18T13:31:12.022843Z,2024-03-18T13:31:22.023843Z,2024-03-18T13:31:22.022843Z,10.001,ts_event<=causal_cutoff_utc_inclusive,PREENTRY_ONLY_NO_POST_BURST
NQ_MBO_2024-04-02_LB_20240402_093358_SELL_0002,2024-04-02,LB_20240402_093358_SELL_0002,discovery,C_MIXED_PATH,GLBX.MDP3,mbo,NQ.v.0,continuous,raw_symbol,2024-04-02T13:33:49.018225Z,2024-04-02T13:33:59.019225Z,2024-04-02T13:33:59.018225Z,10.001,ts_event<=causal_cutoff_utc_inclusive,PREENTRY_ONLY_NO_POST_BURST
NQ_MBO_2024-04-04_LB_20240404_093500_BUY_0001,2024-04-04,LB_20240404_093500_BUY_0001,discovery,B_CLEAN_BREAKOUT,GLBX.MDP3,mbo,NQ.v.0,continuous,raw_symbol,2024-04-04T13:34:51.015194Z,2024-04-04T13:35:01.016194Z,2024-04-04T13:35:01.015194Z,10.001,ts_event<=causal_cutoff_utc_inclusive,PREENTRY_ONLY_NO_POST_BURST
NQ_MBO_2024-04-05_LB_20240405_093248_SELL_0001,2024-04-05,LB_20240405_093248_SELL_0001,discovery,C_MIXED_PATH,GLBX.MDP3,mbo,NQ.v.0,continuous,raw_symbol,2024-04-05T13:32:39.026914Z,2024-04-05T13:32:49.027914Z,2024-04-05T13:32:49.026914Z,10.001,ts_event<=causal_cutoff_utc_inclusive,PREENTRY_ONLY_NO_POST_BURST
NQ_MBO_2024-04-09_LB_20240409_093342_SELL_0001,2024-04-09,LB_20240409_093342_SELL_0001,discovery,B_CLEAN_BREAKOUT,GLBX.MDP3,mbo,NQ.v.0,continuous,raw_symbol,2024-04-09T13:33:33.035664Z,2024-04-09T13:33:43.036664Z,2024-04-09T13:33:43.035664Z,10.001,ts_event<=causal_cutoff_utc_inclusive,PREENTRY_ONLY_NO_POST_BURST
NQ_MBO_2024-04-17_LB_20240417_093502_SELL_0001,2024-04-17,LB_20240417_093502_SELL_0001,discovery,C_MIXED_PATH,GLBX.MDP3,mbo,NQ.v.0,continuous,raw_symbol,2024-04-17T13:34:53.057624Z,2024-04-17T13:35:03.058624Z,2024-04-17T13:35:03.057624Z,10.001,ts_event<=causal_cutoff_utc_inclusive,PREENTRY_ONLY_NO_POST_BURST
NQ_MBO_2024-04-18_LB_20240418_093109_SELL_0001,2024-04-18,LB_20240418_093109_SELL_0001,discovery,B_CLEAN_BREAKOUT,GLBX.MDP3,mbo,NQ.v.0,continuous,raw_symbol,2024-04-18T13:31:00.042140Z,2024-04-18T13:31:10.043140Z,2024-04-18T13:31:10.042140Z,10.001,ts_event<=causal_cutoff_utc_inclusive,PREENTRY_ONLY_NO_POST_BURST
NQ_MBO_2024-04-23_LB_20240423_093145_BUY_0001,2024-04-23,LB_20240423_093145_BUY_0001,discovery,B_CLEAN_BREAKOUT,GLBX.MDP3,mbo,NQ.v.0,continuous,raw_symbol,2024-04-23T13:31:36.110957Z,2024-04-23T13:31:46.111957Z,2024-04-23T13:31:46.110957Z,10.001,ts_event<=causal_cutoff_utc_inclusive,PREENTRY_ONLY_NO_POST_BURST
NQ_MBO_2024-04-26_LB_20240426_093151_SELL_0001,2024-04-26,LB_20240426_093151_SELL_0001,discovery,C_MIXED_PATH,GLBX.MDP3,mbo,NQ.v.0,continuous,raw_symbol,2024-04-26T13:31:42.036258Z,2024-04-26T13:31:52.037258Z,2024-04-26T13:31:52.036258Z,10.001,ts_event<=causal_cutoff_utc_inclusive,PREENTRY_ONLY_NO_POST_BURST
NQ_MBO_2024-05-02_LB_20240502_093112_SELL_0001,2024-05-02,LB_20240502_093112_SELL_0001,discovery,B_CLEAN_BREAKOUT,GLBX.MDP3,mbo,NQ.v.0,continuous,raw_symbol,2024-05-02T13:31:03.136347Z,2024-05-02T13:31:13.137347Z,2024-05-02T13:31:13.136347Z,10.001,ts_event<=causal_cutoff_utc_inclusive,PREENTRY_ONLY_NO_POST_BURST
NQ_MBO_2024-05-03_LB_20240503_093157_SELL_0001,2024-05-03,LB_20240503_093157_SELL_0001,discovery,B_CLEAN_BREAKOUT,GLBX.MDP3,mbo,NQ.v.0,continuous,raw_symbol,2024-05-03T13:31:48.173092Z,2024-05-03T13:31:58.174092Z,2024-05-03T13:31:58.173092Z,10.001,ts_event<=causal_cutoff_utc_inclusive,PREENTRY_ONLY_NO_POST_BURST
NQ_MBO_2024-05-10_LB_20240510_093420_BUY_0001,2024-05-10,LB_20240510_093420_BUY_0001,discovery,B_CLEAN_BREAKOUT,GLBX.MDP3,mbo,NQ.v.0,continuous,raw_symbol,2024-05-10T13:34:11.121966Z,2024-05-10T13:34:21.122966Z,2024-05-10T13:34:21.121966Z,10.001,ts_event<=causal_cutoff_utc_inclusive,PREENTRY_ONLY_NO_POST_BURST
NQ_MBO_2024-05-20_LB_20240520_093220_BUY_0001,2024-05-20,LB_20240520_093220_BUY_0001,discovery,B_CLEAN_BREAKOUT,GLBX.MDP3,mbo,NQ.v.0,continuous,raw_symbol,2024-05-20T13:32:11.062444Z,2024-05-20T13:32:21.063444Z,2024-05-20T13:32:21.062444Z,10.001,ts_event<=causal_cutoff_utc_inclusive,PREENTRY_ONLY_NO_POST_BURST
