request_id,fecha,BurstId,year,burst_side,family_label_only,resolved_raw_symbol,resolved_instrument_id,metadata_stype_out,observed_instrument_ids,file_records,usable_records_through_last_f_last,tail_records_excluded_after_last_f_last,snapshot_rows,snapshot_clear_rows,snapshot_add_rows,snapshot_last_rows,bad_book_rows,sequence_regressions,unique_identity_order_ids,first_action_add_count,left_censored_order_pct,modify_rows,modify_reconciled_rows,cancel_rows,cancel_reconciled_rows,cancel_exceeds_state_rows,fill_groups,fill_reconciled_groups,identity_reconciliation_pct,attacked_l0_price_mbo,attacked_l0_depth_mbo,attacked_l0_l2_depth_mbo,attacked_l0_l2_order_count,atas_burst_price_informational,atas_vs_mbo_l0_abs_ticks_informational,footprint_atas_comparison_used_as_gate,snapshot_pass,contract_pass,bad_book_pass,sequence_pass,reconciliation_pass,left_censor_pass,attacked_levels_pass,cutoff_pass,technical_gate_pass,file_path,file_bytes
NQ_MBO_SNAPSHOT_2022-08-09_LB_20220809_093105_SELL_0001,2022-08-09,LB_20220809_093105_SELL_0001,2022,SELL,B_CLEAN_BREAKOUT,NQU2,10391,instrument_id,10391,1557129,1557129,0,2725,1,2724,1,0,0,574189,574189,0.0,266475,266475,569810,569810,0,82312,82312,100.0,13079.75,3.0,11.0,10,13072.5,29.0,False,True,True,True,True,True,True,True,True,True,C:\Users\k_99_\Desktop\codding\data_footprint_generator\databento_mbo\liquidity_burst_snapshot_discovery100_20260723\NQ_MBO_SNAPSHOT_2022-08-09_LB_20220809_093105_SELL_0001.mbo.dbn.zst,31649419
NQ_MBO_SNAPSHOT_2022-08-15_LB_20220815_093300_BUY_0001,2022-08-15,LB_20220815_093300_BUY_0001,2022,BUY,B_CLEAN_BREAKOUT,NQU2,10391,instrument_id,10391,1330896,1330896,0,2640,1,2639,1,0,0,490649,490649,0.0,219633,219633,486392,486392,0,75515,75515,100.0,13578.0,3.0,12.0,12,13583.75,23.0,False,True,True,True,True,True,True,True,True,True,C:\Users\k_99_\Desktop\codding\data_footprint_generator\databento_mbo\liquidity_burst_snapshot_discovery100_20260723\NQ_MBO_SNAPSHOT_2022-08-15_LB_20220815_093300_BUY_0001.mbo.dbn.zst,26633050
NQ_MBO_SNAPSHOT_2022-08-17_LB_20220817_093558_BUY_0001,2022-08-17,LB_20220817_093558_BUY_0001,2022,BUY,A_TRUE_ABSORPTION,NQU2,10391,instrument_id,10391,2083055,2083055,0,2569,1,2568,1,0,0,767272,767271,0.00013033187709182663,362728,362728,762771,762771,0,107235,107234,99.99991887949874,13554.0,2.0,14.0,14,13561.25,29.0,False,True,True,True,True,True,True,True,True,True,C:\Users\k_99_\Desktop\codding\data_footprint_generator\databento_mbo\liquidity_burst_snapshot_discovery100_20260723\NQ_MBO_SNAPSHOT_2022-08-17_LB_20220817_093558_BUY_0001.mbo.dbn.zst,41723611
NQ_MBO_SNAPSHOT_2022-08-31_LB_20220831_093400_SELL_0001,2022-08-31,LB_20220831_093400_SELL_0001,2022,SELL,B_CLEAN_BREAKOUT,NQU2,10391,instrument_id,10391,2770212,2770212,0,2880,1,2879,1,0,0,1019589,1019589,0.0,494030,494030,1015506,1015506,0,134126,134126,100.0,12434.0,2.0,12.0,12,12430.0,16.0,False,True,True,True,True,True,True,True,True,True,C:\Users\k_99_\Desktop\codding\data_footprint_generator\databento_mbo\liquidity_burst_snapshot_discovery100_20260723\NQ_MBO_SNAPSHOT_2022-08-31_LB_20220831_093400_SELL_0001.mbo.dbn.zst,55548296
NQ_MBO_SNAPSHOT_2022-09-01_LB_20220901_093124_SELL_0002,2022-09-01,LB_20220901_093124_SELL_0002,2022,SELL,B_CLEAN_BREAKOUT,NQU2,10391,instrument_id,10391,3174948,3174948,0,2842,1,2841,1,0,0,1157647,1157647,0.0,581518,581518,1153390,1153390,0,159446,159446,100.0,12166.0,4.0,12.0,11,12158.75,29.0,False,True,True,True,True,True,True,True,True,True,C:\Users\k_99_\Desktop\codding\data_footprint_generator\databento_mbo\liquidity_burst_snapshot_discovery100_20260723\NQ_MBO_SNAPSHOT_2022-09-01_LB_20220901_093124_SELL_0002.mbo.dbn.zst,63946015
NQ_MBO_SNAPSHOT_2022-09-06_LB_20220906_093405_BUY_0001,2022-09-06,LB_20220906_093405_BUY_0001,2022,BUY,C_MIXED_PATH,NQU2,10391,instrument_id,10391,2551457,2551457,0,2901,1,2900,1,0,0,890120,890119,0.00011234440300184245,534452,534452,886144,886144,0,133873,133872,99.99993566935076,12102.25,1.0,8.0,8,12106.25,16.0,False,True,True,True,True,True,True,True,True,True,C:\Users\k_99_\Desktop\codding\data_footprint_generator\databento_mbo\liquidity_burst_snapshot_discovery100_20260723\NQ_MBO_SNAPSHOT_2022-09-06_LB_20220906_093405_BUY_0001.mbo.dbn.zst,51711498
NQ_MBO_SNAPSHOT_2022-09-28_LB_20220928_093328_SELL_0001,2022-09-28,LB_20220928_093328_SELL_0001,2022,SELL,B_CLEAN_BREAKOUT,NQZ2,13613,instrument_id,13613,6009278,6009278,0,2733,1,2732,1,0,0,2174477,2174477,0.0,1138013,1138013,2170682,2170682,0,300022,300022,100.0,11301.0,3.0,18.0,10,11297.5,14.0,False,True,True,True,True,True,True,True,True,True,C:\Users\k_99_\Desktop\codding\data_footprint_generator\databento_mbo\liquidity_burst_snapshot_discovery100_20260723\NQ_MBO_SNAPSHOT_2022-09-28_LB_20220928_093328_SELL_0001.mbo.dbn.zst,118948451
NQ_MBO_SNAPSHOT_2022-10-11_LB_20221011_093101_SELL_0001,2022-10-11,LB_20221011_093101_SELL_0001,2022,SELL,C_MIXED_PATH,NQZ2,13613,instrument_id,13613,3691112,3691112,0,2348,1,2347,1,0,0,1403630,1403629,7.124384631277474e-05,596672,596672,1400189,1400189,0,162001,162000,99.99995367929955,10911.0,1.0,9.0,9,10905.0,24.0,False,True,True,True,True,True,True,True,True,True,C:\Users\k_99_\Desktop\codding\data_footprint_generator\databento_mbo\liquidity_burst_snapshot_discovery100_20260723\NQ_MBO_SNAPSHOT_2022-10-11_LB_20221011_093101_SELL_0001.mbo.dbn.zst,73580210
NQ_MBO_SNAPSHOT_2022-10-18_LB_20221018_093155_SELL_0001,2022-10-18,LB_20221018_093155_SELL_0001,2022,SELL,C_MIXED_PATH,NQZ2,13613,instrument_id,13613,3035837,3035837,0,2607,1,2606,1,0,0,1121993,1121993,0.0,466713,466713,1117999,1117999,0,184939,184939,100.0,11400.0,1.0,9.0,8,11400.0,0.0,False,True,True,True,True,True,True,True,True,True,C:\Users\k_99_\Desktop\codding\data_footprint_generator\databento_mbo\liquidity_burst_snapshot_discovery100_20260723\NQ_MBO_SNAPSHOT_2022-10-18_LB_20221018_093155_SELL_0001.mbo.dbn.zst,58967134
NQ_MBO_SNAPSHOT_2022-10-25_LB_20221025_093119_BUY_0001,2022-10-25,LB_20221025_093119_BUY_0001,2022,BUY,B_CLEAN_BREAKOUT,NQZ2,13613,instrument_id,13613,2781659,2781659,0,2564,1,2563,1,0,0,1070609,1070609,0.0,414863,414863,1066828,1066828,0,127442,127442,100.0,11547.5,2.0,14.0,11,11552.5,20.0,False,True,True,True,True,True,True,True,True,True,C:\Users\k_99_\Desktop\codding\data_footprint_generator\databento_mbo\liquidity_burst_snapshot_discovery100_20260723\NQ_MBO_SNAPSHOT_2022-10-25_LB_20221025_093119_BUY_0001.mbo.dbn.zst,55903737
