request_id,pilot_stage,fecha,BurstId,family_label_only,burst_side,start_utc,end_utc_exclusive,requested_hours,estimated_cost_usd
NQ_MBO_SNAPSHOT_2022-10-27_LB_20221027_093628_SELL_0001,DISCOVERY_100,2022-10-27,LB_20221027_093628_SELL_0001,A_TRUE_ABSORPTION,SELL,2022-10-27T00:00:00.000000Z,2022-10-27T13:36:29.053000Z,13.608070277777776,0.366146032512
NQ_MBO_SNAPSHOT_2022-10-28_LB_20221028_093127_BUY_0001,DISCOVERY_100,2022-10-28,LB_20221028_093127_BUY_0001,B_CLEAN_BREAKOUT,BUY,2022-10-28T00:00:00.000000Z,2022-10-28T13:31:28.046000Z,13.524457222222225,0.377608264983
NQ_MBO_SNAPSHOT_2022-11-03_LB_20221103_093349_BUY_0001,DISCOVERY_100,2022-11-03,LB_20221103_093349_BUY_0001,A_TRUE_ABSORPTION,BUY,2022-11-03T00:00:00.000000Z,2022-11-03T13:33:50.021000Z,13.563894722222225,0.312816770375
NQ_MBO_SNAPSHOT_2023-03-21_LB_20230321_093130_BUY_0001,DISCOVERY_100,2023-03-21,LB_20230321_093130_BUY_0001,B_CLEAN_BREAKOUT,BUY,2023-03-21T00:00:00.000000Z,2023-03-21T13:31:31.049000Z,13.525291388888888,0.218011289835
NQ_MBO_SNAPSHOT_2023-03-28_LB_20230328_093202_SELL_0001,DISCOVERY_100,2023-03-28,LB_20230328_093202_SELL_0001,B_CLEAN_BREAKOUT,SELL,2023-03-28T00:00:00.000000Z,2023-03-28T13:32:03.022000Z,13.534172777777776,0.181423826516
NQ_MBO_SNAPSHOT_2023-04-03_LB_20230403_093250_BUY_0001,DISCOVERY_100,2023-04-03,LB_20230403_093250_BUY_0001,C_MIXED_PATH,BUY,2023-04-03T00:00:00.000000Z,2023-04-03T13:32:51.099000Z,13.5475275,0.192781479657
NQ_MBO_SNAPSHOT_2023-04-04_LB_20230404_093600_SELL_0001,DISCOVERY_100,2023-04-04,LB_20230404_093600_SELL_0001,A_TRUE_ABSORPTION,SELL,2023-04-04T00:00:00.000000Z,2023-04-04T13:36:01.053000Z,13.6002925,0.180727162957
NQ_MBO_SNAPSHOT_2023-04-19_LB_20230419_093353_SELL_0001,DISCOVERY_100,2023-04-19,LB_20230419_093353_SELL_0001,A_TRUE_ABSORPTION,SELL,2023-04-19T00:00:00.000000Z,2023-04-19T13:33:54.064000Z,13.565017777777776,0.21715747565
NQ_MBO_SNAPSHOT_2023-04-26_LB_20230426_093201_SELL_0001,DISCOVERY_100,2023-04-26,LB_20230426_093201_SELL_0001,A_TRUE_ABSORPTION,SELL,2023-04-26T00:00:00.000000Z,2023-04-26T13:32:02.055000Z,13.533904166666666,0.271628379822
NQ_MBO_SNAPSHOT_2023-05-03_LB_20230503_093500_BUY_0001,DISCOVERY_100,2023-05-03,LB_20230503_093500_BUY_0001,B_CLEAN_BREAKOUT,BUY,2023-05-03T00:00:00.000000Z,2023-05-03T13:35:01.053000Z,13.583625833333333,0.17332418561
