request_id,pilot_stage,selection_seed,selection_hash,fecha,year,BurstId,family_label_only,burst_side,burst_price,reference_level,burst_timestamp_utc,strategy_decision_timestamp_utc,strict_feature_cutoff_utc_exclusive,dataset,schema,symbols,stype_in,stype_out,resolved_instrument_id,resolved_raw_symbol,symbology_resolution_status,start_utc,end_utc_exclusive,causal_cutoff_utc_inclusive,requested_hours,require_snapshot,holiday_exclusion_pass,predictor_policy,same_millisecond_policy,event_packet_policy
NQ_MBO_SNAPSHOT_2023-05-26_LB_20230526_093357_BUY_0001,SIGNAL_24,MBO_SNAPSHOT_PILOT_V1_20260723,5d08ae4f1db76f99aa8968636cf70447090f44f2065ece432fb238c88d9360f8,2023-05-26,2023,LB_20230526_093357_BUY_0001,A_TRUE_ABSORPTION,BUY,14045.0,14030.0,2023-05-26T13:33:57.000000Z,2023-05-26T13:33:58.020596Z,2023-05-26T13:33:58.020000Z,GLBX.MDP3,mbo,NQ.v.0,continuous,instrument_id,,,PENDING_METADATA_RESOLUTION,2023-05-26T00:00:00.000000Z,2023-05-26T13:33:58.020000Z,2023-05-26T13:33:58.019999999Z,13.566116666666666,True,True,PREDECISION_ONLY_NO_MFE_MAE_TP_SL_PNL,EXCLUDE_ENTIRE_DECISION_MILLISECOND,ONLY_F_LAST_COMPLETED_BEFORE_EXCLUSIVE_CUTOFF
NQ_MBO_SNAPSHOT_2023-07-18_LB_20230718_093258_SELL_0002,SIGNAL_24,MBO_SNAPSHOT_PILOT_V1_20260723,01d30c2999125f7572a482633192d82262790547bc04ab214849c31807b9e627,2023-07-18,2023,LB_20230718_093258_SELL_0002,B_CLEAN_BREAKOUT,SELL,15780.0,15790.0,2023-07-18T13:32:58.000000Z,2023-07-18T13:32:59.057619Z,2023-07-18T13:32:59.057000Z,GLBX.MDP3,mbo,NQ.v.0,continuous,instrument_id,,,PENDING_METADATA_RESOLUTION,2023-07-18T00:00:00.000000Z,2023-07-18T13:32:59.057000Z,2023-07-18T13:32:59.056999999Z,13.549738055555556,True,True,PREDECISION_ONLY_NO_MFE_MAE_TP_SL_PNL,EXCLUDE_ENTIRE_DECISION_MILLISECOND,ONLY_F_LAST_COMPLETED_BEFORE_EXCLUSIVE_CUTOFF
NQ_MBO_SNAPSHOT_2023-08-25_LB_20230825_093257_BUY_0001,SIGNAL_24,MBO_SNAPSHOT_PILOT_V1_20260723,035e608864cec6f83a81a75639567cdd0e60abc433933911cdcf7326ec094926,2023-08-25,2023,LB_20230825_093257_BUY_0001,A_TRUE_ABSORPTION,BUY,14933.75,14925.0,2023-08-25T13:32:57.000000Z,2023-08-25T13:32:58.084006Z,2023-08-25T13:32:58.084000Z,GLBX.MDP3,mbo,NQ.v.0,continuous,instrument_id,,,PENDING_METADATA_RESOLUTION,2023-08-25T00:00:00.000000Z,2023-08-25T13:32:58.084000Z,2023-08-25T13:32:58.083999999Z,13.549467777777778,True,True,PREDECISION_ONLY_NO_MFE_MAE_TP_SL_PNL,EXCLUDE_ENTIRE_DECISION_MILLISECOND,ONLY_F_LAST_COMPLETED_BEFORE_EXCLUSIVE_CUTOFF
NQ_MBO_SNAPSHOT_2023-08-29_LB_20230829_093105_SELL_0001,SIGNAL_24,MBO_SNAPSHOT_PILOT_V1_20260723,422f614a7d7f5b66e694e8efe5f81c560f9faa5a5815040b5e2bba8df335d136,2023-08-29,2023,LB_20230829_093105_SELL_0001,A_TRUE_ABSORPTION,SELL,15073.75,15073.75,2023-08-29T13:31:05.000000Z,2023-08-29T13:31:06.065128Z,2023-08-29T13:31:06.065000Z,GLBX.MDP3,mbo,NQ.v.0,continuous,instrument_id,,,PENDING_METADATA_RESOLUTION,2023-08-29T00:00:00.000000Z,2023-08-29T13:31:06.065000Z,2023-08-29T13:31:06.064999999Z,13.51835138888889,True,True,PREDECISION_ONLY_NO_MFE_MAE_TP_SL_PNL,EXCLUDE_ENTIRE_DECISION_MILLISECOND,ONLY_F_LAST_COMPLETED_BEFORE_EXCLUSIVE_CUTOFF
NQ_MBO_SNAPSHOT_2023-09-15_LB_20230915_093253_SELL_0001,SIGNAL_24,MBO_SNAPSHOT_PILOT_V1_20260723,218c3b9804c27d64a90cfa0525c695adc60810f0823d8a5200a31c493bdb0eca,2023-09-15,2023,LB_20230915_093253_SELL_0001,B_CLEAN_BREAKOUT,SELL,15587.5,15602.5,2023-09-15T13:32:53.000000Z,2023-09-15T13:32:54.037055Z,2023-09-15T13:32:54.037000Z,GLBX.MDP3,mbo,NQ.v.0,continuous,instrument_id,,,PENDING_METADATA_RESOLUTION,2023-09-15T00:00:00.000000Z,2023-09-15T13:32:54.037000Z,2023-09-15T13:32:54.036999999Z,13.54834361111111,True,True,PREDECISION_ONLY_NO_MFE_MAE_TP_SL_PNL,EXCLUDE_ENTIRE_DECISION_MILLISECOND,ONLY_F_LAST_COMPLETED_BEFORE_EXCLUSIVE_CUTOFF
NQ_MBO_SNAPSHOT_2023-10-02_LB_20231002_093150_BUY_0001,SIGNAL_24,MBO_SNAPSHOT_PILOT_V1_20260723,4f4d5eb3b6ca9f4ca5240a6661c53afa605ba53beb7f1c23f49b8066fb5818ad,2023-10-02,2023,LB_20231002_093150_BUY_0001,B_CLEAN_BREAKOUT,BUY,14880.0,14875.0,2023-10-02T13:31:50.000000Z,2023-10-02T13:31:51.110444Z,2023-10-02T13:31:51.110000Z,GLBX.MDP3,mbo,NQ.v.0,continuous,instrument_id,,,PENDING_METADATA_RESOLUTION,2023-10-02T00:00:00.000000Z,2023-10-02T13:31:51.110000Z,2023-10-02T13:31:51.109999999Z,13.53086388888889,True,True,PREDECISION_ONLY_NO_MFE_MAE_TP_SL_PNL,EXCLUDE_ENTIRE_DECISION_MILLISECOND,ONLY_F_LAST_COMPLETED_BEFORE_EXCLUSIVE_CUTOFF
NQ_MBO_SNAPSHOT_2024-05-02_LB_20240502_093112_SELL_0001,SIGNAL_24,MBO_SNAPSHOT_PILOT_V1_20260723,2cf575c28227ebff2e925d575c43cdaa30d351a120bae5ce1bfd30174d232e26,2024-05-02,2024,LB_20240502_093112_SELL_0001,B_CLEAN_BREAKOUT,SELL,17571.25,17575.0,2024-05-02T13:31:12.000000Z,2024-05-02T13:31:13.136347Z,2024-05-02T13:31:13.136000Z,GLBX.MDP3,mbo,NQ.v.0,continuous,instrument_id,,,PENDING_METADATA_RESOLUTION,2024-05-02T00:00:00.000000Z,2024-05-02T13:31:13.136000Z,2024-05-02T13:31:13.135999999Z,13.520315555555555,True,True,PREDECISION_ONLY_NO_MFE_MAE_TP_SL_PNL,EXCLUDE_ENTIRE_DECISION_MILLISECOND,ONLY_F_LAST_COMPLETED_BEFORE_EXCLUSIVE_CUTOFF
NQ_MBO_SNAPSHOT_2024-05-10_LB_20240510_093420_BUY_0001,SIGNAL_24,MBO_SNAPSHOT_PILOT_V1_20260723,46cace5bab50ee64d644795ec0c57ead0d2d8f4781a939b96dfecf5271c2b0b6,2024-05-10,2024,LB_20240510_093420_BUY_0001,B_CLEAN_BREAKOUT,BUY,18301.25,18276.25,2024-05-10T13:34:20.000000Z,2024-05-10T13:34:21.121966Z,2024-05-10T13:34:21.121000Z,GLBX.MDP3,mbo,NQ.v.0,continuous,instrument_id,,,PENDING_METADATA_RESOLUTION,2024-05-10T00:00:00.000000Z,2024-05-10T13:34:21.121000Z,2024-05-10T13:34:21.120999999Z,13.57253361111111,True,True,PREDECISION_ONLY_NO_MFE_MAE_TP_SL_PNL,EXCLUDE_ENTIRE_DECISION_MILLISECOND,ONLY_F_LAST_COMPLETED_BEFORE_EXCLUSIVE_CUTOFF
NQ_MBO_SNAPSHOT_2024-06-14_LB_20240614_093644_BUY_0001,SIGNAL_24,MBO_SNAPSHOT_PILOT_V1_20260723,0ee6986b6a311e9126aedcfe08d8e751a9986bcc6f60295637d0645bf2df2046,2024-06-14,2024,LB_20240614_093644_BUY_0001,B_CLEAN_BREAKOUT,BUY,19587.5,19583.75,2024-06-14T13:36:44.000000Z,2024-06-14T13:36:45.081257Z,2024-06-14T13:36:45.081000Z,GLBX.MDP3,mbo,NQ.v.0,continuous,instrument_id,,,PENDING_METADATA_RESOLUTION,2024-06-14T00:00:00.000000Z,2024-06-14T13:36:45.081000Z,2024-06-14T13:36:45.080999999Z,13.612522499999999,True,True,PREDECISION_ONLY_NO_MFE_MAE_TP_SL_PNL,EXCLUDE_ENTIRE_DECISION_MILLISECOND,ONLY_F_LAST_COMPLETED_BEFORE_EXCLUSIVE_CUTOFF
NQ_MBO_SNAPSHOT_2024-07-12_LB_20240712_093101_BUY_0001,SIGNAL_24,MBO_SNAPSHOT_PILOT_V1_20260723,5f6aaafe83d0e17a28871e5f7e95654a04df6f09a52b72a5c2972ddeae38fd0a,2024-07-12,2024,LB_20240712_093101_BUY_0001,A_TRUE_ABSORPTION,BUY,20468.75,20461.25,2024-07-12T13:31:01.000000Z,2024-07-12T13:31:02.044351Z,2024-07-12T13:31:02.044000Z,GLBX.MDP3,mbo,NQ.v.0,continuous,instrument_id,,,PENDING_METADATA_RESOLUTION,2024-07-12T00:00:00.000000Z,2024-07-12T13:31:02.044000Z,2024-07-12T13:31:02.043999999Z,13.517234444444444,True,True,PREDECISION_ONLY_NO_MFE_MAE_TP_SL_PNL,EXCLUDE_ENTIRE_DECISION_MILLISECOND,ONLY_F_LAST_COMPLETED_BEFORE_EXCLUSIVE_CUTOFF
NQ_MBO_SNAPSHOT_2024-07-16_LB_20240716_093212_BUY_0001,SIGNAL_24,MBO_SNAPSHOT_PILOT_V1_20260723,2d3d79e8bb14b1f89f2b259ceaa9c8e2f8ff73fd36cdbebe5d4ec3f516cbd44a,2024-07-16,2024,LB_20240716_093212_BUY_0001,A_TRUE_ABSORPTION,BUY,20660.0,20657.5,2024-07-16T13:32:12.000000Z,2024-07-16T13:32:13.083597Z,2024-07-16T13:32:13.083000Z,GLBX.MDP3,mbo,NQ.v.0,continuous,instrument_id,,,PENDING_METADATA_RESOLUTION,2024-07-16T00:00:00.000000Z,2024-07-16T13:32:13.083000Z,2024-07-16T13:32:13.082999999Z,13.5369675,True,True,PREDECISION_ONLY_NO_MFE_MAE_TP_SL_PNL,EXCLUDE_ENTIRE_DECISION_MILLISECOND,ONLY_F_LAST_COMPLETED_BEFORE_EXCLUSIVE_CUTOFF
NQ_MBO_SNAPSHOT_2024-07-22_LB_20240722_093156_SELL_0001,SIGNAL_24,MBO_SNAPSHOT_PILOT_V1_20260723,ba2897a10ec8c5fd46f8fefcd1bae89b830c882b3c1cb7bfc84b8859ae90b8c5,2024-07-22,2024,LB_20240722_093156_SELL_0001,A_TRUE_ABSORPTION,SELL,19900.0,19910.0,2024-07-22T13:31:56.000000Z,2024-07-22T13:31:57.031422Z,2024-07-22T13:31:57.031000Z,GLBX.MDP3,mbo,NQ.v.0,continuous,instrument_id,,,PENDING_METADATA_RESOLUTION,2024-07-22T00:00:00.000000Z,2024-07-22T13:31:57.031000Z,2024-07-22T13:31:57.030999999Z,13.532508611111112,True,True,PREDECISION_ONLY_NO_MFE_MAE_TP_SL_PNL,EXCLUDE_ENTIRE_DECISION_MILLISECOND,ONLY_F_LAST_COMPLETED_BEFORE_EXCLUSIVE_CUTOFF
NQ_MBO_SNAPSHOT_2024-07-26_LB_20240726_093346_SELL_0001,SIGNAL_24,MBO_SNAPSHOT_PILOT_V1_20260723,51fd4db28ed294b57af489678e71dc7cc658dd333669758032e3f2d6a7d021ac,2024-07-26,2024,LB_20240726_093346_SELL_0001,B_CLEAN_BREAKOUT,SELL,19118.75,19120.0,2024-07-26T13:33:46.000000Z,2024-07-26T13:33:47.092358Z,2024-07-26T13:33:47.092000Z,GLBX.MDP3,mbo,NQ.v.0,continuous,instrument_id,,,PENDING_METADATA_RESOLUTION,2024-07-26T00:00:00.000000Z,2024-07-26T13:33:47.092000Z,2024-07-26T13:33:47.091999999Z,13.56308111111111,True,True,PREDECISION_ONLY_NO_MFE_MAE_TP_SL_PNL,EXCLUDE_ENTIRE_DECISION_MILLISECOND,ONLY_F_LAST_COMPLETED_BEFORE_EXCLUSIVE_CUTOFF
NQ_MBO_SNAPSHOT_2024-08-08_LB_20240808_093753_SELL_0001,SIGNAL_24,MBO_SNAPSHOT_PILOT_V1_20260723,6099ecce65fe6bdbae7f1993ec55c4c07786765d20ac8af259bf871579348c64,2024-08-08,2024,LB_20240808_093753_SELL_0001,A_TRUE_ABSORPTION,SELL,18165.0,18203.75,2024-08-08T13:37:53.000000Z,2024-08-08T13:37:54.045415Z,2024-08-08T13:37:54.045000Z,GLBX.MDP3,mbo,NQ.v.0,continuous,instrument_id,,,PENDING_METADATA_RESOLUTION,2024-08-08T00:00:00.000000Z,2024-08-08T13:37:54.045000Z,2024-08-08T13:37:54.044999999Z,13.631679166666666,True,True,PREDECISION_ONLY_NO_MFE_MAE_TP_SL_PNL,EXCLUDE_ENTIRE_DECISION_MILLISECOND,ONLY_F_LAST_COMPLETED_BEFORE_EXCLUSIVE_CUTOFF
