BurstId,atas_first_book_price,atas_first_book_time,atas_book_valid,attacked_l0_price_mbo,burst_side,family_label_only,abs_ticks
LB_20230915_093253_SELL_0001,15590.0,2023-09-15 13:32:53.003516900+00:00,1.0,15591.75,SELL,B_CLEAN_BREAKOUT,7.0
LB_20230919_093101_SELL_0001,15333.75,2023-09-19 13:31:01.000584+00:00,1.0,15334.25,SELL,A_TRUE_ABSORPTION,2.0
LB_20230922_093553_SELL_0001,14910.0,2023-09-22 13:35:53.000332+00:00,1.0,14910.25,SELL,C_MIXED_PATH,1.0
LB_20230926_093118_SELL_0002,14820.0,2023-09-26 13:31:18.003521900+00:00,1.0,14820.5,SELL,B_CLEAN_BREAKOUT,2.0
LB_20230927_093102_BUY_0001,14773.75,2023-09-27 13:31:02.000469+00:00,1.0,14773.75,BUY,C_MIXED_PATH,0.0
LB_20231002_093150_BUY_0001,14880.0,2023-10-02 13:31:50.021978900+00:00,1.0,14879.5,BUY,B_CLEAN_BREAKOUT,2.0
LB_20231016_093102_BUY_0001,15183.75,2023-10-16 13:31:02.030972900+00:00,1.0,15183.25,BUY,B_CLEAN_BREAKOUT,2.0
LB_20231027_093329_BUY_0001,,,,14342.75,BUY,C_MIXED_PATH,
LB_20231102_093203_SELL_0001,14910.0,2023-11-02 13:32:03.012557+00:00,1.0,14911.75,SELL,A_TRUE_ABSORPTION,7.0
LB_20240318_093121_BUY_0001,18298.75,2024-03-18 13:31:21.000241+00:00,1.0,18298.25,BUY,C_MIXED_PATH,2.0
LB_20240402_093358_SELL_0002,18267.5,2024-04-02 13:33:58.004282+00:00,1.0,18268.5,SELL,C_MIXED_PATH,4.0
LB_20240404_093500_BUY_0001,18551.25,2024-04-04 13:35:00.003170900+00:00,1.0,18550.0,BUY,B_CLEAN_BREAKOUT,5.0
LB_20240405_093248_SELL_0001,18157.5,2024-04-05 13:32:48.029295900+00:00,1.0,18158.0,SELL,C_MIXED_PATH,2.0
LB_20240409_093342_SELL_0001,18381.25,2024-04-09 13:33:42.011311900+00:00,1.0,18381.5,SELL,B_CLEAN_BREAKOUT,1.0
LB_20240417_093502_SELL_0001,17925.0,2024-04-17 13:35:02.027914+00:00,1.0,17925.75,SELL,C_MIXED_PATH,3.0
LB_20240418_093109_SELL_0001,,,,17662.5,SELL,B_CLEAN_BREAKOUT,
LB_20240423_093145_BUY_0001,17441.25,2024-04-23 13:31:45.021227+00:00,1.0,17440.25,BUY,B_CLEAN_BREAKOUT,4.0
LB_20240426_093151_SELL_0001,17681.25,2024-04-26 13:31:51.081182+00:00,1.0,17681.75,SELL,C_MIXED_PATH,2.0
LB_20240502_093112_SELL_0001,17573.75,2024-05-02 13:31:12.014967+00:00,1.0,17574.5,SELL,B_CLEAN_BREAKOUT,3.0
LB_20240503_093157_SELL_0001,,,,17941.75,SELL,B_CLEAN_BREAKOUT,
LB_20240510_093420_BUY_0001,18298.75,2024-05-10 13:34:20.007134+00:00,1.0,18298.5,BUY,B_CLEAN_BREAKOUT,1.0
LB_20240520_093220_BUY_0001,18660.0,2024-05-20 13:32:20.024850900+00:00,1.0,18658.25,BUY,B_CLEAN_BREAKOUT,7.0
LB_20240528_093142_BUY_0001,18935.0,2024-05-28 13:31:42.009320+00:00,1.0,18933.5,BUY,C_MIXED_PATH,6.0
LB_20240605_093547_SELL_0002,18821.25,2024-06-05 13:35:47.005998900+00:00,1.0,18822.0,SELL,C_MIXED_PATH,3.0
LB_20240606_093413_BUY_0001,19105.0,2024-06-06 13:34:13.020625+00:00,1.0,19104.5,BUY,C_MIXED_PATH,2.0
LB_20240611_093350_BUY_0001,,,,19066.75,BUY,A_TRUE_ABSORPTION,
LB_20240613_093209_BUY_0001,19645.0,2024-06-13 13:32:09.010035900+00:00,1.0,19643.75,BUY,C_MIXED_PATH,5.0
LB_20240614_093644_BUY_0001,19585.0,2024-06-14 13:36:44.018562+00:00,1.0,19584.0,BUY,B_CLEAN_BREAKOUT,4.0
LB_20240708_093223_BUY_0001,20640.0,2024-07-08 13:32:23.002464+00:00,1.0,20638.75,BUY,A_TRUE_ABSORPTION,5.0
LB_20240712_093101_BUY_0001,20461.25,2024-07-12 13:31:01.008976+00:00,1.0,20461.0,BUY,A_TRUE_ABSORPTION,1.0
LB_20240716_093212_BUY_0001,20656.25,2024-07-16 13:32:12.015032900+00:00,1.0,20655.75,BUY,A_TRUE_ABSORPTION,2.0
LB_20240718_093155_SELL_0001,20111.25,2024-07-18 13:31:55.026495+00:00,1.0,20112.5,SELL,C_MIXED_PATH,5.0
LB_20240722_093156_SELL_0001,19905.0,2024-07-22 13:31:56.017926900+00:00,1.0,19905.25,SELL,A_TRUE_ABSORPTION,1.0
LB_20240726_093346_SELL_0001,19123.75,2024-07-26 13:33:46.023295+00:00,1.0,19124.5,SELL,B_CLEAN_BREAKOUT,3.0
LB_20240730_093638_BUY_0001,,,,19299.25,BUY,C_MIXED_PATH,
LB_20240808_093753_SELL_0001,,,,18179.0,SELL,A_TRUE_ABSORPTION,
LB_20240813_093126_BUY_0001,18845.0,2024-08-13 13:31:26.003593900+00:00,1.0,18844.25,BUY,B_CLEAN_BREAKOUT,3.0
LB_20240814_093352_SELL_0001,19122.5,2024-08-14 13:33:52.010256900+00:00,1.0,19123.0,SELL,A_TRUE_ABSORPTION,2.0
