request_id,BurstId,fecha,year,burst_side,attacked_side,resolved_raw_symbol,burst_timestamp_utc,strict_feature_cutoff_utc_exclusive,initial_l0_price_mbo,initial_l0_l2_depth,initial_l0_l2_order_count,coverage_250ms,coverage_500ms,packets_before_250ms,packets_before_500ms,consumption_fill_qty_250ms,pure_withdrawal_qty_250ms,aggressive_trade_qty_250ms,matched_refill_qty,durable_refill_qty_500ms,initial_queue_remaining_qty_250ms,directional_best_passive_progress_ticks_250ms,eligible_aggression_packets_500ms,absorption_motif_packets_500ms,eligible_removal_packets_500ms,breakout_motif_packets_500ms,ambiguous_cancel_fill_rows,unknown_state_rows,max_used_event_utc,max_used_before_decision_cutoff,events_after_cutoff_used,consumption_initial_depth_ratio_250ms,withdrawal_initial_depth_ratio_250ms,durable_refill_removed_ratio_250ms,initial_queue_survival_ratio_250ms,impact_efficiency_250ms,depletion_persistence_share_500ms,absorption_motif_share_500ms,breakout_motif_share_500ms,family_label_only,selection_seed,selection_hash,predictor_policy
NQ_MBO_SNAPSHOT_2022-08-09_LB_20220809_093105_SELL_0001,LB_20220809_093105_SELL_0001,2022-08-09,2022,SELL,B,NQU2,2022-08-09T13:31:05+00:00,2022-08-09T13:31:06.048000+00:00,13079.75,11.0,10,250.0,500.0,1315,1827,7.0,6.0,176.0,13.0,0.0,0.0,20.0,3,0,9,9,1,0,2022-08-09T13:31:05.499611553+00:00,True,0,0.6363636363636364,0.5454545454545454,0.0,0.0,1.25,0.984280006,0.0,1.0,B_CLEAN_BREAKOUT,MBO_SNAPSHOT_PILOT_V1_20260723,3b8295f7a9d22d291303af88c8bb7dd46a3e4a0d1a0faefe9ebb1ff9fb47e5af,PREDECISION_ONLY_NO_MFE_MAE_TP_SL_PNL
NQ_MBO_SNAPSHOT_2022-08-15_LB_20220815_093300_BUY_0001,LB_20220815_093300_BUY_0001,2022-08-15,2022,BUY,A,NQU2,2022-08-15T13:33:00+00:00,2022-08-15T13:33:01.053000+00:00,13578.0,12.0,12,250.0,500.0,600,777,2.0,11.0,41.0,13.0,10.0,0.0,12.0,1,0,12,0,0,0,2022-08-15T13:33:00.497476163+00:00,True,0,0.16666666666666666,0.9166666666666666,0.7692307692307693,0.0,3.5121951219512195,0.990051606,0.0,0.0,B_CLEAN_BREAKOUT,MBO_SNAPSHOT_PILOT_V1_20260723,6ee1c1fa372a40bdf883ff025e1899fde0c8935ba8d6ae90d63ad2f0b3724907,PREDECISION_ONLY_NO_MFE_MAE_TP_SL_PNL
NQ_MBO_SNAPSHOT_2022-08-17_LB_20220817_093558_BUY_0001,LB_20220817_093558_BUY_0001,2022-08-17,2022,BUY,A,NQU2,2022-08-17T13:35:58+00:00,2022-08-17T13:35:59.026000+00:00,13554.0,14.0,14,250.0,500.0,159,871,1.0,6.0,1.0,7.0,0.0,12.0,0.0,3,0,9,2,1,0,2022-08-17T13:35:58.497565123+00:00,True,0,0.07142857142857142,0.42857142857142855,0.0,0.8571428571428571,0.0,0.373700914,0.0,0.2222222222222222,A_TRUE_ABSORPTION,MBO_SNAPSHOT_PILOT_V1_20260723,ed6ba0b63988ff342f028c0eccd797189b1301a407b00f10419a55e772fb7e1f,PREDECISION_ONLY_NO_MFE_MAE_TP_SL_PNL
NQ_MBO_SNAPSHOT_2022-08-31_LB_20220831_093400_SELL_0001,LB_20220831_093400_SELL_0001,2022-08-31,2022,SELL,B,NQU2,2022-08-31T13:34:00+00:00,2022-08-31T13:34:01.039000+00:00,12434.0,12.0,12,250.0,500.0,1496,1890,11.0,12.0,474.0,23.0,1.0,0.0,19.0,1,0,13,0,9,0,2022-08-31T13:34:00.498734221+00:00,True,0,0.9166666666666666,1.0,0.043478260869565216,0.0,0.4810126582278481,0.805064978,0.0,0.0,B_CLEAN_BREAKOUT,MBO_SNAPSHOT_PILOT_V1_20260723,084924b3c8bf0f485a80d2e7b0deff6872c43a740ef84af9d851307bea495349,PREDECISION_ONLY_NO_MFE_MAE_TP_SL_PNL
NQ_MBO_SNAPSHOT_2022-09-01_LB_20220901_093124_SELL_0002,LB_20220901_093124_SELL_0002,2022-09-01,2022,SELL,B,NQU2,2022-09-01T13:31:24+00:00,2022-09-01T13:31:25.053000+00:00,12166.0,12.0,11,250.0,500.0,574,1794,3.0,23.0,35.0,24.0,6.0,0.0,11.0,3,0,22,0,0,0,2022-09-01T13:31:24.497863453+00:00,True,0,0.25,1.9166666666666667,0.23076923076923078,0.0,3.771428571428572,0.971127858,0.0,0.0,B_CLEAN_BREAKOUT,MBO_SNAPSHOT_PILOT_V1_20260723,eacc34171f237488e608c8b689656e16842abdc9ca4844da71d08c5856602e1b,PREDECISION_ONLY_NO_MFE_MAE_TP_SL_PNL
NQ_MBO_SNAPSHOT_2022-09-06_LB_20220906_093405_BUY_0001,LB_20220906_093405_BUY_0001,2022-09-06,2022,BUY,A,NQU2,2022-09-06T13:34:05+00:00,2022-09-06T13:34:06.074000+00:00,12102.25,8.0,8,250.0,500.0,347,532,17.0,26.0,22.0,41.0,0.0,0.0,0.0,8,0,34,5,0,0,2022-09-06T13:34:05.499712477+00:00,True,0,2.125,3.25,0.0,0.0,0.0,0.770370378,0.0,0.14705882352941177,C_MIXED_PATH,MBO_SNAPSHOT_PILOT_V1_20260723,cdefab0d8ee371c1033d0f0ba7a5c681d29f37c98e7ec612284345ebd52430ad,PREDECISION_ONLY_NO_MFE_MAE_TP_SL_PNL
NQ_MBO_SNAPSHOT_2022-09-28_LB_20220928_093328_SELL_0001,LB_20220928_093328_SELL_0001,2022-09-28,2022,SELL,B,NQZ2,2022-09-28T13:33:28+00:00,2022-09-28T13:33:29.039000+00:00,11301.0,18.0,10,250.0,500.0,356,1267,13.0,35.0,13.0,42.0,5.0,0.0,4.0,4,0,39,0,0,0,2022-09-28T13:33:28.499466839+00:00,True,0,0.7222222222222222,1.9444444444444444,0.10416666666666667,0.0,5.538461538461538,0.730474966,0.0,0.0,B_CLEAN_BREAKOUT,MBO_SNAPSHOT_PILOT_V1_20260723,a18dc81cf11419fe473cd80131abd7e217ac222b40eb4853bced2855d8ea2bb3,PREDECISION_ONLY_NO_MFE_MAE_TP_SL_PNL
NQ_MBO_SNAPSHOT_2022-10-11_LB_20221011_093101_SELL_0001,LB_20221011_093101_SELL_0001,2022-10-11,2022,SELL,B,NQZ2,2022-10-11T13:31:01+00:00,2022-10-11T13:31:02.078000+00:00,10911.0,9.0,9,250.0,500.0,247,988,8.0,36.0,8.0,42.0,0.0,0.0,3.0,7,0,43,18,0,0,2022-10-11T13:31:01.499937989+00:00,True,0,0.8888888888888888,4.0,0.0,0.0,3.375,0.950166598,0.0,0.4186046511627907,C_MIXED_PATH,MBO_SNAPSHOT_PILOT_V1_20260723,b3403fd967412a8cd783b71b5688307ea9c0fa6a6d59c896854ad497ec4ce069,PREDECISION_ONLY_NO_MFE_MAE_TP_SL_PNL
NQ_MBO_SNAPSHOT_2022-10-18_LB_20221018_093155_SELL_0001,LB_20221018_093155_SELL_0001,2022-10-18,2022,SELL,B,NQZ2,2022-10-18T13:31:55+00:00,2022-10-18T13:31:56.038000+00:00,11400.0,9.0,8,250.0,500.0,259,595,4.0,10.0,19.0,14.0,0.0,0.0,4.0,4,0,12,2,0,0,2022-10-18T13:31:55.499787415+00:00,True,0,0.4444444444444444,1.1111111111111112,0.0,0.0,1.894736842105263,0.997069678,0.0,0.16666666666666666,C_MIXED_PATH,MBO_SNAPSHOT_PILOT_V1_20260723,6349d692a2ada28b32c2a39c73c8a3ae26177d72c93438b5fdd33489762aef8e,PREDECISION_ONLY_NO_MFE_MAE_TP_SL_PNL
NQ_MBO_SNAPSHOT_2022-10-25_LB_20221025_093119_BUY_0001,LB_20221025_093119_BUY_0001,2022-10-25,2022,BUY,A,NQZ2,2022-10-25T13:31:19+00:00,2022-10-25T13:31:20.076000+00:00,11547.5,14.0,11,250.0,500.0,253,401,7.0,9.0,7.0,14.0,0.0,8.0,0.0,3,0,12,0,0,0,2022-10-25T13:31:19.498779415+00:00,True,0,0.5,0.6428571428571429,0.0,0.5714285714285714,0.0,0.070122266,0.0,0.0,B_CLEAN_BREAKOUT,MBO_SNAPSHOT_PILOT_V1_20260723,06df04894218405f61e7c71b52368299090a620850ada9e106ec445e426150b7,PREDECISION_ONLY_NO_MFE_MAE_TP_SL_PNL
