CaseID,png_sha256,png_bytes,saturation_fraction,packets,excluded_boundary_records,unknown_state_rows,max_event_seconds
HB064,8e6ea2693602cf1d3c0e54d5cb8de545be329c4b7f095a02b7ae35fc1e139653,205406,0.020744931636020744,3579,1,0,4.996913
HB065,a0041f0548ce06fe4578327c380ccc72857acc4d0a5d179635e633192db1b87d,192792,0.04148986327204149,3723,1,0,4.992365
HB066,b46f8bf78f794a608e26b09de8283a9cdb75a8185a782f7b5799789bce73871e,167150,0.010843941537010843,6449,1,0,4.996579
HB067,fa1811c647c861b8f645d7d31407101b39feeae51e909bb0f03ae9409ab224fe,149816,0.009900990099009901,5234,1,0,4.999066
HB068,715b69bb63d6a96156ca2502c0a6c371b12f3c1ccc2aa5349045ab252a2e2795,152140,0.016973125884016973,6564,1,0,4.99985
HB069,c6e357fccc4114829495c066783ddbb0f5965dbdb745a4fa36a8341602874c33,194835,0.03536067892503536,8098,1,0,4.999845
HB070,b6a807256186945ea6ffb3f2f9267c9a665104728223b4dac6c671c90b087a6e,212052,0.010372465818010372,8595,1,0,4.998161
HB071,4bfc79187d4ac01e30e06b106bac209faa8eeb502fffec509341e1489e3ca0ef,207691,0.013672795851013672,4233,7,0,4.999944
HB072,70ffd377f9d20588f8a8f6d161b0f7fb28d88922bf9e370e8b7bed7b1bcde044,137899,0.024045261669024046,5328,1,0,4.999909
HB073,1d30751e9aaae1f80c744ff86693dabf7ac09bfe6d777b266ce32d529de65633,227755,0.01603017444601603,8087,1,0,4.99999
HB074,f474ebcbda84ec11a5666ab3f7d7b301606f456158bacc334e285ea4316e8815,200752,0.016973125884016973,5945,3,0,4.995909
HB075,adf6c675727e3f59abb42379135747b2a9d88ed5f571201ddbd5b003250e73a4,227323,0.018387553041018388,7724,3,0,4.997629
HB076,a5491f42d02d99437d9d04879872c3fbcff511208fa1df725d14634604a358b1,196485,0.02593116454502593,4551,3,0,4.997274
