concept,action,train_end,test_start,test_end,threshold,n,wins,losses,wr,pf_gross,pf_after_2t,wilson_low
CONT_trade_sign_ema_8,CONT,2025-12-26,2025-12-29,2026-02-23,0.7826796812605482,22,7,15,0.3181818181818182,0.4666666666666667,0.4083333333333333,0.16360593181356248
CONT_trade_sign_ema_8,CONT,2026-02-23,2026-02-24,2026-04-22,0.11281989679706823,38,19,19,0.5,1.0,0.875,0.3484992836439511
CONT_trade_sign_ema_8,CONT,2026-04-22,2026-04-23,2026-06-17,-0.7389647207286373,40,23,17,0.575,1.3529411764705883,1.1838235294117647,0.42195068541991076
CONT_trade_sign_ema_8,CONT,2026-06-17,2026-06-19,2026-06-26,-0.7389647207286373,6,4,2,0.6666666666666666,2.0,1.75,0.2999933151383921
CONT_trade_sign_ema_32,CONT,2025-07-08,2025-07-09,2025-09-02,0.31365340907746514,23,9,14,0.391304347826087,0.6428571428571429,0.5625,0.2215762279247795
CONT_trade_sign_ema_32,CONT,2025-09-02,2025-09-03,2025-10-29,0.255186554950307,31,12,19,0.3870967741935484,0.631578947368421,0.5526315789473685,0.23733101420380254
CONT_trade_sign_ema_32,CONT,2025-10-29,2025-10-30,2025-12-26,0.2539009580822019,34,22,12,0.6470588235294118,1.8333333333333333,1.6041666666666667,0.4791396311978175
CONT_trade_sign_ema_32,CONT,2025-12-26,2025-12-29,2026-02-23,0.31365340907746514,33,12,21,0.36363636363636365,0.5714285714285714,0.5,0.2218717823524236
CONT_trade_sign_ema_32,CONT,2026-02-23,2026-02-24,2026-04-22,0.259693526156377,36,18,18,0.5,1.0,0.875,0.34474325409626827
CONT_trade_sign_ema_32,CONT,2026-04-22,2026-04-23,2026-06-17,0.26600710649157294,26,13,13,0.5,1.0,0.875,0.32060593525759046
CONT_trade_sign_ema_32,CONT,2026-06-17,2026-06-19,2026-06-26,-0.28527492374008295,6,4,2,0.6666666666666666,2.0,1.75,0.2999933151383921
CONT_trade_sign_ema_128,CONT,2025-07-08,2025-07-09,2025-09-02,0.1346423923034519,31,12,19,0.3870967741935484,0.631578947368421,0.5526315789473685,0.23733101420380254
CONT_trade_sign_ema_128,CONT,2025-09-02,2025-09-03,2025-10-29,-0.20775792466348897,40,16,24,0.4,0.6666666666666666,0.5833333333333334,0.26348325684291923
CONT_trade_sign_ema_128,CONT,2025-10-29,2025-10-30,2025-12-26,0.060986815670526384,35,22,13,0.6285714285714286,1.6923076923076923,1.4807692307692308,0.4633693684359532
CONT_trade_sign_ema_128,CONT,2025-12-26,2025-12-29,2026-02-23,0.06050115736088298,37,16,21,0.43243243243243246,0.7619047619047619,0.6666666666666666,0.28671719277157315
CONT_trade_sign_ema_128,CONT,2026-02-23,2026-02-24,2026-04-22,0.060986815670526384,38,20,18,0.5263157894736842,1.1111111111111112,0.9722222222222222,0.37258971384496675
CONT_trade_sign_ema_128,CONT,2026-04-22,2026-04-23,2026-06-17,0.06933504186344505,33,18,15,0.5454545454545454,1.2,1.05,0.3798593853621746
CONT_trade_sign_ema_128,CONT,2026-06-17,2026-06-19,2026-06-26,-0.37943608809957424,6,4,2,0.6666666666666666,2.0,1.75,0.2999933151383921
CONT_sweep_alignment,CONT,2025-07-08,2025-07-09,2025-09-02,-0.7647058823529411,40,17,23,0.425,0.7391304347826086,0.6467391304347826,0.28509392559950375
CONT_sweep_alignment,CONT,2025-09-02,2025-09-03,2025-10-29,-0.7647058823529411,40,16,24,0.4,0.6666666666666666,0.5833333333333334,0.26348325684291923
CONT_sweep_alignment,CONT,2025-10-29,2025-10-30,2025-12-26,-0.7647058823529411,40,25,15,0.625,1.6666666666666667,1.4583333333333333,0.4703243913730111
CONT_sweep_alignment,CONT,2025-12-26,2025-12-29,2026-02-23,-0.7647058823529411,40,17,23,0.425,0.7391304347826086,0.6467391304347826,0.28509392559950375
CONT_sweep_alignment,CONT,2026-02-23,2026-02-24,2026-04-22,-0.7647058823529411,40,21,19,0.525,1.105263157894737,0.9671052631578947,0.3749736210669248
CONT_sweep_alignment,CONT,2026-04-22,2026-04-23,2026-06-17,-0.7647058823529411,40,23,17,0.575,1.3529411764705883,1.1838235294117647,0.42195068541991076
CONT_sweep_alignment,CONT,2026-06-17,2026-06-19,2026-06-26,-0.7647058823529411,6,4,2,0.6666666666666666,2.0,1.75,0.2999933151383921
CONT_liquidity_alignment,CONT,2025-07-08,2025-07-09,2025-09-02,-0.3333333333333333,40,17,23,0.425,0.7391304347826086,0.6467391304347826,0.28509392559950375
CONT_liquidity_alignment,CONT,2025-09-02,2025-09-03,2025-10-29,-0.002866241382646518,21,6,15,0.2857142857142857,0.4,0.35,0.13813862952122136
CONT_liquidity_alignment,CONT,2025-10-29,2025-10-30,2025-12-26,-0.3333333333333333,40,25,15,0.625,1.6666666666666667,1.4583333333333333,0.4703243913730111
CONT_liquidity_alignment,CONT,2025-12-26,2025-12-29,2026-02-23,-0.3333333333333333,40,17,23,0.425,0.7391304347826086,0.6467391304347826,0.28509392559950375
CONT_liquidity_alignment,CONT,2026-02-23,2026-02-24,2026-04-22,-0.3333333333333333,40,21,19,0.525,1.105263157894737,0.9671052631578947,0.3749736210669248
CONT_liquidity_alignment,CONT,2026-04-22,2026-04-23,2026-06-17,-0.3333333333333333,40,23,17,0.575,1.3529411764705883,1.1838235294117647,0.42195068541991076
CONT_liquidity_alignment,CONT,2026-06-17,2026-06-19,2026-06-26,-0.3333333333333333,6,4,2,0.6666666666666666,2.0,1.75,0.2999933151383921
CONT_spoof_alignment,CONT,2025-07-08,2025-07-09,2025-09-02,-1.0,40,17,23,0.425,0.7391304347826086,0.6467391304347826,0.28509392559950375
CONT_spoof_alignment,CONT,2025-09-02,2025-09-03,2025-10-29,-1.0,40,16,24,0.4,0.6666666666666666,0.5833333333333334,0.26348325684291923
CONT_spoof_alignment,CONT,2025-10-29,2025-10-30,2025-12-26,-1.0,40,25,15,0.625,1.6666666666666667,1.4583333333333333,0.4703243913730111
CONT_spoof_alignment,CONT,2025-12-26,2025-12-29,2026-02-23,-1.0,40,17,23,0.425,0.7391304347826086,0.6467391304347826,0.28509392559950375
CONT_spoof_alignment,CONT,2026-02-23,2026-02-24,2026-04-22,-1.0,40,21,19,0.525,1.105263157894737,0.9671052631578947,0.3749736210669248
CONT_spoof_alignment,CONT,2026-04-22,2026-04-23,2026-06-17,-1.0,40,23,17,0.575,1.3529411764705883,1.1838235294117647,0.42195068541991076
CONT_spoof_alignment,CONT,2026-06-17,2026-06-19,2026-06-26,-1.0,6,4,2,0.6666666666666666,2.0,1.75,0.2999933151383921
CONT_vpin_drive,CONT,2025-07-08,2025-07-09,2025-09-02,0.017170529319443472,35,17,18,0.4857142857142857,0.9444444444444444,0.8263888888888888,0.32994236002509736
CONT_vpin_drive,CONT,2025-09-02,2025-09-03,2025-10-29,0.016641154379564014,35,13,22,0.37142857142857144,0.5909090909090909,0.5170454545454546,0.23165819503365723
CONT_vpin_drive,CONT,2025-10-29,2025-10-30,2025-12-26,0.016386125195603268,36,22,14,0.6111111111111112,1.5714285714285714,1.375,0.44864459096605147
CONT_vpin_drive,CONT,2025-12-26,2025-12-29,2026-02-23,0.01640120340649106,35,15,20,0.42857142857142855,0.75,0.65625,0.2798456817718069
CONT_vpin_drive,CONT,2026-02-23,2026-02-24,2026-04-22,0.01608591766011705,36,19,17,0.5277777777777778,1.1176470588235294,0.9779411764705882,0.37005938022987606
CONT_vpin_drive,CONT,2026-04-22,2026-04-23,2026-06-17,0.01608591766011705,36,21,15,0.5833333333333334,1.4,1.225,0.4220025157487167
CONT_vpin_drive,CONT,2026-06-17,2026-06-19,2026-06-26,0.01608591766011705,4,3,1,0.75,3.0,2.625,0.300641842582402
CONT_thin_profile,CONT,2025-07-08,2025-07-09,2025-09-02,0.11666448207114033,35,17,18,0.4857142857142857,0.9444444444444444,0.8263888888888888,0.32994236002509736
CONT_thin_profile,CONT,2025-09-02,2025-09-03,2025-10-29,0.11419296745366098,34,13,21,0.38235294117647056,0.6190476190476191,0.5416666666666666,0.23900183324508906
CONT_thin_profile,CONT,2025-10-29,2025-10-30,2025-12-26,0.10783511959499334,36,23,13,0.6388888888888888,1.7692307692307692,1.5480769230769231,0.4757507548555804
CONT_thin_profile,CONT,2025-12-26,2025-12-29,2026-02-23,0.10783511959499334,36,15,21,0.4166666666666667,0.7142857142857143,0.625,0.2714056205144606
CONT_thin_profile,CONT,2026-02-23,2026-02-24,2026-04-22,0.10783511959499335,36,19,17,0.5277777777777778,1.1176470588235294,0.9779411764705882,0.37005938022987606
CONT_thin_profile,CONT,2026-04-22,2026-04-23,2026-06-17,0.10783511959499335,34,20,14,0.5882352941176471,1.4285714285714286,1.25,0.42221593878812513
CONT_thin_profile,CONT,2026-06-17,2026-06-19,2026-06-26,0.10436568718624613,4,3,1,0.75,3.0,2.625,0.300641842582402
