date,year,ny_utc_offset,season,nq_entry_utc,nq_or_high,nq_or_low,es_or_high,es_or_low,es_last_utc,es_lag_seconds,es_last_close,es_confirm,gross_ticks,net_ticks,mae_ticks,mae_net_ticks,exit_reason
2024-01-30,2024,-5,EST_HOLDOUT,2024-01-30T14:31:46+00:00,17675.0,17654.0,4950.0,4946.0,2024-01-30T14:31:45+00:00,1.0,4949.5,False,-60.0,-64.0,-74.0,-78.0,SL
2024-01-31,2024,-5,EST_HOLDOUT,2024-01-31T14:32:26+00:00,17400.75,17372.0,4927.25,4923.25,2024-01-31T14:32:25+00:00,1.0,4925.25,False,-60.0,-64.0,-60.0,-64.0,SL
2024-02-05,2024,-5,EST_HOLDOUT,2024-02-05T14:32:34+00:00,17731.5,17707.75,4973.0,4967.75,2024-02-05T14:32:33+00:00,1.0,4967.0,False,-60.0,-64.0,-65.0,-69.0,SL
2024-02-06,2024,-5,EST_HOLDOUT,2024-02-06T14:31:00+00:00,17765.5,17739.25,4975.0,4969.5,2024-02-06T14:30:59+00:00,1.0,4973.75,False,-60.0,-64.0,-64.0,-68.0,SL
2024-02-13,2024,-5,EST_HOLDOUT,2024-02-13T14:32:32+00:00,17629.5,17586.75,4975.25,4969.25,2024-02-13T14:32:31+00:00,1.0,4974.0,False,60.0,56.0,-39.0,-43.0,TP
2024-02-14,2024,-5,EST_HOLDOUT,2024-02-14T14:31:14+00:00,17810.5,17784.0,5002.25,4997.0,2024-02-14T14:31:13+00:00,1.0,5000.0,False,-60.0,-64.0,-70.0,-74.0,SL
2024-02-15,2024,-5,EST_HOLDOUT,2024-02-15T14:31:02+00:00,17898.75,17880.25,5021.75,5018.5,2024-02-15T14:31:01+00:00,1.0,5021.0,False,-60.0,-64.0,-64.0,-68.0,SL
2024-02-20,2024,-5,EST_HOLDOUT,2024-02-20T14:31:02+00:00,17680.75,17649.5,5004.0,5000.5,2024-02-20T14:31:01+00:00,1.0,5004.25,True,60.0,56.0,-3.0,-7.0,TP
2024-02-21,2024,-5,EST_HOLDOUT,2024-02-21T14:31:47+00:00,17495.25,17464.0,4980.0,4976.5,2024-02-21T14:31:46+00:00,1.0,4976.5,False,60.0,56.0,-3.0,-7.0,TP
2024-02-23,2024,-5,EST_HOLDOUT,2024-02-23T14:31:07+00:00,18115.5,18097.0,5115.75,5112.75,2024-02-23T14:31:06+00:00,1.0,5115.0,False,60.0,56.0,-40.0,-44.0,TP
2024-02-26,2024,-5,EST_HOLDOUT,2024-02-26T14:31:03+00:00,18038.5,18009.75,5105.0,5102.25,2024-02-26T14:31:02+00:00,1.0,5105.0,False,-60.0,-64.0,-64.0,-68.0,SL
2024-02-27,2024,-5,EST_HOLDOUT,2024-02-27T14:31:00+00:00,18020.5,18000.75,5087.0,5084.0,2024-02-27T14:30:59+00:00,1.0,5085.5,False,-60.0,-64.0,-61.0,-65.0,SL
2024-02-29,2024,-5,EST_HOLDOUT,2024-02-29T14:31:02+00:00,18055.0,18020.75,5100.5,5097.5,2024-02-29T14:31:01+00:00,1.0,5099.25,False,60.0,56.0,-58.0,-62.0,TP
2024-03-01,2024,-5,EST_HOLDOUT,2024-03-01T14:31:31+00:00,18121.0,18093.75,5111.5,5105.0,2024-03-01T14:31:30+00:00,1.0,5110.25,False,60.0,56.0,-19.0,-23.0,TP
2024-03-06,2024,-5,EST_HOLDOUT,2024-03-06T14:31:01+00:00,18121.5,18100.75,5121.5,5117.0,2024-03-06T14:31:00+00:00,1.0,5118.25,False,-60.0,-64.0,-68.0,-72.0,SL
2024-03-18,2024,-4,EDT_SEEN,2024-03-18T13:31:21+00:00,18298.5,18277.5,5227.25,5224.75,2024-03-18T13:31:20+00:00,1.0,5228.5,True,60.0,56.0,-30.0,-34.0,TP
2024-03-20,2024,-4,EDT_SEEN,2024-03-20T13:31:12+00:00,18333.75,18309.5,5243.5,5240.0,2024-03-20T13:31:11+00:00,1.0,5242.25,False,-60.0,-64.0,-60.0,-64.0,SL
