experiment,feature_set,feature,mechanism_family,mean_abs_shap_oos,spearman_value_vs_shap_oos,median_shap_A_minus_B_oos,coverage_oos_pct,importance_rank
DISCOVERY_TO_NEW,BURST_MECHANISM,Profile_Std_Ticks,AUCTION_CONTEXT,0.021440649913627135,0.817388500253232,-0.019048741678444794,100.0,29
DISCOVERY_TO_NEW,BURST_MECHANISM,PreBurst_Rotation_Index_10s,BURST_INTENSITY,0.02125080665613343,0.1297927939731471,0.0,100.0,30
DISCOVERY_TO_NEW,BURST_MECHANISM,liquidity_absorption_score,BURST_INTENSITY,0.020645140821647517,-0.5643300227637145,0.009814851742048658,100.0,31
DISCOVERY_TO_NEW,BURST_MECHANISM,Delta_Retention_1_3,FLOW_PERSISTENCE,0.01997622874167579,-0.6924775849733656,-0.005098202802855998,100.0,32
DISCOVERY_TO_NEW,BURST_MECHANISM,signed_acceleration_1s,BURST_INTENSITY,0.01979493446697576,0.425025442926998,-0.008442485180444288,100.0,33
DISCOVERY_TO_NEW,BURST_MECHANISM,Flow_3_5_DirectionalVelocityTPS,FLOW_PERSISTENCE,0.019540637745000197,-0.032931894735635125,9.066247791062257e-05,100.0,34
DISCOVERY_TO_NEW,BURST_MECHANISM,Dist_VAL_Ticks,BURST_INTENSITY,0.018680640411129212,0.6845331552845861,0.0013077285781918826,100.0,35
DISCOVERY_TO_NEW,BURST_MECHANISM,Flow_1_3_GrossAggressive,FLOW_PERSISTENCE,0.018661605532555067,-0.7252372060058084,-0.010769415191061726,100.0,36
DISCOVERY_TO_NEW,BURST_MECHANISM,Dist_VAH_Ticks,BURST_INTENSITY,0.01804456727816303,0.8274391641057256,0.0,100.0,37
DISCOVERY_TO_NEW,BURST_MECHANISM,Delta5s,BURST_INTENSITY,0.016169848204185704,-0.44606205555472717,-0.008135012371072711,100.0,38
DISCOVERY_TO_NEW,BURST_MECHANISM,Profile_Effective_Nodes,AUCTION_CONTEXT,0.016129744820619827,0.8564522881444141,-0.00874835457042013,100.0,39
DISCOVERY_TO_NEW,BURST_MECHANISM,PeakNegativeDelta,BURST_INTENSITY,0.01471175308120916,-0.7274591468607456,-0.005639134996310796,100.0,40
DISCOVERY_TO_NEW,BURST_MECHANISM,Dist_HVN_Ticks,BURST_INTENSITY,0.014516566937801059,-0.48446979356556896,-0.0023330348921557762,100.0,41
DISCOVERY_TO_NEW,BURST_MECHANISM,Flow_0_1_TicksPerAggressiveContract,FLOW_PERSISTENCE,0.014154306531109571,-0.005302676970148816,0.008038168009083947,100.0,42
DISCOVERY_TO_NEW,BURST_MECHANISM,Pre_Approach_Distance_Ticks,CROSSING_ANATOMY,0.013216233630725226,0.8779597300825213,0.015090026216658194,100.0,43
DISCOVERY_TO_NEW,BURST_MECHANISM,Realized_Volatility_10s_Ticks,BURST_INTENSITY,0.013027419302481384,-0.2794600129751626,0.003827578272281509,100.0,44
DISCOVERY_TO_NEW,BURST_MECHANISM,DeltaChangeZScore,BURST_INTENSITY,0.012933132802461826,-0.85206851679791,-0.009873945562255862,100.0,45
DISCOVERY_TO_NEW,BURST_MECHANISM,Delta10s,BURST_INTENSITY,0.012083411550169629,-0.6644444215026176,-0.0014989763401036353,100.0,46
DISCOVERY_TO_NEW,BURST_MECHANISM,OR_WidthTicks,AUCTION_CONTEXT,0.011656304028167249,0.8284237229772767,0.0031962598753388603,100.0,47
DISCOVERY_TO_NEW,BURST_MECHANISM,Flow_1_3_DirectionalNetDelta,FLOW_PERSISTENCE,0.01156578167570985,-0.7877572294013122,-0.009224375185611528,100.0,48
DISCOVERY_TO_NEW,BURST_MECHANISM,PreBurst_Path_Efficiency_10s,BURST_INTENSITY,0.011357308745780717,0.8748821855246515,-0.004112587154290427,100.0,49
DISCOVERY_TO_NEW,BURST_MECHANISM,Velocity_Retention_3_5,FLOW_PERSISTENCE,0.011305055606835583,0.5913098616755312,0.0,88.88888888888889,50
DISCOVERY_TO_NEW,BURST_MECHANISM,Profile_Position_Percentile,AUCTION_CONTEXT,0.011207091270198302,0.275535038262557,0.0,100.0,51
DISCOVERY_TO_NEW,BURST_MECHANISM,ContractsPerSecond,BURST_INTENSITY,0.01097632856771647,0.5073698904135907,-0.00413754735353245,100.0,52
DISCOVERY_TO_NEW,BURST_MECHANISM,Flow_0_1_DirectionalNetDelta,FLOW_PERSISTENCE,0.01084118002082646,0.7487245602653569,-0.006601097387898968,100.0,53
DISCOVERY_TO_NEW,BURST_MECHANISM,Flow_1_3_DirectionalVelocityTPS,FLOW_PERSISTENCE,0.010701154332712329,0.797576259942338,0.004831373364971237,100.0,54
DISCOVERY_TO_NEW,BURST_MECHANISM,PreBurst_Price_Per_Delta_3s,EFFORT_RESULT,0.009960938883533247,0.6134643399887234,0.001051127360288737,100.0,55
DISCOVERY_TO_NEW,BURST_MECHANISM,delta_persistence_1_3,BURST_INTENSITY,0.009798028019775886,-0.5033534205948267,-0.007028271604450888,100.0,56
DISCOVERY_TO_NEW,BURST_MECHANISM,Flow_0_1_CounterflowShare,FLOW_PERSISTENCE,0.009716350319156642,0.6206194521804828,0.0049709703379146,100.0,57
DISCOVERY_TO_NEW,BURST_MECHANISM,TicksPerSecond,BURST_INTENSITY,0.009655913643150833,0.8592095235773891,0.0,100.0,58
DISCOVERY_TO_NEW,BURST_MECHANISM,Dist_POC_Ticks,AUCTION_CONTEXT,0.009079974581356893,0.9216260897208506,0.0005813640362366743,100.0,59
DISCOVERY_TO_NEW,BURST_MECHANISM,absorption_pressure_1s,BURST_INTENSITY,0.008739640811228067,0.04862535656889247,0.008297668898471496,100.0,60
DISCOVERY_TO_NEW,BURST_MECHANISM,CumulativeDeltaWindow,BURST_INTENSITY,0.008680679487911316,-0.5339633736952988,-0.021548511580514594,100.0,61
DISCOVERY_TO_NEW,BURST_MECHANISM,Dist_OR_High_Ticks,AUCTION_CONTEXT,0.008291766720373362,0.2482233254872304,0.0,100.0,62
DISCOVERY_TO_NEW,BURST_MECHANISM,delta_share_of_volume,BURST_INTENSITY,0.008092426341959747,-0.27215209043982974,-0.001450724979378952,100.0,63
