fecha,BurstId,burst_side,decision_utc,resolved_raw_symbol,pre_path,outcome_path,state_cache_path,pre_records_scanned,completed_packets,active_orders_at_decision,active_bid_orders,active_ask_orders,best_bid,best_ask,pre_overlap_records,outcome_overlap_records,overlap_logical_sha256,overlap_exact,late_received_predecision_exchange_records,post_decision_receive_records,last_pre_complete_ts_recv,last_pre_complete_ts_event,first_post_ts_recv,first_post_ts_event,unknown_modify_during_full_reconstruction,unknown_cancel_during_full_reconstruction,maybe_bad_book_records,sequence_regressions,tail_incomplete_records,information_status,overlap_prefix_exact,cross_boundary_uncommitted_records,cross_boundary_tail_has_f_last,strict_feature_cutoff_utc_exclusive,strategy_decision_utc,cutoff_to_strategy_decision_ms,uncommitted_tail_count_match
2022-10-25,LB_20221025_093119_BUY_0001,BUY,2022-10-25T13:31:20.076000+00:00,NQZ2,C:\Users\k_99_\Desktop\codding\data_footprint_generator\databento_mbo\liquidity_burst_snapshot_discovery100_20260723\NQ_MBO_SNAPSHOT_2022-10-25_LB_20221025_093119_BUY_0001.mbo.dbn.zst,C:\Users\k_99_\Desktop\codding\data_footprint_generator\databento_mbo\joint_ab_v4_outcome98_20260724\NQ_JOINT_AB_V4_MBO_2022-10-25_LB_20221025_093119_BUY_0001_PAD100MS.mbo.dbn.zst,C:\Users\k_99_\Desktop\codding\OpeningRangeSetup\EddiewareOpeningRangeSetup\EddiewareOpeningRangeSetup\contexto_codex_claude\mechanical_book_v1\state_cache\LB_20221025_093119_BUY_0001.state.parquet,2781659,2512195,3781,2102,1679,11552.0,11552.5,202,202,a3cd0f240194e2716cf469995eb8e4923d1b2ca6fe6ff4ebc1378b7b14ecd77c,True,0,5536,2022-10-25T13:31:20.072509319+00:00,2022-10-25T13:31:20.072404439+00:00,2022-10-25T13:31:20.076277266+00:00,2022-10-25T13:31:20.076091919+00:00,0,0,0,0,0,CAUSAL_HANDOFF_INFRASTRUCTURE,True,0,False,,,,True
2022-10-26,LB_20221026_093108_SELL_0002,SELL,2022-10-26T13:31:09.077000+00:00,NQZ2,C:\Users\k_99_\Desktop\codding\data_footprint_generator\databento_mbo\liquidity_burst_snapshot_discovery100_20260723\NQ_MBO_SNAPSHOT_2022-10-26_LB_20221026_093108_SELL_0002.mbo.dbn.zst,C:\Users\k_99_\Desktop\codding\data_footprint_generator\databento_mbo\joint_ab_v4_outcome98_20260724\NQ_JOINT_AB_V4_MBO_2022-10-26_LB_20221026_093108_SELL_0002_PAD100MS.mbo.dbn.zst,C:\Users\k_99_\Desktop\codding\OpeningRangeSetup\EddiewareOpeningRangeSetup\EddiewareOpeningRangeSetup\contexto_codex_claude\mechanical_book_v1\state_cache\LB_20221026_093108_SELL_0002.state.parquet,2975809,2677982,3603,1527,2076,11433.5,11434.0,291,291,750b92fa6aa80e21cd6193023a431f4e05eb9a56eae9100277b086ea45ec8ea6,True,7,7668,2022-10-26T13:31:09.076876361+00:00,2022-10-26T13:31:09.076771789+00:00,2022-10-26T13:31:09.077038440+00:00,2022-10-26T13:31:09.076934689+00:00,0,0,0,0,0,CAUSAL_HANDOFF_INFRASTRUCTURE,True,0,False,,,,True
2022-10-27,LB_20221027_093628_SELL_0001,SELL,2022-10-27T13:36:29.053000+00:00,NQZ2,C:\Users\k_99_\Desktop\codding\data_footprint_generator\databento_mbo\liquidity_burst_snapshot_discovery100_20260723\NQ_MBO_SNAPSHOT_2022-10-27_LB_20221027_093628_SELL_0001.mbo.dbn.zst,C:\Users\k_99_\Desktop\codding\data_footprint_generator\databento_mbo\joint_ab_v4_outcome98_20260724\NQ_JOINT_AB_V4_MBO_2022-10-27_LB_20221027_093628_SELL_0001_PAD100MS.mbo.dbn.zst,C:\Users\k_99_\Desktop\codding\OpeningRangeSetup\EddiewareOpeningRangeSetup\EddiewareOpeningRangeSetup\contexto_codex_claude\mechanical_book_v1\state_cache\LB_20221027_093628_SELL_0001.state.parquet,3742295,3336764,3935,1655,2280,11396.25,11397.0,233,233,e79fe19d2ec1fb257d2388de658a9ef569b4a2e4c29b7976a3985d7e557befe6,True,0,6351,2022-10-27T13:36:29.049764801+00:00,2022-10-27T13:36:29.049665103+00:00,2022-10-27T13:36:29.053340472+00:00,2022-10-27T13:36:29.053050229+00:00,0,0,0,0,0,CAUSAL_HANDOFF_INFRASTRUCTURE,True,0,False,,,,True
2022-10-28,LB_20221028_093127_BUY_0001,BUY,2022-10-28T13:31:28.046000+00:00,NQZ2,C:\Users\k_99_\Desktop\codding\data_footprint_generator\databento_mbo\liquidity_burst_snapshot_discovery100_20260723\NQ_MBO_SNAPSHOT_2022-10-28_LB_20221028_093127_BUY_0001.mbo.dbn.zst,C:\Users\k_99_\Desktop\codding\data_footprint_generator\databento_mbo\joint_ab_v4_outcome98_20260724\NQ_JOINT_AB_V4_MBO_2022-10-28_LB_20221028_093127_BUY_0001_PAD100MS.mbo.dbn.zst,C:\Users\k_99_\Desktop\codding\OpeningRangeSetup\EddiewareOpeningRangeSetup\EddiewareOpeningRangeSetup\contexto_codex_claude\mechanical_book_v1\state_cache\LB_20221028_093127_BUY_0001.state.parquet,3552029,3182970,3761,2032,1729,11252.5,11253.0,148,148,77c6a6fa7959acc91bbd9278ec252b74759871040a8e3f7c0a746be29635235a,True,0,7475,2022-10-28T13:31:28.045619545+00:00,2022-10-28T13:31:28.045435393+00:00,2022-10-28T13:31:28.052503734+00:00,2022-10-28T13:31:28.052403389+00:00,0,0,0,0,0,CAUSAL_HANDOFF_INFRASTRUCTURE,True,0,False,,,,True
2022-11-03,LB_20221103_093349_BUY_0001,BUY,2022-11-03T13:33:50.021000+00:00,NQZ2,C:\Users\k_99_\Desktop\codding\data_footprint_generator\databento_mbo\liquidity_burst_snapshot_discovery100_20260723\NQ_MBO_SNAPSHOT_2022-11-03_LB_20221103_093349_BUY_0001.mbo.dbn.zst,C:\Users\k_99_\Desktop\codding\data_footprint_generator\databento_mbo\joint_ab_v4_outcome98_20260724\NQ_JOINT_AB_V4_MBO_2022-11-03_LB_20221103_093349_BUY_0001_PAD100MS.mbo.dbn.zst,C:\Users\k_99_\Desktop\codding\OpeningRangeSetup\EddiewareOpeningRangeSetup\EddiewareOpeningRangeSetup\contexto_codex_claude\mechanical_book_v1\state_cache\LB_20221103_093349_BUY_0001.state.parquet,3001351,2664566,3663,1652,2011,10845.25,10845.75,186,186,2175c33e7de4f4e54735d152deb9ecefd38d43f0c4e6e108f4d81043e530516a,True,1,7913,2022-11-03T13:33:50.020956393+00:00,2022-11-03T13:33:50.020863321+00:00,2022-11-03T13:33:50.021001117+00:00,2022-11-03T13:33:50.020901929+00:00,0,0,0,0,0,CAUSAL_HANDOFF_INFRASTRUCTURE,True,0,False,,,,True
2023-03-21,LB_20230321_093130_BUY_0001,BUY,2023-03-21T13:31:31.049000+00:00,NQM3,C:\Users\k_99_\Desktop\codding\data_footprint_generator\databento_mbo\liquidity_burst_snapshot_discovery100_20260723\NQ_MBO_SNAPSHOT_2023-03-21_LB_20230321_093130_BUY_0001.mbo.dbn.zst,C:\Users\k_99_\Desktop\codding\data_footprint_generator\databento_mbo\joint_ab_v4_outcome98_20260724\NQ_JOINT_AB_V4_MBO_2023-03-21_LB_20230321_093130_BUY_0001_PAD100MS.mbo.dbn.zst,C:\Users\k_99_\Desktop\codding\OpeningRangeSetup\EddiewareOpeningRangeSetup\EddiewareOpeningRangeSetup\contexto_codex_claude\mechanical_book_v1\state_cache\LB_20230321_093130_BUY_0001.state.parquet,1964063,1759354,4100,2546,1554,12800.0,12800.5,565,565,e8fd0eec88f6ca9e9f7d142b4870e3f8f5e2bb8e65144714eb65519b55a663d2,True,0,4228,2023-03-21T13:31:31.041901613+00:00,2023-03-21T13:31:31.041809285+00:00,2023-03-21T13:31:31.049751795+00:00,2023-03-21T13:31:31.049580721+00:00,0,0,0,0,0,CAUSAL_HANDOFF_INFRASTRUCTURE,True,0,False,2023-03-21T13:31:31.049000+00:00,2023-03-21T13:31:31.049993+00:00,0.993,True
2023-03-28,LB_20230328_093202_SELL_0001,SELL,2023-03-28T13:32:03.022000+00:00,NQM3,C:\Users\k_99_\Desktop\codding\data_footprint_generator\databento_mbo\liquidity_burst_snapshot_discovery100_20260723\NQ_MBO_SNAPSHOT_2023-03-28_LB_20230328_093202_SELL_0001.mbo.dbn.zst,C:\Users\k_99_\Desktop\codding\data_footprint_generator\databento_mbo\joint_ab_v4_outcome98_20260724\NQ_JOINT_AB_V4_MBO_2023-03-28_LB_20230328_093202_SELL_0001_PAD100MS.mbo.dbn.zst,C:\Users\k_99_\Desktop\codding\OpeningRangeSetup\EddiewareOpeningRangeSetup\EddiewareOpeningRangeSetup\contexto_codex_claude\mechanical_book_v1\state_cache\LB_20230328_093202_SELL_0001.state.parquet,1528319,1355147,4667,2155,2512,12748.5,12749.0,96,96,cebd90b022ad333727cc0e4bb94d8d49ae626434c5e4d6441485968a05ecfe6e,True,0,8091,2023-03-28T13:32:03.021043323+00:00,2023-03-28T13:32:03.020955681+00:00,2023-03-28T13:32:03.022753397+00:00,2023-03-28T13:32:03.022568749+00:00,0,0,0,0,0,CAUSAL_HANDOFF_INFRASTRUCTURE,True,0,False,2023-03-28T13:32:03.022000+00:00,2023-03-28T13:32:03.022952+00:00,0.952,True
2023-04-03,LB_20230403_093250_BUY_0001,BUY,2023-04-03T13:32:51.099000+00:00,NQM3,C:\Users\k_99_\Desktop\codding\data_footprint_generator\databento_mbo\liquidity_burst_snapshot_discovery100_20260723\NQ_MBO_SNAPSHOT_2023-04-03_LB_20230403_093250_BUY_0001.mbo.dbn.zst,C:\Users\k_99_\Desktop\codding\data_footprint_generator\databento_mbo\joint_ab_v4_outcome98_20260724\NQ_JOINT_AB_V4_MBO_2023-04-03_LB_20230403_093250_BUY_0001_PAD100MS.mbo.dbn.zst,C:\Users\k_99_\Desktop\codding\OpeningRangeSetup\EddiewareOpeningRangeSetup\EddiewareOpeningRangeSetup\contexto_codex_claude\mechanical_book_v1\state_cache\LB_20230403_093250_BUY_0001.state.parquet,1769938,1559743,4973,2894,2079,13217.25,13217.5,83,83,6ff16f7c708b7f81075971e1adfbbab79fdf40d748f22327fc1e0201e914a223,True,0,4387,2023-04-03T13:32:51.096951650+00:00,2023-04-03T13:32:51.096841143+00:00,2023-04-03T13:32:51.099769187+00:00,2023-04-03T13:32:51.099580369+00:00,0,0,0,0,0,CAUSAL_HANDOFF_INFRASTRUCTURE,True,0,False,2023-04-03T13:32:51.099000+00:00,2023-04-03T13:32:51.099847+00:00,0.847,True
2023-04-04,LB_20230404_093600_SELL_0001,SELL,2023-04-04T13:36:01.053000+00:00,NQM3,C:\Users\k_99_\Desktop\codding\data_footprint_generator\databento_mbo\liquidity_burst_snapshot_discovery100_20260723\NQ_MBO_SNAPSHOT_2023-04-04_LB_20230404_093600_SELL_0001.mbo.dbn.zst,C:\Users\k_99_\Desktop\codding\data_footprint_generator\databento_mbo\joint_ab_v4_outcome98_20260724\NQ_JOINT_AB_V4_MBO_2023-04-04_LB_20230404_093600_SELL_0001_PAD100MS.mbo.dbn.zst,C:\Users\k_99_\Desktop\codding\OpeningRangeSetup\EddiewareOpeningRangeSetup\EddiewareOpeningRangeSetup\contexto_codex_claude\mechanical_book_v1\state_cache\LB_20230404_093600_SELL_0001.state.parquet,1772519,1566896,4771,2350,2421,13269.75,13270.0,153,153,e37882c3e85c4c488b73aa5c39b09deadec05fb8a81b0ea28fe2ecb964009aee,True,1,4868,2023-04-04T13:36:01.052954409+00:00,2023-04-04T13:36:01.052856491+00:00,2023-04-04T13:36:01.053073835+00:00,2023-04-04T13:36:01.052983479+00:00,0,0,0,0,0,CAUSAL_HANDOFF_INFRASTRUCTURE,True,0,False,2023-04-04T13:36:01.053000+00:00,2023-04-04T13:36:01.053737+00:00,0.737,True
2023-04-19,LB_20230419_093353_SELL_0001,SELL,2023-04-19T13:33:54.064000+00:00,NQM3,C:\Users\k_99_\Desktop\codding\data_footprint_generator\databento_mbo\liquidity_burst_snapshot_discovery100_20260723\NQ_MBO_SNAPSHOT_2023-04-19_LB_20230419_093353_SELL_0001.mbo.dbn.zst,C:\Users\k_99_\Desktop\codding\data_footprint_generator\databento_mbo\joint_ab_v4_outcome98_20260724\NQ_JOINT_AB_V4_MBO_2023-04-19_LB_20230419_093353_SELL_0001_PAD100MS.mbo.dbn.zst,C:\Users\k_99_\Desktop\codding\OpeningRangeSetup\EddiewareOpeningRangeSetup\EddiewareOpeningRangeSetup\contexto_codex_claude\mechanical_book_v1\state_cache\LB_20230419_093353_SELL_0001.state.parquet,2014313,1803064,5115,2874,2241,13104.75,13105.0,118,118,4b8cb9a52cfde3801c646f7d7a5809d65ea5b5a2868facc59fa4b7f0812c3e22,True,1,5344,2023-04-19T13:33:54.063880290+00:00,2023-04-19T13:33:54.063798351+00:00,2023-04-19T13:33:54.064019990+00:00,2023-04-19T13:33:54.063931897+00:00,0,0,0,0,0,CAUSAL_HANDOFF_INFRASTRUCTURE,True,0,False,2023-04-19T13:33:54.064000+00:00,2023-04-19T13:33:54.064843+00:00,0.843,True
2023-04-26,LB_20230426_093201_SELL_0001,SELL,2023-04-26T13:32:02.055000+00:00,NQM3,C:\Users\k_99_\Desktop\codding\data_footprint_generator\databento_mbo\liquidity_burst_snapshot_discovery100_20260723\NQ_MBO_SNAPSHOT_2023-04-26_LB_20230426_093201_SELL_0001.mbo.dbn.zst,C:\Users\k_99_\Desktop\codding\data_footprint_generator\databento_mbo\joint_ab_v4_outcome98_20260724\NQ_JOINT_AB_V4_MBO_2023-04-26_LB_20230426_093201_SELL_0001_PAD100MS.mbo.dbn.zst,C:\Users\k_99_\Desktop\codding\OpeningRangeSetup\EddiewareOpeningRangeSetup\EddiewareOpeningRangeSetup\contexto_codex_claude\mechanical_book_v1\state_cache\LB_20230426_093201_SELL_0001.state.parquet,2361800,2082851,5417,2619,2798,12920.75,12921.25,201,201,4a5263897d2df6c843b15fb51c561bb30ed893118348be2941cd666da25f1744,True,0,10187,2023-04-26T13:32:02.049830967+00:00,2023-04-26T13:32:02.049710787+00:00,2023-04-26T13:32:02.055382925+00:00,2023-04-26T13:32:02.055092167+00:00,0,0,0,0,0,CAUSAL_HANDOFF_INFRASTRUCTURE,True,0,False,2023-04-26T13:32:02.055000+00:00,2023-04-26T13:32:02.055938+00:00,0.938,True
