BurstId,fecha,year,family,burst_side,Profile_Local_Maxima_Count,Previous_Delta_AtEntry,Pre_Approach_Pause_Seconds,Prior_Closed_ATR3_Ticks_AtEntry,Prior_Closed_ATR5_Ticks_AtEntry,Flow_3_5_DirectionalNetDelta,Flow_3_5_GrossAggressive,BuySellRatio,Directional_VWAP_Distance_Ticks_AtEntry,Signal_To_Entry_Latency_Milliseconds
LB_20230613_093139_SELL_0001,2023-06-13,2023,A_TRUE_ABSORPTION,SELL,7,216,0,51.67,38,-9,189,0.141975308641975,28.98,43.99
LB_20230622_093240_BUY_0001,2023-06-22,2023,B_CLEAN_BREAKOUT,BUY,7,132,1,70.0,52,17,103,3.169230769230769,-21.88,30.43
LB_20230623_093159_BUY_0001,2023-06-23,2023,B_CLEAN_BREAKOUT,BUY,5,105,1,73.33,53,-6,72,4.571428571428571,152.45,9.04
LB_20230630_093123_BUY_0001,2023-06-30,2023,B_CLEAN_BREAKOUT,BUY,5,28,1,50.0,40,-3,75,6.0,-225.57,87.13
LB_20230718_093258_SELL_0002,2023-07-18,2023,B_CLEAN_BREAKOUT,SELL,8,-9,0,63.33,53,99,243,0.432748538011696,-142.78,57.62
LB_20230720_093345_SELL_0001,2023-07-20,2023,A_TRUE_ABSORPTION,SELL,8,289,1,90.0,66,-41,155,0.488063660477454,87.05,40.71
LB_20230727_093300_BUY_0001,2023-07-27,2023,B_CLEAN_BREAKOUT,BUY,6,481,1,70.0,53,10,146,3.0,-225.68,89.17
LB_20230808_093726_SELL_0001,2023-08-08,2023,A_TRUE_ABSORPTION,SELL,4,-93,0,60.0,56,11,71,0.165289256198347,-139.74,58.67
LB_20230824_093139_SELL_0001,2023-08-24,2023,B_CLEAN_BREAKOUT,SELL,7,-463,1,66.67,58,63,231,0.367132867132867,-252.37,65.52
LB_20230825_093257_BUY_0001,2023-08-25,2023,A_TRUE_ABSORPTION,BUY,8,76,2,90.0,63,6,192,2.549019607843137,-238.96,84.01
LB_20230829_093105_SELL_0001,2023-08-29,2023,A_TRUE_ABSORPTION,SELL,4,373,1,38.33,31,36,108,0.231111111111111,-70.42,65.13
LB_20230831_093357_BUY_0001,2023-08-31,2023,A_TRUE_ABSORPTION,BUY,13,104,1,95.0,65,15,153,3.754385964912281,-189.23,49.56
LB_20230907_093117_SELL_0001,2023-09-07,2023,B_CLEAN_BREAKOUT,SELL,5,314,2,61.67,50,-5,237,0.303030303030303,-350.51,33.8
LB_20230914_093127_SELL_0001,2023-09-14,2023,A_TRUE_ABSORPTION,SELL,9,-176,1,66.67,57,5,157,0.311418685121107,-27.68,62.16
LB_20230915_093253_SELL_0001,2023-09-15,2023,B_CLEAN_BREAKOUT,SELL,8,232,1,58.33,54,83,181,0.329787234042553,-248.29,37.06
LB_20230919_093101_SELL_0001,2023-09-19,2023,A_TRUE_ABSORPTION,SELL,6,-114,0,46.67,40,54,172,0.351851851851852,-265.29,11.88
LB_20230926_093118_SELL_0002,2023-09-26,2023,B_CLEAN_BREAKOUT,SELL,4,289,1,45.0,36,-30,162,0.396694214876033,-128.78,35.8
LB_20231002_093150_BUY_0001,2023-10-02,2023,B_CLEAN_BREAKOUT,BUY,5,-259,3,51.67,46,20,238,3.075949367088608,111.04,110.44
LB_20231016_093102_BUY_0001,2023-10-16,2023,B_CLEAN_BREAKOUT,BUY,4,212,1,40.0,31,6,88,2.733333333333333,-184.52,23.75
LB_20231102_093203_SELL_0001,2023-11-02,2023,A_TRUE_ABSORPTION,SELL,7,6,3,63.33,49,127,253,0.206140350877193,109.07,53.38
LB_20240404_093500_BUY_0001,2024-04-04,2024,B_CLEAN_BREAKOUT,BUY,4,248,2,41.67,49,9,53,3.0,-249.4,15.19
LB_20240409_093342_SELL_0001,2024-04-09,2024,B_CLEAN_BREAKOUT,SELL,4,220,1,75.0,54,20,88,0.220095693779904,174.99,35.66
LB_20240418_093109_SELL_0001,2024-04-18,2024,B_CLEAN_BREAKOUT,SELL,3,36,3,46.67,39,-3,75,0.356846473029046,-201.02,42.14
LB_20240423_093145_BUY_0001,2024-04-23,2024,B_CLEAN_BREAKOUT,BUY,5,59,1,60.0,47,-16,128,4.69047619047619,-214.25,110.96
LB_20240502_093112_SELL_0001,2024-05-02,2024,B_CLEAN_BREAKOUT,SELL,7,183,0,56.67,43,3,121,0.250737463126844,-27.89,136.35
LB_20240503_093157_SELL_0001,2024-05-03,2024,B_CLEAN_BREAKOUT,SELL,5,-398,1,68.33,59,2,106,0.183760683760684,308.13,173.09
LB_20240510_093420_BUY_0001,2024-05-10,2024,B_CLEAN_BREAKOUT,BUY,9,145,4,68.33,59,21,59,6.323529411764706,-115.86,121.97
LB_20240520_093220_BUY_0001,2024-05-20,2024,B_CLEAN_BREAKOUT,BUY,6,526,1,41.67,34,41,119,3.25,4.62,62.44
LB_20240611_093350_BUY_0001,2024-06-11,2024,A_TRUE_ABSORPTION,BUY,3,413,3,70.0,50,2,78,3.339285714285714,-37.98,59.82
LB_20240614_093644_BUY_0001,2024-06-14,2024,B_CLEAN_BREAKOUT,BUY,4,-115,3,51.67,66,20,78,5.052631578947368,-37.44,81.26
LB_20240708_093223_BUY_0001,2024-07-08,2024,A_TRUE_ABSORPTION,BUY,7,-29,2,50.0,38,5,147,2.658823529411765,-94.31,63.52
LB_20240712_093101_BUY_0001,2024-07-12,2024,A_TRUE_ABSORPTION,BUY,9,298,1,65.0,49,-14,172,2.460869565217391,-163.12,44.35
LB_20240716_093212_BUY_0001,2024-07-16,2024,A_TRUE_ABSORPTION,BUY,6,27,0,55.0,45,51,121,4.928571428571429,-172.7,83.6
LB_20240722_093156_SELL_0001,2024-07-22,2024,A_TRUE_ABSORPTION,SELL,12,-256,1,91.67,68,0,88,0.245689655172414,132.42,31.42
LB_20240726_093346_SELL_0001,2024-07-26,2024,B_CLEAN_BREAKOUT,SELL,10,244,0,135.0,100,0,58,0.165562913907285,-165.01,92.36
LB_20240808_093753_SELL_0001,2024-08-08,2024,A_TRUE_ABSORPTION,SELL,17,13,1,130.0,132,25,53,0.211009174311927,334.95,45.42
LB_20240813_093126_BUY_0001,2024-08-13,2024,B_CLEAN_BREAKOUT,BUY,7,146,2,66.67,56,-3,51,4.433962264150943,-362.33,70.1
LB_20240814_093352_SELL_0001,2024-08-14,2024,A_TRUE_ABSORPTION,SELL,11,-180,2,116.67,94,40,80,0.182857142857143,17.34,36.68
