feature,permutation_q_bh,mann_whitney_q_bh,cliffs_delta_A_minus_B,abs_cliffs_delta,overlap_coefficient,catboost,catboost_incremental_shap,catboost_permutation,conditional_mutual_information_proxy,decision_tree,decision_tree_permutation,logistic,logistic_permutation,logistic_validation_ablation,mutual_information,random_forest,random_forest_permutation,discovery_direction_A_minus_B,discovery_threshold_mid_medians,monte_carlo_bootstrap_direction_stability,gaussian_noise_5pct_direction_stability,validation_n_A,validation_n_B,validation_direction_A_minus_B,validation_B_detectable_pct,validation_A_lost_pct,holdout_n_A,holdout_n_B,holdout_direction_A_minus_B,holdout_B_detectable_pct,holdout_A_lost_pct,direction_stable_discovery_validation_holdout,evidence_score,robust_candidate
DeltaPercentile,1.0,0.9570804329378665,0.03192407247627265,0.03192407247627265,0.907679033649698,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0
Velocity5s,1.0,0.9570804329378665,-0.030629853321829163,0.030629853321829163,0.7920621225194132,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0
Delta1s,1.0,0.9570804329378665,0.030198446937014668,0.030198446937014668,0.8537532355478861,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0
Acceleration3s,1.0,0.9570804329378665,-0.029335634167385678,0.029335634167385678,0.9344262295081966,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0
Delta3s,1.0,0.9570804329378665,0.028472821397756688,0.028472821397756688,0.8537532355478861,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0
CumulativeDeltaWindow,1.0,0.9570804329378665,0.028472821397756688,0.028472821397756688,0.8537532355478861,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0
Sell_Imbalance_Count_AtEntry,1.0,0.9570804329378665,0.028041415012942193,0.028041415012942193,0.8692838654012078,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0
Delta2s,1.0,0.9570804329378665,-0.025884383088869714,0.025884383088869714,0.8274374460742018,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0
Acceleration1s,1.0,0.9570804329378665,-0.025021570319240724,0.025021570319240724,0.8330457290767903,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0
signed_delta_decay_1_5,1.0,0.9570804329378665,-0.023295944779982744,0.023295944779982744,0.7717860224331321,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0
profile_confluence_4t,1.0,0.9570804329378665,-0.022433132010353754,0.022433132010353754,0.9465056082830026,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0
Buy_Imbalance_Count_AtEntry,1.0,0.9570804329378665,0.021570319240724764,0.021570319240724764,0.9106988783433995,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0
directional_vwap_distance,1.0,0.9570804329378665,0.021570319240724764,0.021570319240724764,0.7937877480586712,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0
Velocity3s,1.0,0.9832167643815282,-0.015099223468507334,0.015099223468507334,0.8278688524590163,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0
TradesPerSecond,1.0,0.9873881054561084,0.012510785159620362,0.012510785159620362,0.771786022433132,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0
delta_share_of_volume,1.0,0.9876555805440282,-0.009490940465918895,0.009490940465918895,0.6962899050905954,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0
flow_price_alignment,1.0,0.9570804329378665,0.0064710957722174285,0.0064710957722174285,0.9935289042277826,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0
velocity_consistency,1.0,0.9876555805440282,-0.003451251078515962,0.003451251078515962,0.9965487489214839,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0
BreakOut_TICKS_PER_SEC_AtEntry,1.0,1.0,-0.0030198446937014668,0.0030198446937014668,0.9314063848144951,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0
Delta10s,1.0,1.0,0.0,0.0,0.8528904227782571,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0
direction_consistency,1.0,1.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0
