feature,n_A,n_B,A_mean,A_median,A_std,A_p10,A_p25,A_p75,A_p90,B_mean,B_median,B_std,B_p10,B_p25,B_p75,B_p90,cohens_d_A_minus_B,cliffs_delta_A_minus_B,overlap_coefficient,mann_whitney_p,ks_p,welch_t_p,anova_p,permutation_p,mean_diff_bootstrap_ci_low,mean_diff_bootstrap_ci_high,mann_whitney_q_bh,permutation_q_bh,abs_cliffs_delta
month_index,38,61,6.157894736842105,6.0,2.0733354220685043,4.0,5.0,8.0,9.0,6.60655737704918,7.0,2.1235087985422476,4.0,5.0,8.0,10.0,-0.21319085902007417,-0.11259706643658327,0.8313201035375324,0.344443025799932,0.8833355585245561,0.3026740701718245,0.30482886843528095,0.31384307846076964,-1.2920836928386537,0.4215811044003442,0.9570804329378665,1.0,0.11259706643658327
execution_cvd_alignment,38,61,-0.3684210526315789,-1.0,0.9421382417521512,-1.0,-1.0,1.0,1.0,-0.14754098360655737,-1.0,0.9972640167606986,-1.0,-1.0,1.0,1.0,-0.2261716217742259,-0.11044003451251079,0.8895599654874893,0.2761407194483717,0.8975950632539649,0.2706320362669969,0.2764884817588237,0.296351824087956,-0.5886108714408973,0.1796376186367549,0.9570804329378665,1.0,0.11044003451251079
signed_velocity_3s,38,61,1.701754385964912,1.666666666666667,0.9357416601604435,0.666666666666667,1.0,2.25,3.0,1.8797814207650274,1.666666666666667,1.0328543457695207,0.666666666666667,1.333333333333333,2.0,3.0,-0.17857561967033028,-0.1095772217428818,0.8369283865401208,0.3583303031140137,0.7724935907796214,0.3790510140338125,0.38966768116060124,0.3868065967016492,-0.5545261719873452,0.20882945067586944,0.9570804329378665,1.0,0.1095772217428818
directional_poc_distance,38,61,15.0,13.0,6.881231819329396,7.7,10.0,19.75,25.300000000000004,12.934426229508198,13.0,10.345480257031758,2.0,9.0,16.0,24.0,0.225017465510431,0.10655737704918032,0.81190681622088,0.3752101820919427,0.7520478492014094,0.23601637428104738,0.27893187948766013,0.3008495752123938,-1.2689171699741164,5.530823986194994,0.9570804329378665,1.0,0.10655737704918032
Dist_POC_Ticks,38,61,-0.7894736842105263,5.0,16.667102886657414,-22.2,-14.5,12.75,18.60000000000001,1.4262295081967213,8.0,16.584590253599316,-18.0,-13.0,13.0,23.0,-0.13334666545434912,-0.090595340811044,0.8408110440034512,0.4517617897639551,0.9394361518109663,0.5211412332988704,0.5202949646521955,0.5382308845577212,-8.991425798101812,3.855230802415875,0.9570804329378665,1.0,0.090595340811044
DeltaChangeZScore,38,61,0.35678705441465663,2.7223881585786156,6.191674721524884,-6.198390820908492,-4.352852144924228,5.218731263554646,7.174952831258709,-0.1306818747363567,-2.772291249350366,6.05090116870737,-7.453952798121727,-4.938328246236627,4.872899967548059,7.022023709586822,0.07984773561068649,0.08886971527178603,0.8205349439171699,0.46082273262841256,0.783523722386583,0.7018201870162712,0.700069985027381,0.7086456771614192,-1.9573981702531476,2.9087173111655407,0.9570804329378665,1.0,0.08886971527178603
distance_nearest_profile_reference_ticks,38,61,0.3157894736842105,0.0,0.5744686455769947,0.0,0.0,0.75,1.0,0.39344262295081966,0.0,0.5561381280638281,0.0,0.0,1.0,1.0,-0.1378783219467712,-0.08714408973252805,0.8826574633304574,0.37608987318638387,0.9573460665418676,0.5098852959473349,0.5062489633807943,0.6006996501749126,-0.29767040552200175,0.1458153580672994,0.9570804329378665,1.0,0.08714408973252805
or_position_fraction,38,61,0.5166674226437118,1.0344827586206895,1.0994801404415147,-0.8028571428571429,-0.23076923076923078,1.3181818181818181,1.7029411764705888,0.7080684528193097,1.1481481481481481,0.9917727867671741,-0.5555555555555556,-0.20833333333333334,1.3571428571428572,2.0,-0.18507494116731085,-0.08412424503882658,0.8878343399482314,0.4852083316926331,0.9474402935111351,0.3848962892497107,0.3727135468822133,0.3563218390804598,-0.5925947036748155,0.24027360637766274,0.9570804329378665,1.0,0.08412424503882658
Previous_Volume_AtEntry,38,61,4202.1578947368425,3639.0,1866.9164130497024,2288.0,2689.75,5275.0,6643.800000000001,3912.8360655737706,3896.0,1444.7194442789214,2287.0,2870.0,4697.0,5530.0,0.17872540909809234,0.07549611734253667,0.8106125970664366,0.5313336896490926,0.29179541898526534,0.41792698456829447,0.38927165364305355,0.3868065967016492,-408.8861087144092,1022.2504853321827,0.9570804329378665,1.0,0.07549611734253667
Dist_VAL_Ticks,38,61,7.105263157894737,10.5,14.626502184223417,-9.899999999999999,-6.0,18.75,26.300000000000004,9.360655737704919,14.0,17.756719654715926,-11.0,-7.0,21.0,31.0,-0.13560265205083505,-0.06902502157031924,0.7972389991371872,0.5671040589643974,0.6518671624674176,0.4942750624105604,0.513277058315061,0.5247376311844077,-8.598166522864537,4.0622842968075865,0.9570804329378665,1.0,0.06902502157031924
acceleration_velocity_ratio,38,61,0.5728070175438597,0.7083333333333333,0.8534105843114957,0.0,0.5,1.0,1.0,0.42538381472807696,0.8,1.4183873066578645,-0.3333333333333333,0.3333333333333333,1.0,1.1428571428571428,0.11948818644415243,-0.06686798964624677,0.9383088869715273,0.5729661868510681,0.6316316674778694,0.5200747700443065,0.5644816040792019,0.5997001499250375,-0.31133109412876453,0.6047571199172792,0.9570804329378665,1.0,0.06686798964624677
Dist_HVN_Ticks,38,61,-0.21052631578947367,0.0,2.7327631273309394,-3.3,-1.0,1.0,2.0,0.11475409836065574,0.0,1.8538101364103938,-2.0,-1.0,1.0,2.0,-0.14584431068663292,-0.06557377049180328,0.8830888697152719,0.574314506866334,0.9526424028643258,0.5202574292437456,0.4820575613619903,0.4927536231884058,-1.2463869715271785,0.6515314926660909,0.9570804329378665,1.0,0.06557377049180328
Volume_AtEntry,38,61,1698.1315789473683,1389.0,1232.7394711944137,497.20000000000005,655.75,2587.75,3539.400000000001,1918.72131147541,1408.0,1428.5753758103158,400.0,686.0,3165.0,3925.0,-0.16253142569046689,-0.06557377049180328,0.8731665228645383,0.5869727832332597,0.8053607120829176,0.41789038224592584,0.4335153933993182,0.4142928535732134,-772.1351488352027,293.1395491803278,0.9570804329378665,1.0,0.06557377049180328
distance_nearest_or_edge_ticks,38,61,7.868421052631579,6.0,6.260865377676048,1.7000000000000002,3.25,11.0,17.300000000000004,8.688524590163935,6.0,7.636624436679157,3.0,4.0,10.0,20.0,-0.1148093397086191,-0.06471095772217429,0.8045729076790336,0.5908731713359325,0.889095290752323,0.5622187697141918,0.5798035281972378,0.5967016491754122,-3.60295513373598,1.8693270060396843,0.9570804329378665,1.0,0.06471095772217429
