setup,filter,tp,sl,trades,wr,pf,expectancy,profit,dd,avg_mfe,avg_mae,avg_rr,std,test_trades,test_pf,test_exp,train_trades,train_pf,train_exp,active_months,monthly_pf_median,monthly_pf_cv,monthly_exp_cv,monthly_wr_cv,monthly_trades_cv,bad_months_pf_lt_1,robust_score
cvd=Excelente | TP=100 SL=50,cvd=Excelente,100,50,342,74.85380116959064,2.9152303904326415,15.921052631578947,5445.0,160.0,27.280701754385966,15.90643274853801,0.9793352092859655,32.9477889833099,105,5.4100346020761245,24.276190476190475,237,2.278587196467991,12.219409282700422,39,2.942442803098541,0.889627822479606,0.7639313267914107,0.21171775752680277,0.4349897873283275,4,459.8654511018536
regime=OR_mid AND score>=8 | TP=120 SL=80,regime=OR_mid AND score>=8,120,80,148,50.67567567567568,1.0160472972972974,0.25675675675675674,38.0,358.0,21.993243243243242,21.62162162162162,0.9889527027027026,36.49007350280005,42,1.5462633451957295,7.309523809523809,106,0.8510520487264673,-2.5377358490566038,31,0.9918032786885246,0.9044774809786137,5.535689281572917,0.4233943277774019,0.4736738693469058,14,0.4542104669202625
regime=OR_mid AND score>=8 | TP=150 SL=80,regime=OR_mid AND score>=8,150,80,148,50.67567567567568,1.0160472972972974,0.25675675675675674,38.0,358.0,21.993243243243242,21.62162162162162,0.9889527027027026,36.49007350280005,42,1.5462633451957295,7.309523809523809,106,0.8510520487264673,-2.5377358490566038,31,0.9918032786885246,0.9044774809786137,5.535689281572917,0.4233943277774019,0.4736738693469058,14,0.4542104669202625
regime=OR_mid AND score>=8 | TP=200 SL=80,regime=OR_mid AND score>=8,200,80,148,50.67567567567568,1.0160472972972974,0.25675675675675674,38.0,358.0,21.993243243243242,21.62162162162162,0.9889527027027026,36.49007350280005,42,1.5462633451957295,7.309523809523809,106,0.8510520487264673,-2.5377358490566038,31,0.9918032786885246,0.9044774809786137,5.535689281572917,0.4233943277774019,0.4736738693469058,14,0.4542104669202625
price_accepted=FALSE | TP=20 SL=80,price_accepted=FALSE,20,80,551,58.257713248638844,1.0221302340391658,0.25226860254083483,139.0,852.0,21.58802177858439,19.41923774954628,0.7323674574112402,25.278087336456842,173,1.3752913752913754,3.722543352601156,378,0.8893756845564075,-1.335978835978836,39,1.0657429245283019,0.6193903638285853,18.335296231085415,0.24441813064106857,0.35730525269599483,15,0.3069306586740301
vwap_ok=FALSE | TP=50 SL=40,vwap_ok=FALSE,50,40,119,47.05882352941176,1.0181268882175227,0.25210084033613445,30.0,351.0,20.42016806722689,20.084033613445378,1.1453927492447131,30.458701822886475,37,0.8254486133768353,-2.891891891891892,82,1.1314779270633397,1.670731707317073,35,0.9523809523809523,1.1898884001800754,353.124129761628,0.7131661042895783,0.5153851178120308,16,0.007896486308935467
regime=OR_mid AND score>=7 | TP=80 SL=80,regime=OR_mid AND score>=7,80,80,154,50.649350649350644,1.0151515151515151,0.24675324675324675,38.0,458.0,22.305194805194805,21.818181818181817,0.9891219891219891,37.13027968017824,42,1.5462633451957295,7.309523809523809,112,0.8617677286742035,-2.4017857142857144,32,1.0,0.900655716640274,5.416071753781978,0.41646445380706787,0.48210768005462845,14,0.4535624988834159
regime=OR_mid AND score>=7 | TP=100 SL=80,regime=OR_mid AND score>=7,100,80,154,50.649350649350644,1.0151515151515151,0.24675324675324675,38.0,458.0,22.305194805194805,21.818181818181817,0.9891219891219891,37.13027968017824,42,1.5462633451957295,7.309523809523809,112,0.8617677286742035,-2.4017857142857144,32,1.0,0.900655716640274,5.416071753781978,0.41646445380706787,0.48210768005462845,14,0.4535624988834159
regime=OR_mid AND score>=7 | TP=120 SL=80,regime=OR_mid AND score>=7,120,80,154,50.649350649350644,1.0151515151515151,0.24675324675324675,38.0,458.0,22.305194805194805,21.818181818181817,0.9891219891219891,37.13027968017824,42,1.5462633451957295,7.309523809523809,112,0.8617677286742035,-2.4017857142857144,32,1.0,0.900655716640274,5.416071753781978,0.41646445380706787,0.48210768005462845,14,0.4535624988834159
regime=OR_mid AND score>=7 | TP=150 SL=80,regime=OR_mid AND score>=7,150,80,154,50.649350649350644,1.0151515151515151,0.24675324675324675,38.0,458.0,22.305194805194805,21.818181818181817,0.9891219891219891,37.13027968017824,42,1.5462633451957295,7.309523809523809,112,0.8617677286742035,-2.4017857142857144,32,1.0,0.900655716640274,5.416071753781978,0.41646445380706787,0.48210768005462845,14,0.4535624988834159
regime=OR_mid AND score>=7 | TP=200 SL=80,regime=OR_mid AND score>=7,200,80,154,50.649350649350644,1.0151515151515151,0.24675324675324675,38.0,458.0,22.305194805194805,21.818181818181817,0.9891219891219891,37.13027968017824,42,1.5462633451957295,7.309523809523809,112,0.8617677286742035,-2.4017857142857144,32,1.0,0.900655716640274,5.416071753781978,0.41646445380706787,0.48210768005462845,14,0.4535624988834159
delta_ok=TRUE | TP=30 SL=30,delta_ok=TRUE,30,30,549,49.72677595628415,1.0202991452991452,0.24225865209471767,133.0,525.0,21.62112932604736,19.8816029143898,1.0315112238189161,24.614501526541833,174,1.229607250755287,2.6206896551724137,375,0.9292597459483136,-0.8613333333333333,39,1.0698019801980199,0.5938021283512755,12.940139747469944,0.3111145692705197,0.35794160929130286,16,0.40357950302372453
score>=7 | TP=20 SL=70,score>=7,20,70,456,59.210526315789465,1.0206010206010205,0.23903508771929824,109.0,956.0,22.214912280701753,19.978070175438596,0.7030807030807031,25.855853384325435,140,1.594896331738437,5.328571428571428,316,0.8422095615556106,-2.0158227848101267,39,0.9958677685950413,1.057913629930479,9.573621096006029,0.3048017225462921,0.3840692688000739,18,0.4720863658172689
regime=OR_small AND score>=6 | TP=50 SL=20,regime=OR_small AND score>=6,50,20,185,42.16216216216216,1.0205607476635514,0.23783783783783785,44.0,340.0,18.27027027027027,18.243243243243242,1.4,25.16289702327606,17,1.03,0.35294117647058826,168,1.0195876288659793,0.2261904761904762,33,1.1375,0.8873864309711038,40.603324459692764,0.6083325781945536,0.6399586820117763,13,0.07861124531688489
regime=OR_mid AND score>=8 | TP=50 SL=60,regime=OR_mid AND score>=8,50,60,148,51.35135135135135,1.0152571926765475,0.23648648648648649,35.0,448.0,21.993243243243242,21.62162162162162,0.9618226035883082,34.778670742161104,42,1.7737373737373738,9.119047619047619,106,0.8065591995553085,-3.2830188679245285,31,0.8452380952380952,0.9123587409162915,6.365383400058211,0.4292759641029986,0.4736738693469058,15,0.37212158173470433
aplus_absorption=FALSE | TP=30 SL=40,aplus_absorption=FALSE,30,40,519,51.83044315992292,1.0186133085155886,0.23121387283236994,120.0,577.0,21.358381502890172,19.248554913294797,0.9466666436018483,26.061119664668624,169,1.1617715617715618,2.0532544378698225,350,0.9472338447233845,-0.6485714285714286,39,1.0392857142857141,0.48924944475769777,23.965677702646094,0.30510629731040106,0.3836105363512284,18,0.21101245879595898
or_regime=OR_mid | TP=40 SL=40,or_regime=OR_mid,40,40,183,50.27322404371585,1.014967637540453,0.20218579234972678,37.0,350.0,21.91256830601093,20.983606557377048,1.0039353806106655,28.747051365818855,50,1.3175355450236967,4.02,133,0.910821098423056,-1.2330827067669172,35,1.0,0.8768553045184766,18.439321782162686,0.4649311838180062,0.5167177571302984,16,0.13952513766779556
range<=140 | TP=40 SL=20,range<=140,40,20,383,43.86422976501306,1.0172093023255815,0.19321148825065274,74.0,428.0,20.287206266318538,19.765013054830288,1.3017857142857143,23.56342129032661,73,1.236842105263158,2.4657534246575343,310,0.9700564971751412,-0.3419354838709677,37,1.165625,0.6950933897714302,12.631233382865789,0.4556600021760665,0.47284003387875867,16,0.2734916792553941
range<=115 | TP=40 SL=30,range<=115,40,30,291,46.735395189003434,1.0157170923379175,0.19243986254295534,56.0,424.0,19.45017182130584,18.95189003436426,1.15761874494395,25.71281871159809,46,1.350194552529183,3.9130434782608696,245,0.9593309281731716,-0.5061224489795918,35,1.0029411764705882,1.0537094905845312,16.89418456795303,0.4341374868722878,0.4817814049725025,15,0.18197993061792575
range>=80 | TP=20 SL=100,range>=80,20,100,468,59.61538461538461,1.0163934426229508,0.19230769230769232,90.0,792.0,22.542735042735043,20.224358974358974,0.6885245901639344,26.307142039497162,173,1.3789107763615296,3.7803468208092488,295,0.8501594048884166,-1.911864406779661,39,1.018761405109489,0.6691236606080394,8.917051560481976,0.33512062350033933,0.4503896948121509,17,0.40842974470039006
side=BUY | TP=30 SL=100,side=BUY,30,100,279,53.76344086021505,1.014500683994528,0.18996415770609318,53.0,548.0,20.64516129032258,19.767025089605735,0.8724705882352941,29.035635008699618,92,1.2644351464435146,3.4347826086956523,187,0.8930894308943089,-1.4064171122994653,38,1.2166666666666668,0.7330648929523711,6.211385412775889,0.3480775389222616,0.4070978800471474,13,0.42616562361004606
vwap_ok=TRUE | TP=30 SL=60,vwap_ok=TRUE,30,60,444,54.95495495495496,1.0139767054908486,0.1891891891891892,84.0,1036.0,21.993243243243242,19.695945945945947,0.8311284471236463,29.76742459191689,139,1.531994981179423,6.100719424460432,305,0.8269927536231884,-2.504918032786885,38,1.0,1.1191580228222042,27.92690465747742,0.34654983109920523,0.3712530729621612,17,0.13760957416007744
score>=7 | TP=20 SL=80,score>=7,20,80,456,59.210526315789465,1.0156103065638518,0.18201754385964913,83.0,952.0,22.214912280701753,19.978070175438596,0.6996426556328756,26.023906698968442,140,1.557632398753894,5.114285714285714,316,0.8430448797421275,-2.0031645569620253,39,0.9958677685950413,1.0625466948222808,10.093762325630902,0.3048017225462921,0.3840692688000739,18,0.34161860570190544
aplus_speed=FALSE | TP=40 SL=40,aplus_speed=FALSE,40,40,493,49.290060851926974,1.0140890169708614,0.17849898580121704,88.0,470.0,20.040567951318458,18.620689655172413,1.043301457788952,26.902348708524688,143,1.074015748031496,0.986013986013986,350,0.9877908316056209,-0.15142857142857144,38,1.004524886877828,0.7197949956138272,8.914847787528018,0.3242316411369895,0.3425994697065161,18,0.386884303301103
or_regime=OR_large | TP=20 SL=50,or_regime=OR_large,20,50,192,60.9375,1.0147441457068518,0.17708333333333334,34.0,292.0,24.713541666666668,19.84375,0.6504770164787511,26.325786053673777,108,0.9510290986515259,-0.6388888888888888,84,1.1148272017837235,1.2261904761904763,34,0.7100840336134454,0.9949528478930044,9.789605805426827,0.4774386338650769,0.8212547948909115,17,0.22054950075878813
