setup,filter,tp,sl,trades,wr,pf,expectancy,profit,dd,avg_mfe,avg_mae,avg_rr,std,test_trades,test_pf,test_exp,train_trades,train_pf,train_exp,active_months,monthly_pf_median,monthly_pf_cv,monthly_exp_cv,monthly_wr_cv,monthly_trades_cv,bad_months_pf_lt_1,robust_score
cvd=Excelente | TP=100 SL=40,cvd=Excelente,100,40,342,73.68421052631578,3.024141833270464,15.690058479532164,5366.0,120.0,27.280701754385966,15.90643274853801,1.0800506547394515,31.02969659800611,105,4.275449101796407,20.83809523809524,237,2.6026222894604136,13.40928270042194,39,3.0,0.6960289110823945,0.7224865633975963,0.21328249974647187,0.4349897873283275,2,494.70101908478193
regime=OR_large AND score>=8 | TP=50 SL=40,regime=OR_large AND score>=8,50,40,143,62.23776223776224,1.8119946091644206,8.426573426573427,1205.0,116.0,25.41958041958042,18.496503496503497,1.0994124594930192,30.084502938375902,79,1.8867924528301887,9.518987341772151,64,1.7122641509433962,7.078125,32,0.9875,0.879543035996193,1.9945112039341062,0.4718191292666118,0.693774692275738,11,54.69600595742032
or_regime=OR_large | TP=60 SL=60,or_regime=OR_large,60,60,192,61.979166666666664,1.6580178647384092,8.057291666666666,1547.0,223.0,24.713541666666668,19.84375,1.0171033960159988,35.508746049806774,108,1.7478693181818181,9.75,84,1.5238600212089077,5.880952380952381,34,1.2682926829268293,0.9919447763401946,2.0914973773139915,0.4715505420063111,0.8212547948909115,10,54.67531977114846
or_regime=OR_large | TP=80 SL=80,or_regime=OR_large,80,80,192,61.979166666666664,1.6556346878927524,8.151041666666666,1565.0,223.0,24.713541666666668,19.84375,1.0156414471947137,36.42280941978074,108,1.744459833795014,9.953703703703704,84,1.5196182396606575,5.833333333333333,34,1.2682926829268293,0.9939968807117289,2.099161272855627,0.4715505420063111,0.8212547948909115,11,54.63369723458998
or_regime=OR_large | TP=120 SL=100,or_regime=OR_large,120,100,192,61.979166666666664,1.6507475083056478,8.161458333333334,1567.0,223.0,24.713541666666668,19.84375,1.0126434294648092,36.97926366651487,108,1.7351535836177474,9.972222222222221,84,1.5196182396606575,5.833333333333333,34,1.2682926829268293,0.9948883197080319,2.096038677087997,0.4715505420063111,0.8212547948909115,11,54.59184560544428
or_regime=OR_large | TP=150 SL=100,or_regime=OR_large,150,100,192,61.979166666666664,1.6507475083056478,8.161458333333334,1567.0,223.0,24.713541666666668,19.84375,1.0126434294648092,36.97926366651487,108,1.7351535836177474,9.972222222222221,84,1.5196182396606575,5.833333333333333,34,1.2682926829268293,0.9948883197080319,2.096038677087997,0.4715505420063111,0.8212547948909115,11,54.59184560544428
or_regime=OR_large | TP=200 SL=100,or_regime=OR_large,200,100,192,61.979166666666664,1.6507475083056478,8.161458333333334,1567.0,223.0,24.713541666666668,19.84375,1.0126434294648092,36.97926366651487,108,1.7351535836177474,9.972222222222221,84,1.5196182396606575,5.833333333333333,34,1.2682926829268293,0.9948883197080319,2.096038677087997,0.4715505420063111,0.8212547948909115,11,54.59184560544428
regime=OR_large AND score>=6 | actual,regime=OR_large AND score>=6,,,188,61.170212765957444,1.6688144329896908,8.28191489361702,1557.0,243.0,24.76063829787234,20.159574468085108,1.0593343792021515,36.51825845507489,107,1.8209386281588447,10.626168224299066,81,1.445387062566278,5.185185185185185,34,1.2682926829268293,1.001428715153217,2.1721054462227256,0.48395591332546123,0.8200297541056408,11,54.21153115133337
or_regime=OR_large | TP=60 SL=40,or_regime=OR_large,60,40,192,59.375,1.6937644341801386,7.822916666666667,1502.0,163.0,24.713541666666668,19.84375,1.158891454965358,32.327996649417464,108,1.6779533483822422,8.342592592592593,84,1.7188995215311005,7.154761904761905,34,1.3000554323725055,0.9844929454175807,2.096754413294494,0.4826937680694371,0.8212547948909115,11,53.67971248355348
or_regime=OR_large | TP=60 SL=70,or_regime=OR_large,60,70,192,61.979166666666664,1.6468103084072665,7.973958333333333,1531.0,223.0,24.713541666666668,19.84375,1.0102281723842894,35.68469173245216,108,1.7282303370786516,9.601851851851851,84,1.5238600212089077,5.880952380952381,34,1.2682926829268293,0.9948456480930817,2.098404336421473,0.4715505420063111,0.8212547948909115,10,53.634653916900405
regime=OR_large AND score>=7 | TP=60 SL=30,regime=OR_large AND score>=7,60,30,152,58.55263157894737,1.8256343526350032,8.348684210526315,1269.0,144.0,25.32894736842105,19.638157894736842,1.2923029687191596,29.89501716402526,84,2.116788321167883,10.928571428571429,68,1.490909090909091,5.161764705882353,32,0.9446428571428571,1.035768012018713,2.165594772983986,0.5435873828762396,0.7174254748383977,11,53.54606860147116
