fecha,window_start_utc,window_end_utc_exclusive,has_p0,event_count,valid
2022-09-06,2022-09-06T13:30:55+00:00,2022-09-06T13:31:00+00:00,True,345,True
2022-09-06,2022-09-06T13:31:00+00:00,2022-09-06T13:31:05+00:00,True,363,True
2022-09-06,2022-09-06T13:31:05+00:00,2022-09-06T13:31:10+00:00,True,445,True
2022-09-06,2022-09-06T13:31:10+00:00,2022-09-06T13:31:15+00:00,True,248,True
2022-09-06,2022-09-06T13:31:15+00:00,2022-09-06T13:31:20+00:00,True,308,True
2022-09-06,2022-09-06T13:31:20+00:00,2022-09-06T13:31:25+00:00,True,183,True
2022-09-06,2022-09-06T13:31:25+00:00,2022-09-06T13:31:30+00:00,True,263,True
2022-09-06,2022-09-06T13:31:30+00:00,2022-09-06T13:31:35+00:00,True,256,True
2022-09-06,2022-09-06T13:31:35+00:00,2022-09-06T13:31:40+00:00,True,188,True
2022-09-06,2022-09-06T13:31:40+00:00,2022-09-06T13:31:45+00:00,True,147,True
2022-09-06,2022-09-06T13:31:45+00:00,2022-09-06T13:31:50+00:00,True,149,True
2022-09-06,2022-09-06T13:31:50+00:00,2022-09-06T13:31:55+00:00,True,148,True
2022-09-06,2022-09-06T13:31:55+00:00,2022-09-06T13:32:00+00:00,True,132,True
2022-09-06,2022-09-06T13:32:00+00:00,2022-09-06T13:32:05+00:00,True,210,True
2022-09-06,2022-09-06T13:32:05+00:00,2022-09-06T13:32:10+00:00,True,257,True
2022-09-06,2022-09-06T13:32:10+00:00,2022-09-06T13:32:15+00:00,True,152,True
2022-09-06,2022-09-06T13:32:15+00:00,2022-09-06T13:32:20+00:00,True,147,True
2022-09-06,2022-09-06T13:32:20+00:00,2022-09-06T13:32:25+00:00,True,140,True
2022-09-06,2022-09-06T13:32:25+00:00,2022-09-06T13:32:30+00:00,True,154,True
2022-09-06,2022-09-06T13:32:30+00:00,2022-09-06T13:32:35+00:00,True,209,True
2022-09-06,2022-09-06T13:32:35+00:00,2022-09-06T13:32:40+00:00,True,131,True
2022-09-06,2022-09-06T13:32:40+00:00,2022-09-06T13:32:45+00:00,True,160,True
2022-09-06,2022-09-06T13:32:45+00:00,2022-09-06T13:32:50+00:00,True,168,True
2022-09-06,2022-09-06T13:32:50+00:00,2022-09-06T13:32:55+00:00,True,171,True
2022-09-06,2022-09-06T13:32:55+00:00,2022-09-06T13:33:00+00:00,True,136,True
2022-09-06,2022-09-06T13:33:00+00:00,2022-09-06T13:33:05+00:00,True,225,True
2022-09-28,2022-09-28T13:29:00+00:00,2022-09-28T13:29:05+00:00,True,50,True
2022-09-28,2022-09-28T13:29:05+00:00,2022-09-28T13:29:10+00:00,True,46,True
2022-09-28,2022-09-28T13:29:10+00:00,2022-09-28T13:29:15+00:00,True,33,True
2022-09-28,2022-09-28T13:29:15+00:00,2022-09-28T13:29:20+00:00,True,25,True
2022-09-28,2022-09-28T13:29:20+00:00,2022-09-28T13:29:25+00:00,True,33,True
2022-09-28,2022-09-28T13:29:25+00:00,2022-09-28T13:29:30+00:00,True,36,True
2022-09-28,2022-09-28T13:29:30+00:00,2022-09-28T13:29:35+00:00,True,60,True
2022-09-28,2022-09-28T13:29:35+00:00,2022-09-28T13:29:40+00:00,True,35,True
2022-09-28,2022-09-28T13:29:40+00:00,2022-09-28T13:29:45+00:00,True,58,True
2022-09-28,2022-09-28T13:29:45+00:00,2022-09-28T13:29:50+00:00,True,83,True
2022-09-28,2022-09-28T13:29:50+00:00,2022-09-28T13:29:55+00:00,True,110,True
2022-09-28,2022-09-28T13:29:55+00:00,2022-09-28T13:30:00+00:00,True,160,True
