fecha,window_start_utc,window_end_utc_exclusive,orientation,p0,event_count,positive_excursion_ticks,adverse_excursion_ticks,push_exists,push_ordinal_in_window,sequence_B_exists,sequence_A_exists,sequence_B_max_dwell_s,sequence_A_max_dwell_s
2022-04-06,2022-04-06T13:29:05+00:00,2022-04-06T13:29:10+00:00,MINUS,14595.25,25,4.0,1.0,False,,False,False,0.0,0.0
2022-04-06,2022-04-06T13:29:10+00:00,2022-04-06T13:29:15+00:00,PLUS,14595.25,31,9.0,1.0,True,16.0,False,False,0.0,0.0
2022-04-06,2022-04-06T13:29:10+00:00,2022-04-06T13:29:15+00:00,MINUS,14595.25,31,1.0,9.0,False,,False,False,0.0,0.0
2022-04-06,2022-04-06T13:29:15+00:00,2022-04-06T13:29:20+00:00,PLUS,14597.5,20,8.0,0.0,True,13.0,False,False,0.0,0.0
2022-04-06,2022-04-06T13:29:15+00:00,2022-04-06T13:29:20+00:00,MINUS,14597.5,20,0.0,8.0,False,,False,False,0.0,0.0
2022-04-06,2022-04-06T13:29:20+00:00,2022-04-06T13:29:25+00:00,PLUS,14599.0,35,7.0,5.0,True,32.0,False,False,0.0,0.0
2022-04-06,2022-04-06T13:29:20+00:00,2022-04-06T13:29:25+00:00,MINUS,14599.0,35,5.0,7.0,False,,False,False,0.0,0.0
2022-04-06,2022-04-06T13:29:25+00:00,2022-04-06T13:29:30+00:00,PLUS,14600.75,21,1.0,2.0,False,,False,False,0.0,0.0
2022-04-06,2022-04-06T13:29:25+00:00,2022-04-06T13:29:30+00:00,MINUS,14600.75,21,2.0,1.0,False,,False,False,0.0,0.0
2022-04-06,2022-04-06T13:29:30+00:00,2022-04-06T13:29:35+00:00,PLUS,14600.75,18,0.0,7.0,False,,False,False,0.0,0.0
2022-04-06,2022-04-06T13:29:30+00:00,2022-04-06T13:29:35+00:00,MINUS,14600.75,18,7.0,0.0,True,12.0,False,False,0.0,0.0
2022-04-06,2022-04-06T13:29:35+00:00,2022-04-06T13:29:40+00:00,PLUS,14599.75,15,2.0,3.0,False,,False,False,0.0,0.0
2022-04-06,2022-04-06T13:29:35+00:00,2022-04-06T13:29:40+00:00,MINUS,14599.75,15,3.0,2.0,False,,False,False,0.0,0.0
2022-04-06,2022-04-06T13:29:40+00:00,2022-04-06T13:29:45+00:00,PLUS,14599.25,30,2.0,8.0,False,,False,False,0.0,0.0
2022-04-06,2022-04-06T13:29:40+00:00,2022-04-06T13:29:45+00:00,MINUS,14599.25,30,8.0,2.0,True,12.0,False,False,0.0,0.0
2022-04-06,2022-04-06T13:29:45+00:00,2022-04-06T13:29:50+00:00,PLUS,14599.0,36,6.0,0.0,False,,False,False,0.0,0.0
2022-04-06,2022-04-06T13:29:45+00:00,2022-04-06T13:29:50+00:00,MINUS,14599.0,36,0.0,6.0,False,,False,False,0.0,0.0
2022-04-06,2022-04-06T13:29:50+00:00,2022-04-06T13:29:55+00:00,PLUS,14599.5,34,7.0,4.0,True,33.0,False,False,0.0,0.0
2022-04-06,2022-04-06T13:29:50+00:00,2022-04-06T13:29:55+00:00,MINUS,14599.5,34,4.0,7.0,False,,False,False,0.0,0.0
2022-04-06,2022-04-06T13:29:55+00:00,2022-04-06T13:30:00+00:00,PLUS,14601.25,121,11.0,1.0,True,29.0,False,False,0.0,0.0
2022-04-06,2022-04-06T13:29:55+00:00,2022-04-06T13:30:00+00:00,MINUS,14601.25,121,1.0,11.0,False,,False,False,0.0,0.0
2022-04-26,2022-04-26T13:29:00+00:00,2022-04-26T13:29:05+00:00,PLUS,13438.25,38,14.0,0.0,True,9.0,False,False,0.0,0.0
2022-04-26,2022-04-26T13:29:00+00:00,2022-04-26T13:29:05+00:00,MINUS,13438.25,38,0.0,14.0,False,,False,False,0.0,0.0
2022-04-26,2022-04-26T13:29:05+00:00,2022-04-26T13:29:10+00:00,PLUS,13441.25,47,8.0,0.0,True,28.0,False,False,0.0,0.0
2022-04-26,2022-04-26T13:29:05+00:00,2022-04-26T13:29:10+00:00,MINUS,13441.25,47,0.0,8.0,False,,False,False,0.0,0.0
2022-04-26,2022-04-26T13:29:10+00:00,2022-04-26T13:29:15+00:00,PLUS,13442.5,31,8.0,3.0,True,28.0,False,False,0.0,0.0
2022-04-26,2022-04-26T13:29:10+00:00,2022-04-26T13:29:15+00:00,MINUS,13442.5,31,3.0,8.0,False,,False,False,0.0,0.0
2022-04-26,2022-04-26T13:29:15+00:00,2022-04-26T13:29:20+00:00,PLUS,13444.25,45,1.0,10.0,False,,False,False,0.0,0.0
2022-04-26,2022-04-26T13:29:15+00:00,2022-04-26T13:29:20+00:00,MINUS,13444.25,45,10.0,1.0,True,12.0,False,False,0.0,0.0
2022-04-26,2022-04-26T13:29:20+00:00,2022-04-26T13:29:25+00:00,PLUS,13443.25,29,7.0,1.0,True,23.0,False,False,0.0,0.0
2022-04-26,2022-04-26T13:29:20+00:00,2022-04-26T13:29:25+00:00,MINUS,13443.25,29,1.0,7.0,False,,False,False,0.0,0.0
2022-04-26,2022-04-26T13:29:25+00:00,2022-04-26T13:29:30+00:00,PLUS,13444.75,19,0.0,6.0,False,,False,False,0.0,0.0
2022-04-26,2022-04-26T13:29:25+00:00,2022-04-26T13:29:30+00:00,MINUS,13444.75,19,6.0,0.0,False,,False,False,0.0,0.0
2022-04-26,2022-04-26T13:29:30+00:00,2022-04-26T13:29:35+00:00,PLUS,13443.5,23,11.0,0.0,True,1.0,False,False,0.0,0.0
2022-04-26,2022-04-26T13:29:30+00:00,2022-04-26T13:29:35+00:00,MINUS,13443.5,23,0.0,11.0,False,,False,False,0.0,0.0
2022-04-26,2022-04-26T13:29:35+00:00,2022-04-26T13:29:40+00:00,PLUS,13446.25,29,5.0,5.0,False,,False,False,0.0,0.0
2022-04-26,2022-04-26T13:29:35+00:00,2022-04-26T13:29:40+00:00,MINUS,13446.25,29,5.0,5.0,False,,False,False,0.0,0.0
2022-04-26,2022-04-26T13:29:40+00:00,2022-04-26T13:29:45+00:00,PLUS,13446.0,29,1.0,10.0,False,,False,False,0.0,0.0
2022-04-26,2022-04-26T13:29:40+00:00,2022-04-26T13:29:45+00:00,MINUS,13446.0,29,10.0,1.0,True,14.0,False,False,0.0,0.0
2022-04-26,2022-04-26T13:29:45+00:00,2022-04-26T13:29:50+00:00,PLUS,13444.25,27,0.0,7.0,False,,False,False,0.0,0.0
2022-04-26,2022-04-26T13:29:45+00:00,2022-04-26T13:29:50+00:00,MINUS,13444.25,27,7.0,0.0,True,4.0,False,False,0.0,0.0
2022-04-26,2022-04-26T13:29:50+00:00,2022-04-26T13:29:55+00:00,PLUS,13443.75,41,1.0,10.0,False,,False,False,0.0,0.0
2022-04-26,2022-04-26T13:29:50+00:00,2022-04-26T13:29:55+00:00,MINUS,13443.75,41,10.0,1.0,True,13.0,False,False,0.0,0.0
2022-04-26,2022-04-26T13:29:55+00:00,2022-04-26T13:30:00+00:00,PLUS,13442.5,84,10.0,13.0,True,16.0,False,True,0.0,0.718766514
2022-04-26,2022-04-26T13:29:55+00:00,2022-04-26T13:30:00+00:00,MINUS,13442.5,84,13.0,10.0,True,56.0,False,False,0.0,0.0
